acid,acname,asid
C8060,スペースコブラ,C6078
C8062,ときめきトゥナイト,C6200
C8064,レインボーマン,C6211
C8066,新みつばちマーヤの冒険,C4883
C8068,わが青春のアルカディア 無限軌道SSX,C4156
C8070,一ツ星家のウルトラ婆さん,C6222
C8072,さすがの猿飛,C6233
C8074,フクちゃん,C6804
C8076,花王名人劇場 浪花節大好き,C6278
C8078,超アニメバラエティ ニャロメのおもしろ数学教室,C1845
C8080,オバケ,C6300
C8082,プロゴルファー猿,C6311
C8084,アルプス物語 わたしのアンネット,C6322
C8086,未来警察ウラシマン,C6333
C8088,キャプテン （シリーズ）,C4900
C8090,亜空大作戦スラングル,C6344
C8092,聖戦士ダンバイン,C6355
C8094,吾輩は犬である ドン松五郎の生活,C6366
C8096,愛してナイト,C6378
C8098,光速電神アルベガス,C6422
C8100,みゆき,C6433
C8102,装甲騎兵ボトムズ,C6444
C8104,ななこSOS,C6455
C8106,キン肉マン,C6466
C8108,まんが日本史,C6477
C8110,ミームいろいろ夢の旅,C6490
C8112,スプーンおばさん,C6501
C8114,パーマン（新）,C1367
C8116,パソコントラベル探偵団,C6512
C8118,銀河疾風サスライガー,C6523
C8120,イーグルサム,C6534
C8122,タイムボカンシリーズ イタダキマン,C3412
C8124,レディジョージィ,C6545
C8126,ナイン,C6589
C8128,ストップ!!ひばりくん!,C6601
C8130,ベムベムハンター こてんぐテン丸,C6612
C8132,プラレス3四郎,C6634
C8134,ピュア島の仲間たち,C6645
C8136,サイコアーマーゴーバリアン,C6678
C8138,キャッツ・アイ （第一期）,C6689
C8140,どくとるマンボウ＆怪盗ジバコ 宇宙より愛をこめて,C6723
C8142,機甲創世記モスピーダ,C6730
C8144,タオタオ絵本館 世界動物ばなし（第1期）,C6731
C8146,特装機兵ドルバック,C6732
C8148,ふしぎの国のアリス,C6733
C8150,まんがイソップ物語,C6734
C8152,キャプテン翼,C6735
C8154,伊賀野カバ丸,C6736
C8156,銀河漂流バイファム,C6737
C8158,子鹿物語,C6739
C8160,ナイン2 恋人宣言,C6589
C8162,ひなまつりアニメファンタジー! 宇宙の果てまで冒険旅行 ロマンチック銀河ツアーへの御招待!!,C6740
C8164,はじめてのクリスマス,C6741
C8166,OKAWARI-BOY スターザンS,C6743
C8168,牧場の少女カトリ,C6744
C8170,超攻速ガルビオン,C6745
C8172,重戦機エルガイム,C6746
C8174,リトル・エル・シドの冒険,C6747
C8176,宗谷物語,C6748
C8178,夢戦士ウイングマン,C6750
C8180,とんがり帽子のメモル,C6752
C8182,ルパン三世PARTⅢ,C2445
C8184,ビデオ戦士レザリオン,C6753
C8186,Gu-Guガンモ,C6758
C8188,小さな恋のものがたり,C6759
C8190,オヨネコぶーにゃん,C6762
C8192,巨神ゴーグ[ジャイアントゴーグ],C6763
C8194,らんぽう,C6764
C8196,まんがどうして物語,C6765
C8198,ガラスの仮面,C6766
C8200,チックンタックン,C6767
C8202,アタッカーYOU!,C6768
