パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M757012,2016-01-06,1028.0,WiiU
M762515,2016-01-07,,プレイステーションVita
M744793,2016-01-12,1512.0,プレイステーション4
M744794,2016-01-12,1400.0,XboxOne
M764486,2016-01-13,702.0,WiiU
M763261,2016-01-13,1080.0,ニンテンドー3DS
M759069,2016-01-13,702.0,WiiU
M745975,2016-01-13,200.0,ニンテンドー3DS
M764568,2016-01-14,6264.0,ニンテンドー3DS
M738878,2016-01-14,3500.0,プレイステーション4
M746223,2016-01-14,7980.0,プレイステーション3
M746227,2016-01-14,7980.0,プレイステーションVita
M746226,2016-01-14,7980.0,プレイステーションVita
M746222,2016-01-14,7980.0,プレイステーション4
M746225,2016-01-14,7980.0,プレイステーション3
M764571,2016-01-14,6264.0,ニンテンドー3DS
M746224,2016-01-14,7980.0,プレイステーション4
M746541,2016-01-14,5980.0,ニンテンドー3DS
M751071,2016-01-14,4800.0,プレイステーションVita
M764563,2016-01-14,6264.0,ニンテンドー3DS
M746540,2016-01-14,5980.0,ニンテンドー3DS
M751072,2016-01-14,5800.0,プレイステーションVita
M751070,2016-01-15,6800.0,プレイステーション4
M744866,2016-01-16,1080.0,WiiU
M747707,2016-01-18,,プレイステーションVita
M747706,2016-01-18,1800.0,プレイステーションVita
M747705,2016-01-18,1800.0,プレイステーション4
M747704,2016-01-18,,プレイステーション4
M743999,2016-01-20,,プレイステーション4
M765645,2016-01-20,650.0,WiiU
M746483,2016-01-20,500.0,ニンテンドー3DS
M751996,2016-01-20,1028.0,WiiU
M760483,2016-01-20,1000.0,ニンテンドー3DS
M750474,2016-01-20,,ニンテンドー3DS
M750472,2016-01-21,9800.0,ニンテンドー3DS
M753547,2016-01-21,5990.0,XboxOne
M766708,2016-01-21,6490.0,プレイステーション3
M740031,2016-01-21,7800.0,XboxOne
M740032,2016-01-21,6800.0,XboxOne
M753545,2016-01-21,5990.0,プレイステーション4
M749240,2016-01-21,6800.0,プレイステーション4
M753602,2016-01-21,3990.0,プレイステーション3
M753603,2016-01-21,3694.0,プレイステーション4
M766711,2016-01-21,7009.0,プレイステーション3
M737561,2016-01-21,3694.0,Xbox360
M737560,2016-01-21,3700.0,XboxOne
M750470,2016-01-21,13800.0,ニンテンドー3DS
M750471,2016-01-21,5800.0,ニンテンドー3DS
M753604,2016-01-21,3990.0,プレイステーション3
M766709,2016-01-21,6490.0,プレイステーション4
M750473,2016-01-21,5143.0,ニンテンドー3DS
M766706,2016-01-21,6490.0,プレイステーション4
M756930,2016-01-21,5800.0,プレイステーションVita
M756918,2016-01-21,5800.0,プレイステーションVita
M753487,2016-01-21,7020.0,プレイステーション3
M756919,2016-01-21,5800.0,プレイステーションVita
M756935,2016-01-21,9800.0,プレイステーションVita
M756120,2016-01-21,8100.0,プレイステーション3
M744233,2016-01-21,2980.0,プレイステーション4
M756126,2016-01-21,10800.0,プレイステーション3
M720454,2016-01-21,7800.0,プレイステーション4
M756929,2016-01-21,5800.0,プレイステーションVita
M752453,2016-01-22,,プレイステーション4
M752456,2016-01-23,,プレイステーションVita
M757679,2016-01-27,702.0,WiiU
M760129,2016-01-27,617.0,ゲームアーカイブス
M751060,2016-01-27,617.0,ゲームアーカイブス
M752837,2016-01-27,500.0,ニンテンドー3DS
M747293,2016-01-27,,WiiU
M757681,2016-01-27,702.0,WiiU
M745770,2016-01-27,617.0,WiiU
M761701,2016-01-28,7680.0,XboxOne
M760480,2016-01-28,6800.0,プレイステーションVita
M760481,2016-01-28,6800.0,プレイステーションVita
M766851,2016-01-28,5800.0,プレイステーション4
M757034,2016-01-28,5076.0,WiiU
M761700,2016-01-28,7619.0,プレイステーション3
M766850,2016-01-28,8800.0,プレイステーション3
M766849,2016-01-28,6800.0,プレイステーション3
M751032,2016-01-28,2778.0,プレイステーションVita
M752458,2016-01-28,5980.0,プレイステーションVita
M760482,2016-01-28,9900.0,プレイステーションVita
M761699,2016-01-28,7619.0,プレイステーション4
M761696,2016-01-28,13800.0,プレイステーション3
M761697,2016-01-28,8800.0,プレイステーション3
M757035,2016-01-28,5076.0,WiiU
M761695,2016-01-28,8800.0,プレイステーション4
M761694,2016-01-28,13800.0,プレイステーション4
M742856,2016-01-28,5940.0,プレイステーションVita
M742857,2016-01-28,5980.0,プレイステーションVita
M752451,2016-01-28,6800.0,プレイステーション3
M766852,2016-01-28,5800.0,プレイステーション3
M721317,2016-01-28,7800.0,プレイステーション4
M745798,2016-01-28,3800.0,プレイステーションVita
M743569,2016-01-28,9980.0,プレイステーション3
M739546,2016-01-28,7800.0,プレイステーション4
M745799,2016-01-28,5800.0,プレイステーションVita
M745797,2016-01-28,3800.0,プレイステーションVita
M761698,2016-01-28,8800.0,XboxOne
M764061,2016-01-28,4400.0,プレイステーションVita
M752454,2016-01-28,7800.0,プレイステーション4
M766848,2016-01-28,8800.0,プレイステーション4
M757264,2016-01-28,,ニンテンドー3DS
M766847,2016-01-28,6800.0,プレイステーション4
M761902,2016-01-28,,プレイステーションVita
M757265,2016-01-28,,WiiU
M752457,2016-01-28,5980.0,プレイステーションVita
M763318,2016-01-28,,プレイステーションVita
M752455,2016-01-28,6800.0,プレイステーション3
M764062,2016-01-28,5400.0,プレイステーションVita
M761900,2016-01-28,,プレイステーション4
M744314,2016-01-29,823.0,プレイステーション4
M738049,2016-02-02,2000.0,Xbox360
M738048,2016-02-02,2000.0,XboxOne
M750981,2016-02-03,950.0,WiiU
M748315,2016-02-03,702.0,WiiU
M740835,2016-02-03,1500.0,プレイステーションVita
M766326,2016-02-03,1500.0,ニンテンドー3DS
M746727,2016-02-03,571.0,ゲームアーカイブス
M740837,2016-02-03,1500.0,プレイステーション3
M753405,2016-02-03,2800.0,プレイステーション4
M747294,2016-02-03,1000.0,WiiU
M740836,2016-02-03,1500.0,プレイステーション4
M761630,2016-02-04,4700.0,プレイステーションVita
M761631,2016-02-04,5724.0,プレイステーション・ポータブル
M763253,2016-02-04,1400.0,プレイステーションVita
M740956,2016-02-04,7600.0,プレイステーション4
M740954,2016-02-04,7600.0,プレイステーション4
M761632,2016-02-04,5300.0,プレイステーションVita
M743947,2016-02-05,3300.0,プレイステーションVita
M742935,2016-02-05,,プレイステーションVita
M743654,2016-02-09,1800.0,XboxOne
M743652,2016-02-09,1944.0,プレイステーション4
M762867,2016-02-10,6998.0,ニンテンドー3DS
M763643,2016-02-10,4990.0,プレイステーション4
M737510,2016-02-10,500.0,ニンテンドー3DS
M754862,2016-02-10,950.0,WiiU
M751274,2016-02-10,702.0,WiiU
M766439,2016-02-10,,プレイステーションVita
M765597,2016-02-10,600.0,ニンテンドー3DS
M763644,2016-02-10,5389.0,プレイステーション4
M764812,2016-02-10,2500.0,プレイステーション4
M736867,2016-02-10,800.0,ニンテンドー3DS
M747032,2016-02-10,864.0,ニンテンドー3DS
M762866,2016-02-10,6480.0,ニンテンドー3DS
M759821,2016-02-11,5800.0,プレイステーションVita
M759822,2016-02-11,7800.0,プレイステーションVita
M759820,2016-02-11,5184.0,プレイステーションVita
M744295,2016-02-12,823.0,プレイステーション4
M765993,2016-02-17,400.0,ニンテンドー3DS
M758129,2016-02-17,1028.0,WiiU
M753431,2016-02-17,200.0,WiiU
M749209,2016-02-17,702.0,WiiU
M759349,2016-02-17,,プレイステーションVita
M755807,2016-02-17,1234.0,ゲームアーカイブス
M757111,2016-02-17,2800.0,ニンテンドー3DS
M760514,2016-02-18,5800.0,プレイステーションVita
M742880,2016-02-18,8990.0,プレイステーション4
M763021,2016-02-18,11800.0,プレイステーションVita
M763018,2016-02-18,6762.0,プレイステーション4
M763014,2016-02-18,12800.0,プレイステーション4
M720840,2016-02-18,7990.0,プレイステーション4
M756990,2016-02-18,5076.0,ニンテンドー3DS
M760515,2016-02-18,9800.0,プレイステーションVita
M763017,2016-02-18,7800.0,プレイステーション3
M763019,2016-02-18,6762.0,プレイステーション3
M742881,2016-02-18,7398.0,プレイステーション4
M763016,2016-02-18,12800.0,プレイステーション3
M763020,2016-02-18,6000.0,プレイステーションVita
M763022,2016-02-18,6800.0,プレイステーションVita
M745343,2016-02-18,4800.0,プレイステーション4
M745344,2016-02-18,4800.0,プレイステーション4
M760513,2016-02-18,5762.0,プレイステーションVita
M763015,2016-02-18,7800.0,プレイステーション4
M745347,2016-02-18,4800.0,プレイステーションVita
M745345,2016-02-18,5184.0,プレイステーションVita
M756991,2016-02-18,5076.0,ニンテンドー3DS
M738881,2016-02-23,3500.0,プレイステーション4
M738883,2016-02-23,3500.0,XboxOne
M749137,2016-02-24,1800.0,ニンテンドー3DS
M764364,2016-02-24,680.0,ニンテンドー3DS
M752122,2016-02-24,,プレイステーションVita
M760650,2016-02-24,702.0,WiiU
M750592,2016-02-24,702.0,WiiU
M746605,2016-02-24,617.0,WiiU
M763793,2016-02-25,5800.0,プレイステーションVita
M738464,2016-02-25,8300.0,プレイステーションVita
M759079,2016-02-25,3590.0,ニンテンドー3DS
M739317,2016-02-25,2900.0,XboxOne
M744792,2016-02-25,3480.0,プレイステーションVita
M739319,2016-02-25,2900.0,XboxOne
M761901,2016-02-25,3980.0,プレイステーション4
M759077,2016-02-25,4309.0,ニンテンドー3DS
M738463,2016-02-25,6300.0,プレイステーションVita
M744791,2016-02-25,2900.0,XboxOne
M757837,2016-02-25,5023.0,プレイステーションVita
M757838,2016-02-25,5800.0,プレイステーションVita
M757839,2016-02-25,7800.0,プレイステーションVita
M739744,2016-02-25,2900.0,XboxOne
M739746,2016-02-25,2900.0,XboxOne
M763795,2016-02-25,6800.0,プレイステーションVita
M763794,2016-02-25,9800.0,プレイステーションVita
M738462,2016-02-25,6264.0,プレイステーションVita
M749409,2016-02-25,,プレイステーションVita
M760097,2016-02-25,10200.0,プレイステーション4
M720614,2016-02-25,5980.0,プレイステーションVita
M744254,2016-02-25,2900.0,XboxOne
M766603,2016-02-25,7400.0,XboxOne
M748922,2016-02-25,,プレイステーションVita
M760909,2016-02-25,6300.0,WiiU
M744790,2016-02-25,3132.0,プレイステーション4
M761905,2016-02-25,5980.0,プレイステーションVita
M766438,2016-02-25,5143.0,プレイステーションVita
M760103,2016-02-25,6100.0,プレイステーションVita
M761904,2016-02-25,4980.0,プレイステーションVita
M744252,2016-02-25,2900.0,XboxOne
M744797,2016-02-25,1512.0,プレイステーション4
M766604,2016-02-25,6800.0,XboxOne
M749431,2016-02-25,,プレイステーションVita
M744788,2016-02-25,3480.0,プレイステーション4
M743570,2016-02-25,9980.0,プレイステーション3
M760102,2016-02-25,6100.0,プレイステーションVita
M739545,2016-02-25,7800.0,プレイステーション4
M760101,2016-02-25,7200.0,プレイステーション3
M760100,2016-02-25,7200.0,プレイステーション4
M760099,2016-02-25,10200.0,プレイステーション3
M760098,2016-02-25,7200.0,プレイステーション3
M761903,2016-02-25,3980.0,プレイステーションVita
M744789,2016-02-25,2900.0,プレイステーションVita
M760096,2016-02-25,7200.0,プレイステーション4
M765545,2016-02-25,5980.0,プレイステーションVita
M765544,2016-02-25,5500.0,プレイステーションVita
M760912,2016-02-25,7344.0,WiiU
M744798,2016-02-25,1400.0,XboxOne
M744309,2016-02-26,823.0,プレイステーション4
M721316,2016-02-26,2700.0,ニンテンドー3DS
M756293,2016-02-27,1111.0,ニンテンドー3DS
M756295,2016-02-27,1111.0,ニンテンドー3DS
M756296,2016-02-27,1111.0,ニンテンドー3DS
M756283,2016-02-27,1111.0,ニンテンドー3DS
M740868,2016-03-02,800.0,ニンテンドー3DS
M757105,2016-03-02,2800.0,ニンテンドー3DS
M766235,2016-03-02,1080.0,ニンテンドー3DS
M737814,2016-03-02,1480.0,プレイステーション4
M744918,2016-03-02,950.0,WiiU
M760692,2016-03-02,702.0,WiiU
M757114,2016-03-02,2800.0,ニンテンドー3DS
M757241,2016-03-02,600.0,ニンテンドー3DS
M752358,2016-03-03,4980.0,ニンテンドー3DS
M746907,2016-03-03,6800.0,プレイステーションVita
M749292,2016-03-03,5800.0,プレイステーションVita
M720509,2016-03-03,4444.0,プレイステーション4
M740323,2016-03-03,4800.0,プレイステーション4
M749291,2016-03-03,5554.0,プレイステーションVita
M749293,2016-03-03,8800.0,プレイステーションVita
M740324,2016-03-03,4800.0,プレイステーション3
M748466,2016-03-03,6480.0,プレイステーションVita
M748467,2016-03-03,6800.0,プレイステーションVita
M748468,2016-03-03,9800.0,プレイステーションVita
M753628,2016-03-03,8190.0,ニンテンドー3DS
M753627,2016-03-03,5700.0,ニンテンドー3DS
M753626,2016-03-03,5700.0,ニンテンドー3DS
M746904,2016-03-03,7344.0,プレイステーションVita
M752359,2016-03-03,4482.0,ニンテンドー3DS
M744817,2016-03-03,2980.0,プレイステーション3
M760860,2016-03-03,,プレイステーションVita
M746901,2016-03-03,8208.0,プレイステーション4
M754790,2016-03-03,3980.0,プレイステーション4
M746899,2016-03-03,7600.0,プレイステーション4
M744808,2016-03-03,3980.0,プレイステーション4
M754795,2016-03-03,3980.0,プレイステーション3
M764114,2016-03-03,6500.0,プレイステーションVita
M764113,2016-03-03,7020.0,プレイステーションVita
M740808,2016-03-04,926.0,ニンテンドー3DS
M739373,2016-03-04,823.0,ニンテンドー3DS
M750454,2016-03-04,926.0,ニンテンドー3DS
M749685,2016-03-04,823.0,ニンテンドー3DS
M749543,2016-03-04,823.0,ニンテンドー3DS
M766334,2016-03-07,5184.0,プレイステーション・ポータブル
M764202,2016-03-09,500.0,ニンテンドー3DS
M754773,2016-03-09,185.0,ニンテンドー3DS
M749212,2016-03-09,702.0,WiiU
M761471,2016-03-09,702.0,WiiU
M747300,2016-03-09,617.0,ゲームアーカイブス
M737403,2016-03-09,1480.0,プレイステーション4
M752464,2016-03-09,,ニンテンドー3DS
M737158,2016-03-09,1500.0,プレイステーション4
M758674,2016-03-10,3500.0,プレイステーションVita
M750439,2016-03-10,6156.0,WiiU
M750440,2016-03-10,6156.0,WiiU
M760861,2016-03-10,6000.0,プレイステーションVita
M760862,2016-03-10,12800.0,プレイステーションVita
M760863,2016-03-10,6800.0,プレイステーションVita
M760864,2016-03-10,30000.0,プレイステーションVita
M748918,2016-03-10,7200.0,プレイステーション4
M748920,2016-03-10,7200.0,プレイステーション4
M748923,2016-03-10,6800.0,プレイステーションVita
M748925,2016-03-10,9800.0,プレイステーションVita
M748926,2016-03-10,6800.0,プレイステーションVita
M754051,2016-03-10,3980.0,プレイステーション4
M754052,2016-03-10,3480.0,プレイステーション4
M751509,2016-03-10,7500.0,XboxOne
M757637,2016-03-10,6264.0,ニンテンドー3DS
M751503,2016-03-10,8400.0,プレイステーション4
M751505,2016-03-10,8400.0,XboxOne
M751506,2016-03-10,7500.0,プレイステーション4
M751507,2016-03-10,13284.0,プレイステーション4
M757634,2016-03-10,6264.0,ニンテンドー3DS
M758676,2016-03-10,3500.0,プレイステーションVita
M757636,2016-03-10,5800.0,ニンテンドー3DS
M757635,2016-03-10,6264.0,ニンテンドー3DS
M763320,2016-03-10,6900.0,プレイステーションVita
M763319,2016-03-10,5900.0,プレイステーションVita
M720839,2016-03-10,7236.0,WiiU
M739893,2016-03-10,3500.0,プレイステーションVita
M744329,2016-03-11,823.0,プレイステーション4
M741406,2016-03-11,2000.0,XboxOne
M750538,2016-03-15,2400.0,プレイステーション3
M742220,2016-03-16,2160.0,XboxOne
M764650,2016-03-16,702.0,WiiU
M748000,2016-03-16,702.0,WiiU
M765864,2016-03-17,2700.0,ニンテンドー3DS
M765862,2016-03-17,2700.0,ニンテンドー3DS
M766719,2016-03-17,3800.0,プレイステーション4
M751740,2016-03-17,6800.0,プレイステーションVita
M738717,2016-03-17,3800.0,プレイステーション4
M763680,2016-03-17,4980.0,プレイステーション4
M763682,2016-03-17,4611.0,プレイステーション4
M766720,2016-03-17,3800.0,プレイステーション3
M740710,2016-03-17,2700.0,WiiU
M746397,2016-03-17,7800.0,プレイステーションVita
M759502,2016-03-17,8800.0,プレイステーションVita
M746395,2016-03-17,4800.0,プレイステーションVita
M750417,2016-03-17,7800.0,プレイステーション4
M748471,2016-03-17,2700.0,ニンテンドー3DS
M763895,2016-03-17,2700.0,ニンテンドー3DS
M747494,2016-03-17,2700.0,ニンテンドー3DS
M747493,2016-03-17,2700.0,ニンテンドー3DS
M763896,2016-03-17,2700.0,ニンテンドー3DS
M750290,2016-03-17,2700.0,ニンテンドー3DS
M750292,2016-03-17,2700.0,ニンテンドー3DS
M759500,2016-03-17,6480.0,プレイステーションVita
M750416,2016-03-17,7800.0,プレイステーション4
M759501,2016-03-17,6800.0,プレイステーションVita
M746396,2016-03-17,5800.0,プレイステーションVita
M748470,2016-03-17,2700.0,ニンテンドー3DS
M721313,2016-03-17,6800.0,プレイステーションVita
M741311,2016-03-17,2700.0,ニンテンドー3DS
M752276,2016-03-17,2700.0,ニンテンドー3DS
M721315,2016-03-17,2700.0,ニンテンドー3DS
M741309,2016-03-17,2700.0,ニンテンドー3DS
M721314,2016-03-17,2700.0,ニンテンドー3DS
M752308,2016-03-17,2700.0,ニンテンドー3DS
M752274,2016-03-17,2700.0,ニンテンドー3DS
M741306,2016-03-17,2700.0,ニンテンドー3DS
M741308,2016-03-17,2700.0,ニンテンドー3DS
M758594,2016-03-17,2700.0,ニンテンドー3DS
M752311,2016-03-17,2700.0,ニンテンドー3DS
M760011,2016-03-17,2000.0,プレイステーションVita
M758596,2016-03-17,2700.0,ニンテンドー3DS
M752333,2016-03-17,2700.0,ニンテンドー3DS
M741305,2016-03-17,2700.0,ニンテンドー3DS
M752335,2016-03-17,2700.0,ニンテンドー3DS
M756439,2016-03-18,6800.0,WiiU
M756440,2016-03-18,7200.0,WiiU
M744119,2016-03-22,2590.0,プレイステーションVita
M743437,2016-03-23,400.0,ニンテンドー3DS
M737406,2016-03-23,539.0,WiiU
M744571,2016-03-23,699.0,プレイステーションVita
M756364,2016-03-23,702.0,WiiU
M756363,2016-03-23,950.0,WiiU
M744570,2016-03-23,699.0,プレイステーション4
M746111,2016-03-23,1000.0,WiiU
M764379,2016-03-23,823.0,WiiU
M754422,2016-03-23,864.0,ニンテンドー3DS
M738256,2016-03-24,6930.0,XboxOne
M743513,2016-03-24,,プレイステーション4
M738252,2016-03-24,7430.0,XboxOne
M738254,2016-03-24,7430.0,プレイステーション4
M762461,2016-03-24,7800.0,プレイステーションVita
M762460,2016-03-24,11800.0,プレイステーションVita
M759649,2016-03-24,5700.0,ニンテンドー3DS
M759648,2016-03-24,5700.0,ニンテンドー3DS
M762459,2016-03-24,6762.0,プレイステーションVita
M762458,2016-03-24,7619.0,プレイステーション3
M738323,2016-03-24,6762.0,プレイステーションVita
M738325,2016-03-24,7800.0,プレイステーションVita
M762453,2016-03-24,12800.0,プレイステーション4
M738324,2016-03-24,12800.0,プレイステーションVita
M762454,2016-03-24,8800.0,プレイステーション4
M759247,2016-03-24,2200.0,プレイステーションVita
M762457,2016-03-24,7619.0,プレイステーション4
M762456,2016-03-24,8800.0,プレイステーション3
M762455,2016-03-24,12800.0,プレイステーション3
M738250,2016-03-24,7430.0,プレイステーション4
M741718,2016-03-24,7800.0,プレイステーション4
M753428,2016-03-24,1000.0,プレイステーションVita
M752465,2016-03-24,5250.0,ニンテンドー3DS
M753426,2016-03-24,1000.0,プレイステーションVita
M753425,2016-03-24,1000.0,プレイステーション4
M742864,2016-03-24,3800.0,XboxOne
M742865,2016-03-24,3800.0,XboxOne
M739550,2016-03-24,7800.0,プレイステーション4
M741725,2016-03-24,9800.0,プレイステーションVita
M741724,2016-03-24,7800.0,プレイステーションVita
M752615,2016-03-24,4300.0,XboxOne
M752614,2016-03-24,4644.0,プレイステーション4
M749432,2016-03-24,3980.0,プレイステーションVita
M749433,2016-03-24,4980.0,プレイステーションVita
M749434,2016-03-24,6980.0,プレイステーションVita
M752613,2016-03-24,4980.0,プレイステーション4
M752463,2016-03-24,5250.0,ニンテンドー3DS
M741722,2016-03-24,7560.0,プレイステーションVita
M738233,2016-03-24,5800.0,プレイステーションVita
M738234,2016-03-24,7800.0,プレイステーションVita
M741721,2016-03-24,7560.0,プレイステーション4
M738320,2016-03-24,13800.0,プレイステーション4
M738321,2016-03-24,8800.0,プレイステーション4
M738322,2016-03-24,7619.0,プレイステーション4
M720508,2016-03-24,7430.0,プレイステーション4
M762191,2016-03-24,6990.0,プレイステーションVita
M753427,2016-03-24,1000.0,プレイステーション4
M762193,2016-03-24,6990.0,プレイステーションVita
M741719,2016-03-24,9800.0,プレイステーション4
M738232,2016-03-24,5023.0,プレイステーションVita
M762192,2016-03-24,,プレイステーションVita
M741705,2016-03-25,1000.0,XboxOne
M741704,2016-03-25,1079.0,プレイステーションVita
M741703,2016-03-25,1079.0,プレイステーション4
M743798,2016-03-25,,プレイステーション4
M744315,2016-03-25,823.0,プレイステーション4
M743653,2016-03-29,,プレイステーション4
M753614,2016-03-29,2800.0,プレイステーション4
M753616,2016-03-29,2600.0,XboxOne
M757068,2016-03-30,1028.0,WiiU
M751976,2016-03-30,,ニンテンドー3DS
M740766,2016-03-30,7452.0,プレイステーション4
M754993,2016-03-30,702.0,WiiU
M742043,2016-03-30,500.0,ニンテンドー3DS
M740769,2016-03-30,5292.0,プレイステーション3
M740768,2016-03-30,10692.0,プレイステーション4
M740767,2016-03-30,6372.0,プレイステーション4
M743909,2016-03-31,6286.0,プレイステーション3
M743661,2016-03-31,,プレイステーションVita
M748364,2016-03-31,9800.0,プレイステーション3
M743911,2016-03-31,6800.0,プレイステーションVita
M749412,2016-03-31,8800.0,プレイステーションVita
M749926,2016-03-31,7980.0,プレイステーション4
M749928,2016-03-31,7980.0,プレイステーション4
M743910,2016-03-31,6000.0,プレイステーションVita
M748366,2016-03-31,9800.0,プレイステーションVita
M741609,2016-03-31,,プレイステーション4
M743908,2016-03-31,6762.0,プレイステーション4
M743907,2016-03-31,7200.0,プレイステーション3
M743906,2016-03-31,7800.0,プレイステーション4
M749410,2016-03-31,6800.0,プレイステーションVita
M749411,2016-03-31,6800.0,プレイステーションVita
M748363,2016-03-31,6800.0,プレイステーション3
M748365,2016-03-31,6800.0,プレイステーションVita
M766561,2016-04-02,4600.0,ニンテンドー3DS
M766562,2016-04-02,4600.0,ニンテンドー3DS
M749690,2016-04-06,823.0,ニンテンドー3DS
M742563,2016-04-06,1000.0,プレイステーション4
M749548,2016-04-06,823.0,ニンテンドー3DS
M753693,2016-04-06,823.0,ニンテンドー3DS
M736835,2016-04-06,,ニンテンドー3DS
M757118,2016-04-06,2800.0,ニンテンドー3DS
M756823,2016-04-06,500.0,ニンテンドー3DS
M756336,2016-04-06,1028.0,WiiU
M764651,2016-04-06,702.0,WiiU
M736834,2016-04-06,500.0,ニンテンドー3DS
M756490,2016-04-07,4800.0,ニンテンドー3DS
M756489,2016-04-07,4800.0,ニンテンドー3DS
M751482,2016-04-07,3996.0,ニンテンドー3DS
M754802,2016-04-07,8400.0,プレイステーション4
M751483,2016-04-07,3996.0,ニンテンドー3DS
M754803,2016-04-07,7500.0,プレイステーション4
M742542,2016-04-07,2500.0,ニンテンドー3DS
M741750,2016-04-07,7400.0,XboxOne
M741749,2016-04-07,7900.0,XboxOne
M754801,2016-04-07,8400.0,XboxOne
M754799,2016-04-07,8400.0,プレイステーション4
M754804,2016-04-07,8748.0,XboxOne
M754805,2016-04-07,7500.0,XboxOne
M737819,2016-04-07,6800.0,プレイステーションVita
M742543,2016-04-07,2500.0,ニンテンドー3DS
M737818,2016-04-07,6480.0,プレイステーションVita
M765232,2016-04-08,864.0,プレイステーション4
M741815,2016-04-08,2200.0,プレイステーション3
M762978,2016-04-08,5184.0,プレイステーション・ポータブル
M753052,2016-04-08,514.0,プレイステーション4
M764914,2016-04-11,,プレイステーション4
M756498,2016-04-13,400.0,ニンテンドー3DS
M756347,2016-04-13,879.0,WiiU
M754958,2016-04-13,702.0,WiiU
M741294,2016-04-13,400.0,ニンテンドー3DS
M741880,2016-04-14,3600.0,プレイステーション4
M766597,2016-04-14,,プレイステーションVita
M742557,2016-04-14,5800.0,プレイステーション4
M741881,2016-04-14,3240.0,プレイステーション4
M742560,2016-04-14,4200.0,プレイステーションVita
M742561,2016-04-14,5800.0,プレイステーションVita
M742559,2016-04-14,4200.0,プレイステーション4
M742562,2016-04-14,4800.0,プレイステーションVita
M742558,2016-04-14,4800.0,プレイステーション4
M751436,2016-04-14,7290.0,プレイステーション4
M751435,2016-04-14,7500.0,プレイステーション4
M737111,2016-04-15,432.0,XboxOne
M755141,2016-04-20,463.0,ニンテンドー3DS
M752114,2016-04-20,617.0,ゲームアーカイブス
M755131,2016-04-20,4990.0,プレイステーションVita
M754960,2016-04-20,702.0,WiiU
M751366,2016-04-20,370.0,ニンテンドー3DS
M737338,2016-04-20,500.0,XboxOne
M759569,2016-04-20,762.0,WiiU
M737339,2016-04-20,500.0,プレイステーション4
M737332,2016-04-20,1000.0,XboxOne
M737337,2016-04-20,500.0,プレイステーション4
M755130,2016-04-20,4990.0,プレイステーション4
M737333,2016-04-20,500.0,プレイステーション4
M755042,2016-04-20,879.0,WiiU
M737334,2016-04-20,500.0,XboxOne
M765792,2016-04-20,800.0,ニンテンドー3DS
M737336,2016-04-20,500.0,XboxOne
M737331,2016-04-20,1000.0,プレイステーション4
M755126,2016-04-20,,プレイステーション4
M737340,2016-04-20,500.0,XboxOne
M737335,2016-04-20,500.0,プレイステーション4
M741370,2016-04-21,11448.0,プレイステーション4
M754175,2016-04-21,2800.0,XboxOne
M741371,2016-04-21,10584.0,プレイステーションVita
M739549,2016-04-21,7800.0,プレイステーション4
M751977,2016-04-21,3000.0,ニンテンドー3DS
M751975,2016-04-21,4104.0,ニンテンドー3DS
M754390,2016-04-21,6000.0,プレイステーションVita
M754391,2016-04-21,6800.0,プレイステーションVita
M741372,2016-04-21,9800.0,プレイステーションVita
M754170,2016-04-21,2800.0,XboxOne
M741369,2016-04-21,10600.0,プレイステーション4
M754167,2016-04-21,2800.0,プレイステーション4
M743588,2016-04-21,3800.0,プレイステーション4
M743589,2016-04-21,3800.0,プレイステーション3
M743590,2016-04-21,3800.0,プレイステーション4
M743591,2016-04-21,3800.0,プレイステーション3
M766600,2016-04-21,5800.0,プレイステーションVita
M766599,2016-04-21,5600.0,ニンテンドー3DS
M762975,2016-04-21,7800.0,プレイステーション・ポータブル
M762974,2016-04-21,5800.0,プレイステーション・ポータブル
M762973,2016-04-21,5800.0,プレイステーションVita
M749968,2016-04-21,1500.0,WiiU
M749972,2016-04-21,5700.0,WiiU
M762977,2016-04-21,7800.0,プレイステーションVita
M753143,2016-04-21,8300.0,プレイステーションVita
M762976,2016-04-21,5800.0,プレイステーションVita
M753142,2016-04-21,6300.0,プレイステーションVita
M750803,2016-04-21,5480.0,プレイステーション4
M766596,2016-04-21,6264.0,ニンテンドー3DS
M736895,2016-04-21,7020.0,WiiU
M766598,2016-04-21,6264.0,プレイステーションVita
M741361,2016-04-21,7600.0,プレイステーション4
M741368,2016-04-21,6800.0,プレイステーションVita
M741363,2016-04-21,7600.0,プレイステーション4
M750802,2016-04-21,5980.0,プレイステーション4
M753141,2016-04-21,5800.0,プレイステーションVita
M741366,2016-04-21,6800.0,プレイステーションVita
M744297,2016-04-22,823.0,プレイステーション4
M759850,2016-04-25,,プレイステーションVita
M759029,2016-04-26,3980.0,プレイステーションVita
M741978,2016-04-26,1999.0,プレイステーションVita
M759030,2016-04-26,5980.0,プレイステーションVita
M750895,2016-04-26,,プレイステーション4
M741977,2016-04-26,2159.0,プレイステーション4
M759028,2016-04-26,3086.0,プレイステーションVita
M755228,2016-04-27,463.0,プレイステーションVita
M754616,2016-04-27,500.0,ニンテンドー3DS
M761557,2016-04-27,1028.0,WiiU
M757069,2016-04-27,950.0,WiiU
M764711,2016-04-27,800.0,ニンテンドー3DS
M757101,2016-04-27,2800.0,ニンテンドー3DS
