パッケージID,ゲームパッケージの発売日,価格,プラットフォーム名
M727507,1988-10-23,6500.0,ファミリーコンピュータ
M727506,1988-10-29,5800.0,メガドライブ
M749502,1988-10-29,5800.0,メガドライブ
M727505,1988-10-30,9800.0,ファミリーコンピュータ
M727503,1988-11-10,5800.0,ファミリーコンピュータ
M727502,1988-11-18,4900.0,PCエンジン
M727501,1988-11-25,4900.0,ファミリーコンピュータ
M727500,1988-11-27,5800.0,メガドライブ
M736389,1988-12-02,6800.0,PC-8801
M727499,1988-12-02,5800.0,ファミリーコンピュータ
M727497,1988-12-04,4980.0,PCエンジン
M727496,1988-12-09,6700.0,PCエンジン
M727495,1988-12-16,5500.0,ファミリーコンピュータ
M727493,1988-12-16,5900.0,ファミリーコンピュータ
M727492,1988-12-16,5500.0,PCエンジン
M727494,1988-12-16,5500.0,ファミリーコンピュータ
M727491,1988-12-17,6500.0,ファミリーコンピュータ
M727490,1988-12-20,4900.0,ファミリーコンピュータ
M727489,1988-12-22,4900.0,ファミリーコンピュータ
M727488,1988-12-22,4900.0,PCエンジン
M727487,1988-12-23,4980.0,PCエンジン
M746329,1988-12-24,5500.0,メガドライブ
M727486,1988-12-24,6800.0,ファミリーコンピュータ
M754642,1989-01-14,6300.0,PCエンジン
M727465,1989-01-20,5900.0,ファミリーコンピュータ
M727464,1989-01-27,5900.0,ファミリーコンピュータ
M727463,1989-01-30,6500.0,ファミリーコンピュータ
M727461,1989-02-09,5800.0,PCエンジン
M727462,1989-02-09,4900.0,ファミリーコンピュータ
M745178,1989-02-10,5500.0,メガドライブ
M727460,1989-02-11,5900.0,ファミリーコンピュータ
M727459,1989-02-15,6500.0,ファミリーコンピュータ
M727458,1989-02-17,6900.0,ファミリーコンピュータ
M727457,1989-02-21,6500.0,ファミリーコンピュータ
M727455,1989-02-28,5900.0,ファミリーコンピュータ
M727454,1989-02-28,5200.0,PCエンジン
M727453,1989-03-03,5900.0,ファミリーコンピュータ
M727451,1989-03-04,5800.0,PCエンジン
M727449,1989-03-17,5900.0,ファミリーコンピュータ
M727448,1989-03-17,5600.0,PCエンジン
M727450,1989-03-17,5900.0,ファミリーコンピュータ
M727447,1989-03-18,5200.0,PCエンジン
M727446,1989-03-20,5200.0,PCエンジン
M727445,1989-03-21,8800.0,メガドライブ
M738947,1989-03-23,6300.0,PCエンジン
M727444,1989-03-24,5500.0,PCエンジン
M727442,1989-03-28,5800.0,ファミリーコンピュータ
M727443,1989-03-28,5300.0,PCエンジン
M727440,1989-03-31,5800.0,ファミリーコンピュータ
M727439,1989-03-31,5900.0,ファミリーコンピュータ
M727438,1989-03-31,5500.0,PCエンジン
M727437,1989-03-31,5300.0,PCエンジン
M727441,1989-03-31,9800.0,ファミリーコンピュータ
M727435,1989-04-01,5500.0,PCエンジン
M727434,1989-04-14,5200.0,PCエンジン
M727433,1989-04-18,6500.0,ファミリーコンピュータ
M727432,1989-04-20,9800.0,ファミリーコンピュータ
M727428,1989-04-21,5200.0,PCエンジン
M727427,1989-04-21,2600.0,ゲームボーイ
M727431,1989-04-21,2600.0,ゲームボーイ
