ccid,crtid
C88296,CCRT03083
C88298,CCRT02458
C88299,CCRT01022
C88300,CCRT03272
C88301,CCRT02454
C88301,CCRT02836
C88302,CCRT02575
C88303,CCRT02512
C88304,CCRT01440
C88305,CCRT00905
C88306,CCRT02840
C88307,CCRT00460
C88308,CCRT02810
C88309,CCRT02810
C88310,CCRT00348
C88312,CCRT01328
C88313,CCRT01487
C88314,CCRT00134
C88315,CCRT01487
C88316,CCRT03217
C88318,CCRT03176
C88324,CCRT02552
C88326,CCRT00812
C88327,CCRT00633
C88328,CCRT02344
C88329,CCRT01814
C88329,CCRT02433
C88330,CCRT00694
C88331,CCRT01680
C88332,CCRT00955
C88332,CCRT01512
C88333,CCRT00056
C88334,CCRT00134
C88335,CCRT02598
C88335,CCRT02954
C88336,CCRT03067
C88337,CCRT03324
C88338,CCRT02320
C88339,CCRT01376
C88340,CCRT00447
C88341,CCRT00460
C88342,CCRT01002
C88343,CCRT03340
C88344,CCRT02157
C88345,CCRT01207
C88346,CCRT02638
C88348,CCRT02764
C88350,CCRT03330
C88351,CCRT00406
C88352,CCRT02769
C88353,CCRT01441
C88353,CCRT02377
C88354,CCRT01441
C88354,CCRT02379
C88355,CCRT01377
C88356,CCRT02865
C88357,CCRT03357
C88359,CCRT00611
C88360,CCRT02552
C88361,CCRT01050
C88362,CCRT00056
C88365,CCRT00233
C88366,CCRT01098
C88367,CCRT01098
C88368,CCRT00385
C88369,CCRT00543
C88370,CCRT00544
C88371,CCRT02601
C88372,CCRT01075
C88373,CCRT03091
C88374,CCRT00330
C88375,CCRT01985
C88376,CCRT00381
C88379,CCRT02275
C88380,CCRT03331
C88381,CCRT01804
C88383,CCRT00094
C88384,CCRT01218
C88386,CCRT01016
C88387,CCRT00766
C88388,CCRT01792
C88389,CCRT01276
C88390,CCRT03295
C88391,CCRT03295
C88392,CCRT03295
C88393,CCRT03122
C88394,CCRT02983
C88397,CCRT00971
C88398,CCRT02196
C88399,CCRT01002
C88400,CCRT00071
C88401,CCRT01798
C88402,CCRT00210
C88403,CCRT01993
C88403,CCRT02588
C88406,CCRT02254
C88407,CCRT01295
C88408,CCRT01806
C88409,CCRT02979
C88410,CCRT01677
C88411,CCRT00336
C88412,CCRT02404
C88413,CCRT01902
C88414,CCRT01300
C88415,CCRT01575
C88416,CCRT00096
C88417,CCRT01754
C88418,CCRT02760
C88418,CCRT02763
C88419,CCRT01217
C88420,CCRT00753
C88420,CCRT01086
C88421,CCRT00681
C88422,CCRT00687
C88423,CCRT00937
C88424,CCRT03272
C88425,CCRT03324
C88426,CCRT02732
C88427,CCRT00385
C88428,CCRT00330
C88429,CCRT01656
C88429,CCRT01859
C88429,CCRT02285
C88430,CCRT01104
C88430,CCRT01227
C88433,CCRT01715
C88435,CCRT00705
C88436,CCRT02730
C88437,CCRT01832
C88437,CCRT02493
C88438,CCRT01281
C88440,CCRT03058
C88441,CCRT01826
C88442,CCRT02288
C88442,CCRT03037
C88443,CCRT02288
C88443,CCRT03037
C88444,CCRT03303
C88445,CCRT01050
C88445,CCRT03166
C88446,CCRT00083
C88448,CCRT00982
C88449,CCRT00812
C88449,CCRT01391
C88450,CCRT01613
C88451,CCRT02521
C88452,CCRT01670
C88452,CCRT02288
C88453,CCRT02297
C88454,CCRT01275
C88454,CCRT01276
C88457,CCRT02164
C88458,CCRT01926
C88459,CCRT00450
C88460,CCRT02178
C88461,CCRT00627
C88462,CCRT01533
C88463,CCRT02263
C88464,CCRT00001
C88464,CCRT00041
C88465,CCRT03129
C88466,CCRT02148
C88467,CCRT00895
C88468,CCRT01016
C88472,CCRT03272
C88475,CCRT02035
C88476,CCRT01533
C88477,CCRT01149
C88477,CCRT03037
C88478,CCRT00206
C88478,CCRT00954
C88479,CCRT03177
C88480,CCRT01016
C88481,CCRT02178
C88482,CCRT03295
C88483,CCRT01754
C88484,CCRT00399
C88485,CCRT02768
C88485,CCRT02994
C88486,CCRT00484
C88487,CCRT00233
C88488,CCRT01050
C88488,CCRT01282
C88489,CCRT00864
C88489,CCRT03177
C88490,CCRT00128
C88491,CCRT02865
C88492,CCRT02865
C88493,CCRT02320
C88495,CCRT01560
C88495,CCRT02768
C88496,CCRT00094
C88498,CCRT01377
C88499,CCRT01281
C88500,CCRT01979
C88501,CCRT01228
C88502,CCRT01457
C88502,CCRT03046
C88503,CCRT02732
C88504,CCRT00544
C88505,CCRT02521
C88506,CCRT03112
C88507,CCRT02124
C88507,CCRT03037
C88508,CCRT02512
C88508,CCRT02910
C88510,CCRT01105
C88513,CCRT02438
C88514,CCRT03276
C88515,CCRT00163
C88516,CCRT02840
C88517,CCRT01714
C88517,CCRT03046
C88518,CCRT00982
C88519,CCRT00074
C88520,CCRT01846
C88521,CCRT01518
C88522,CCRT00978
C88523,CCRT01675
C88524,CCRT01754
C88525,CCRT00163
C88526,CCRT03022
C88528,CCRT03014
C88529,CCRT02333
C88530,CCRT02021
C88531,CCRT00554
C88531,CCRT02746
C88532,CCRT00460
C88533,CCRT00069
C88534,CCRT01743
C88535,CCRT01276
C88536,CCRT00532
C88537,CCRT01053
C88538,CCRT03037
C88540,CCRT00868
C88542,CCRT03260
C88543,CCRT01329
C88543,CCRT01816
C88549,CCRT02333
C88550,CCRT00982
C88551,CCRT03295
C88552,CCRT00610
C88552,CCRT02160
C88553,CCRT03295
C88554,CCRT01832
C88557,CCRT01016
C88558,CCRT02196
C88559,CCRT00294
C88560,CCRT00676
C88561,CCRT01299
C88562,CCRT03364
C88563,CCRT01441
C88563,CCRT02378
C88564,CCRT01220
C88565,CCRT01322
C88566,CCRT01313
C88567,CCRT02196
C88569,CCRT02878
C88570,CCRT02115
C88571,CCRT00468
C88572,CCRT01694
C88573,CCRT01694
C88574,CCRT03058
C88575,CCRT00210
C88576,CCRT00681
C88577,CCRT03130
C88579,CCRT02860
C88580,CCRT01844
C88581,CCRT01938
C88582,CCRT01481
C88583,CCRT01470
C88584,CCRT02102
C88586,CCRT01052
C88587,CCRT02344
C88588,CCRT02344
C88589,CCRT01753
C88590,CCRT01668
C88591,CCRT00460
C88591,CCRT01687
C88592,CCRT00698
C88593,CCRT02925
C88594,CCRT01518
C88595,CCRT02237
C88596,CCRT00014
C88597,CCRT02625
C88597,CCRT02816
C88598,CCRT00922
C88600,CCRT02462
C88601,CCRT01773
C88603,CCRT01668
C88604,CCRT00730
C88605,CCRT00612
C88605,CCRT02653
C88606,CCRT02075
C88608,CCRT01086
C88610,CCRT01779
C88611,CCRT00988
C88612,CCRT01379
C88613,CCRT01779
C88615,CCRT03353
C88617,CCRT03052
C88619,CCRT02706
C88620,CCRT00425
C88620,CCRT03039
C88621,CCRT00758
C88621,CCRT01227
C88621,CCRT02301
C88622,CCRT00598
C88623,CCRT00134
C88624,CCRT00446
C88625,CCRT02343
C88626,CCRT00056
C88627,CCRT03271
C88628,CCRT02521
C88629,CCRT01178
C88629,CCRT01591
C88630,CCRT02748
C88631,CCRT02415
C88632,CCRT00113
C88633,CCRT02343
C88634,CCRT00570
C88637,CCRT01459
C88638,CCRT03324
C88639,CCRT00489
C88640,CCRT00163
C88641,CCRT02440
