ccid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname
C92259,甲子園が好き,6,1,0,1987-07-29,1987-09-02,C117607,週刊少年サンデー
C92260,拘束えすぱあ,2,0,0,1983-08-10,1983-08-17,C117607,週刊少年サンデー
C92262,皇帝戦士 斑鳩 聖徳太子異伝,13,0,1,1992-04-08,1992-07-01,C117607,週刊少年サンデー
C92264,鋼鉄の華っ柱,90,0,2,2010-09-29,2012-09-12,C117607,週刊少年サンデー
C92265,幸福の都市,1,0,0,1980-07-06,1980-07-06,C117607,週刊少年サンデー
C92266,スプリガン,17,2,2,1989-02-22,1998-09-09,C117607,週刊少年サンデー
C92267,スプリングコール,1,0,1,1993-03-31,1993-03-31,C117607,週刊少年サンデー
C92268,スプリンター,121,27,0,1984-10-31,1987-04-08,C117607,週刊少年サンデー
C92269,ギャグおじさん,1,0,0,1971-03-21,1971-03-21,C117607,週刊少年サンデー
C92270,ギャグ＋ギャグ,6,0,0,1970-08-02,1970-09-06,C117607,週刊少年サンデー
C92271,キャッチマン,23,0,1,1973-09-02,1974-02-17,C117607,週刊少年サンデー
C92272,キャットラベラー,1,0,0,1990-11-07,1990-11-07,C117607,週刊少年サンデー
C92273,キャットルーキー,1,1,0,2002-04-24,2002-04-24,C117607,週刊少年サンデー
C92279,キャプテン・アース,19,0,1,2014-04-09,2014-10-08,C117607,週刊少年サンデー
C92281,今際の国のアリス,35,0,11,2012-07-11,2016-03-02,C117607,週刊少年サンデー
C92284,イヤーン!弁慶,1,0,0,1974-03-03,1974-03-03,C117607,週刊少年サンデー
C92285,入来兄弟物語 ～俺達は燃えつきない!～,1,1,0,2002-04-03,2002-04-03,C117607,週刊少年サンデー
C92286,いるか!!,6,0,0,2001-06-06,2001-07-11,C117607,週刊少年サンデー
C92288,[インタビュー/対談/座談会],1,0,0,2012-07-11,2012-07-11,C117607,週刊少年サンデー
C92289,ヴァージンロードにあこがれて,1,0,0,1983-06-15,1983-06-15,C117607,週刊少年サンデー
C92290,うえきの法則,155,0,16,2001-08-08,2006-02-08,C117607,週刊少年サンデー
C92291,うえきの法則＋,46,0,9,2005-04-20,2007-07-04,C117607,週刊少年サンデー
C92292,クレーシャの鐘,1,0,0,2014-03-26,2014-03-26,C117607,週刊少年サンデー
C92294,紅の騎士ロックウェル,1,0,0,2009-10-14,2009-10-14,C117607,週刊少年サンデー
C92295,紅蓮の剣,2,1,0,1999-10-06,1999-10-13,C117607,週刊少年サンデー
C92297,黒い隼,1,0,0,1973-01-14,1973-01-14,C117607,週刊少年サンデー
C92298,黒い鷲,34,0,1,1973-04-29,1974-02-03,C117607,週刊少年サンデー
C92299,クロザクロ,67,0,6,2004-08-11,2006-01-01,C117607,週刊少年サンデー
C92301,クロスゲーム,169,0,24,2005-05-11,2010-02-17,C117607,週刊少年サンデー
C92303,クロノ・モノクローム,47,0,5,2013-12-04,2014-12-03,C117607,週刊少年サンデー
C92306,黒松・ザ・ノーベレスト,5,0,0,2003-04-30,2003-06-04,C117607,週刊少年サンデー
C92308,ケイガク～みらいみなと警察学校～,1,0,0,2010-07-28,2010-07-28,C117607,週刊少年サンデー
C92312,競女!!!!!!!!,177,0,16,2013-07-24,2017-04-26,C117607,週刊少年サンデー
C92313,ゲイン,68,1,3,1997-01-01,1998-08-12,C117607,週刊少年サンデー
C92317,激犬シアター,48,1,0,1994-01-01,1994-12-14,C117607,週刊少年サンデー
C92318,激猿シアター,25,1,0,1992-04-08,1992-12-16,C117607,週刊少年サンデー
C92321,激痛!キーパーノック,1,0,0,1986-09-24,1986-09-24,C117607,週刊少年サンデー
C92322,激闘!!ベースボール一家,1,0,0,1993-05-05,1993-05-05,C117607,週刊少年サンデー
C92323,激鳥シアター,48,0,0,1993-01-01,1993-12-15,C117607,週刊少年サンデー
C92324,ゲゲゲの鬼太郎,14,0,1,1971-09-26,1971-12-26,C117607,週刊少年サンデー
C92325,ケダマン,40,0,1,1972-01-16,1972-10-22,C117607,週刊少年サンデー
C92326,結界師,346,0,38,2003-05-07,2011-04-06,C117607,週刊少年サンデー
C92329,月光仮面,9,0,0,1972-06-18,1972-09-17,C117607,週刊少年サンデー
C92330,月光条例,286,0,11,2008-04-09,2014-04-09,C117607,週刊少年サンデー
C92332,ゲッター・ロボ,70,0,1,1974-03-31,1975-08-24,C117607,週刊少年サンデー
C92333,血闘者,2,0,0,1973-11-18,1973-12-23,C117607,週刊少年サンデー
C92336,ゲメル宇宙武器店,2,0,1,2000-01-02,2000-01-09,C117607,週刊少年サンデー
C92337,幻影少年,2,0,1,2009-09-23,2010-07-21,C117607,週刊少年サンデー
C92339,けんか鶏,1,0,0,1977-07-10,1977-07-10,C117607,週刊少年サンデー
C92340,ケンカの聖書,51,2,11,1971-01-03,1971-12-26,C117607,週刊少年サンデー
C92341,ケンガンアシュラ,3,0,3,2013-10-02,2014-08-20,C117607,週刊少年サンデー
C92343,研光,1,1,0,1988-01-22,1988-01-22,C117607,週刊少年サンデー
C92344,ゲンゴローの恋,1,0,0,1971-03-28,1971-03-28,C117607,週刊少年サンデー
C92345,拳児,201,23,1,1988-01-02,1992-01-22,C117607,週刊少年サンデー
C92347,健太やります!,237,15,5,1989-07-12,1994-06-01,C117607,週刊少年サンデー
C92348,犬ちゃん,1,0,0,2004-04-21,2004-04-21,C117607,週刊少年サンデー
C92351,小悪魔王伝 戦コレ!,20,0,1,2012-04-11,2012-09-12,C117607,週刊少年サンデー
C92352,恋して!?神様!!,1,0,0,2007-07-25,2007-07-25,C117607,週刊少年サンデー
