miid,miname,mcid,mcname,date,price
M578111,週刊少年サンデー 1993年 表示号数34,C117607,週刊少年サンデー,1993-08-11,200.0
M536301,週刊少年マガジン 1993年 表示号数34,C119033,週刊少年マガジン,1993-08-11,210.0
M557095,週刊少年チャンピオン 1993年 表示号数35,C120282,週刊少年チャンピオン,1993-08-12,210.0
M543636,週刊少年ジャンプ 1993年 表示号数35,C119459,週刊少年ジャンプ,1993-08-16,190.0
M578110,週刊少年サンデー 1993年 表示号数35,C117607,週刊少年サンデー,1993-08-18,210.0
M536300,週刊少年マガジン 1993年 表示号数35,C119033,週刊少年マガジン,1993-08-18,210.0
M557094,週刊少年チャンピオン 1993年 表示号数36,C120282,週刊少年チャンピオン,1993-08-19,210.0
M543635,週刊少年ジャンプ 1993年 表示号数36,C119459,週刊少年ジャンプ,1993-08-23,200.0
M536299,週刊少年マガジン 1993年 表示号数36,C119033,週刊少年マガジン,1993-08-25,210.0
M578108,週刊少年サンデー 1993年 表示号数37,C117607,週刊少年サンデー,1993-09-01,210.0
M557093,週刊少年チャンピオン 1993年 表示号数38,C120282,週刊少年チャンピオン,1993-09-02,210.0
M543634,週刊少年ジャンプ 1993年 表示号数38,C119459,週刊少年ジャンプ,1993-09-06,200.0
M578107,週刊少年サンデー 1993年 表示号数38,C117607,週刊少年サンデー,1993-09-08,210.0
M536298,週刊少年マガジン 1993年 表示号数38,C119033,週刊少年マガジン,1993-09-08,200.0
M557092,週刊少年チャンピオン 1993年 表示号数39,C120282,週刊少年チャンピオン,1993-09-09,210.0
M543633,週刊少年ジャンプ 1993年 表示号数39,C119459,週刊少年ジャンプ,1993-09-13,190.0
M578106,週刊少年サンデー 1993年 表示号数39,C117607,週刊少年サンデー,1993-09-15,200.0
M536297,週刊少年マガジン 1993年 表示号数39,C119033,週刊少年マガジン,1993-09-15,200.0
M557091,週刊少年チャンピオン 1993年 表示号数40,C120282,週刊少年チャンピオン,1993-09-16,200.0
M543632,週刊少年ジャンプ 1993年 表示号数40,C119459,週刊少年ジャンプ,1993-09-20,200.0
M578105,週刊少年サンデー 1993年 表示号数40,C117607,週刊少年サンデー,1993-09-22,200.0
M536296,週刊少年マガジン 1993年 表示号数40,C119033,週刊少年マガジン,1993-09-22,200.0
M557090,週刊少年チャンピオン 1993年 表示号数41,C120282,週刊少年チャンピオン,1993-09-23,200.0
M543631,週刊少年ジャンプ 1993年 表示号数41,C119459,週刊少年ジャンプ,1993-09-27,190.0
M578104,週刊少年サンデー 1993年 表示号数41,C117607,週刊少年サンデー,1993-09-29,200.0
M536295,週刊少年マガジン 1993年 表示号数41,C119033,週刊少年マガジン,1993-09-29,200.0
M557089,週刊少年チャンピオン 1993年 表示号数42,C120282,週刊少年チャンピオン,1993-09-30,200.0
M543630,週刊少年ジャンプ 1993年 表示号数42,C119459,週刊少年ジャンプ,1993-10-04,190.0
M578103,週刊少年サンデー 1993年 表示号数42,C117607,週刊少年サンデー,1993-10-06,200.0
M536294,週刊少年マガジン 1993年 表示号数42,C119033,週刊少年マガジン,1993-10-06,200.0
M557088,週刊少年チャンピオン 1993年 表示号数43,C120282,週刊少年チャンピオン,1993-10-07,200.0
M543629,週刊少年ジャンプ 1993年 表示号数43,C119459,週刊少年ジャンプ,1993-10-11,190.0
M578102,週刊少年サンデー 1993年 表示号数43,C117607,週刊少年サンデー,1993-10-13,200.0
M536293,週刊少年マガジン 1993年 表示号数43,C119033,週刊少年マガジン,1993-10-13,200.0
