acid,acname,初回放送日,アニメ各話数,作品名の文字数
C10776,GANTZ ～the first stage～,2004-04-13,12,23
C10778,ぷぎゅる,2004-04-13,13,4
C10780,頭文字［［イニシャル］］D Fourth Stage,2003-12-27,25,26
C10782,ROBONIMAL パンダーゼット THE ROBONIMATION,2004-04-05,31,34
C10784,じゃがいぬくん,2004-04-04,26,7
C10786,絢爛舞踏祭 ザ・マーズ・デイブレイク,2004-04-01,26,18
C10788,恋風,2004-04-02,13,2
C10790,この醜くも 美しい世界,2004-04-02,12,11
C10792,天上天下,2004-04-02,24,4
C10794,とっとこハム太郎 はむはむぱらだいちゅ!,2004-04-02,103,20
C10795,今日から 〔○マ〕王![第1期],2004-04-03,50,16
C10797,ケロロ軍曹,2004-04-03,358,5
C10799,DAN DOH!!,2004-04-03,26,9
C10801,マーメイドメロディー ぴちぴちピッチ ピュア,2004-04-03,39,22
C10803,それいけ! ズッコケ三人組,2004-04-04,26,13
C10805,超ぽじてぃぶ! ファイターズ,2004-04-04,34,14
C10807,マシュマロ通信［タイムズ］,2004-04-04,52,13
C10809,美鳥の日々,2004-04-04,13,5
C10811,じゃがいぬくん［シリーズ］,2004-04-04,26,13
C10813,レジェンズ 甦る竜王伝説,2004-04-04,50,12
C10815,Get Ride! アムドライバー,2004-04-05,51,17
C10816,神無月の巫女,2004-10-02,12,6
C10818,ななみちゃん,2004-05-17,12,6
C10821,VIEWTIFUL JOE,2004-10-02,51,13
C10823,魔法少女リリカルなのは,2004-10-02,13,11
C10826,せんせいの お時間 DOKI DOKI SCHOOL HOURS,2004-04-05,13,32
C10828,花右京メイド隊 La Verite,2004-04-05,12,17
C10830,わがまま★フェアリーミルモでポン! わんだほう,2004-04-06,48,23
C10832,MADLAX,2004-04-06,26,6
C10834,陸奥圓明流外伝 修羅の刻,2004-04-06,26,12
C10836,MONSTER,2004-04-07,75,7
C10837,鉄人28号［第3作］,2004-04-08,26,10
C10839,魔法少女隊アルス,2004-04-09,40,8
C10841,デュエル・マスターズ チャージ,2006-01-16,7,15
C10843,サムライ チャンプルー,2004-05-20,17,11
C10845,LOVE❤LOVE?,2004-05-04,9,10
C10847,ちぃちゃんとヒゲおじさん,2004-06-21,10,12
C10849,Wind -a breath of heart-,2004-06-30,13,24
C10851,東奔西走スクールライフANIMATION 月は東に日は西に ―Operation Sanctuary―,2004-06-30,13,51
C10853,留守電アワー SODANブラザーズ,2005-03-13,25,17
C10857,こいこい7,2005-04-02,13,5
C10859,IZUMO 猛き剣の閃記,2005-04-03,12,12
C10862,ゾイドフューザーズ,2004-10-03,26,9
C10864,SAMURAI 7,2004-06-01,26,9
C10866,KURAU Phantom Memory,2004-06-25,24,20
C10868,おジャ魔女どれみナ・イ・ショ,2004-06-26,13,14
C10870,ポストペット モモ便,2004-07-04,24,10
C10872,モンキーターンV,2004-07-04,25,8
C10874,GIRLSブラボー first season,2004-07-06,11,22
C10876,ニニンが シノブ伝 THE NONSENSE KUNOICHI FICTION,2004-07-08,12,39
C10880,Re❤キューティーハニー,2004-07-24,3,12
C10882,エルフェン リート,2004-07-25,14,9
C10884,機動戦士 ガンダムSEED [- 遥かなる暁 -],2004-07-29,2,25
C10886,アガサ・クリスティーの名探偵ポワロとマープル,2004-07-04,39,22
C10888,マリア様がみてる 春,2004-07-04,13,10
C10890,蒼穹のファフナー Dead Aggressor,2004-07-05,26,23
C10892,お伽草子,2004-07-07,26,4
C10894,ギャラクシーエンジェル［第4期］,2004-07-08,13,16
C10896,DearS,2004-07-04,13,5
C10900,モンキー・パンチ 漫画活動大写真,2004-07-04,13,16
C10904,宇宙交響詩メーテル 銀河鉄道999 外伝,2004-08-06,13,20
C10908,風人物語,2004-08-28,14,4
C10910,カレーの国のコバ～ル,2004-09-20,13,10
C10912,陰陽大戦記,2004-09-30,52,5
C10914,冒険王 ビィト BEET THE VANDEL BUSTER,2004-09-30,52,30
C10916,舞-HiME,2004-10-01,26,6
C10920,To Heart Remember my memories,2004-10-02,13,29
C10922,うた∽かた,2004-10-03,12,5
C10924,W Wish ダブルウィッシュ,2004-10-03,13,15
C10926,Φなる・ あぷろーち,2004-10-03,13,10
C10928,カッパの飼い方,2004-10-04,26,7
C10930,みどりのくにの こえだちゃん,2004-10-04,256,14
C10932,サムライガン,2004-10-05,12,6
C10934,巌窟王,2004-10-06,24,3
C10936,リングにかけろ 1,2004-10-07,12,9
C10938,Legend of DUO,2004-10-27,12,13
C10940,アークエと ガッチンポー,2004-10-02,13,12
C10942,下級生2 ～瞳の中の少女たち～,2004-10-02,13,15
C10944,ロックマンエグゼStream,2004-10-02,51,14
C10946,Sweet Valerian,2004-08-01,18,14
C10947,魔法先生 ネギま!,2005-01-06,26,9
C10949,アークエと ガッチンポーてんこもり,2005-01-07,12,17
C10951,ああっ女神さまっ,2005-01-07,25,8
C10953,ピーチガール,2005-01-08,25,6
C10955,B-伝説［ビーレジェンド］! バトルビーダマン炎魂［ファイヤースピリッツ］!,2005-01-10,51,38
C10957,まほらば Heartful days,2005-01-10,26,18
C10959,BUZZER BEATER,2005-02-05,13,13
C10961,ふたりは プリキュアMax Heart,2005-02-06,47,19
C10963,増田こうすけ劇場 ギャグマンガ日和,2005-02-07,12,17
C10965,まじめにふまじめ かいけつゾロリ,2005-02-13,97,16
C10969,流星戦隊ムスメット　／　流星戦隊オトメット　／　帰ってきた! 流星戦隊ムスメット,2004-10-04,13,40
C10972,School Rumble,2004-10-05,26,13
C10974,砂ぼうず,2004-10-05,24,4
C10976,レ・ミゼラブル 少女コゼット,2007-01-07,52,14
C10978,がくえんゆーとぴあ まなびストレート!,2007-01-08,12,19
C10980,VenusVersusVirus,2007-01-12,12,16
C10982,のだめ カンタービレ,2007-01-12,23,10
C10984,ひだまりスケッチ,2007-01-12,14,8
C10986,月面兎兵器ミーナ,2007-01-14,11,8
C10988,ToHeart2,2005-10-04,14,8
C10990,獣装機攻ダンクーガノヴァ,2007-02-08,13,12
C10992,NARUTO疾風伝,2007-02-15,490,9
C10993,月詠 MOON PHASE,2004-10-05,25,13
C10995,ファンタジック チルドレン,2004-10-05,26,13
C10997,BLEACH,2004-10-05,369,6
C10999,tactics,2004-10-06,25,7
C11001,遙かなる時空のなかで 八葉抄,2004-10-06,26,14
C11003,遊☆戯☆王 デュエルモンスターズ GX,2004-10-06,180,19
C11005,双恋,2004-10-07,13,2
C11007,BECK MONGORIAN CHOP SQUAD,2004-10-07,26,25
