年代,アニメ作品ID,アニメ作品の合計話数
2000,C10669,51
2000,C10671,25
2000,C10673,24
2000,C10675,24
2000,C10677,14
2000,C10679,12
2000,C10682,26
2000,C10684,24
2000,C10686,53
2000,C10691,24
2000,C10699,52
2000,C10701,52
2000,C10703,13
2000,C10705,13
2000,C10707,13
2000,C10709,13
2000,C10712,26
2000,C10714,52
2000,C10716,25
2000,C10718,8
2000,C10720,12
2000,C10724,47
2000,C10726,45
2000,C10728,23
2000,C10730,5
2000,C10732,8
2000,C10734,2
2000,C10736,15
2000,C10762,26
2000,C10764,26
2000,C10766,39
2000,C10768,13
2000,C10770,24
2000,C10772,24
2000,C10774,13
2000,C10776,12
2000,C10778,13
2000,C10780,11
2000,C10782,31
2000,C10784,17
2000,C10786,26
2000,C10788,13
2000,C10790,12
2000,C10792,24
2000,C10794,39
2000,C10795,38
2000,C10797,39
2000,C10799,26
2000,C10801,39
2000,C10803,26
2000,C10805,34
2000,C10807,38
2000,C10809,13
2000,C10811,17
2000,C10813,38
2000,C10815,39
2000,C10816,12
2000,C10818,12
2000,C10821,13
2000,C10823,13
2000,C10826,13
2000,C10828,12
2000,C10830,37
2000,C10832,26
2000,C10834,26
2000,C10836,37
2000,C10837,26
2000,C10839,30
2000,C10843,17
2000,C10845,9
2000,C10847,2
2000,C10849,13
2000,C10851,13
2000,C10862,13
2000,C10864,26
2000,C10866,24
2000,C10868,13
2000,C10870,23
2000,C10872,25
2000,C10874,11
2000,C10876,12
2000,C10880,3
2000,C10882,14
2000,C10884,2
2000,C10886,20
2000,C10888,13
2000,C10890,26
2000,C10892,23
2000,C10894,13
2000,C10896,13
2000,C10900,7
2000,C10904,13
2000,C10908,9
2000,C10910,13
2000,C10912,13
2000,C10914,13
2000,C10916,13
2000,C10920,13
2000,C10922,12
2000,C10924,13
2000,C10926,13
2000,C10928,13
2000,C10930,63
2000,C10932,12
2000,C10934,11
2000,C10936,12
2000,C10938,10
2000,C10940,13
2000,C10942,13
2000,C10944,13
2000,C10946,18
2000,C10969,13
2000,C10972,13
2000,C10974,12
2000,C10993,13
2000,C10995,13
2000,C10997,13
2000,C10999,13
2000,C11001,13
2000,C11003,13
2000,C11005,13
2000,C11007,13
2000,C11009,13
2000,C11011,12
2000,C11013,12
2000,C11017,12
2000,C11019,10
2000,C11021,12
2000,C11023,11
2000,C11025,8
2000,C11027,8
2000,C11029,7
2000,C11033,1
2000,C11037,20
2000,C11039,69
2000,C11041,50
2000,C11043,90
2000,C11045,82
2000,C11047,13
2000,C11049,16
2000,C11051,10
2000,C11053,7
2000,C11055,13
2000,C11059,5
2000,C12421,76
2000,C12423,23
2000,C12427,90
2000,C12540,68
2000,C12622,18
2000,C12632,1
2000,C12681,209
2000,C12799,82
2000,C12801,31
2000,C12803,13
2000,C12805,14
2000,C12811,16
2000,C12813,90
2000,C12815,85
2000,C12817,10
2000,C12819,102
2000,C12823,10
2000,C12825,10
2000,C12827,10
2000,C12829,17
2000,C12838,41
2000,C12840,120
2000,C12844,4
2000,C12846,31
2000,C12848,66
2000,C12850,25
2000,C12852,9
2000,C12856,25
2000,C12858,23
2000,C12860,26
2000,C12870,2
2000,C12874,100
2000,C12876,57
2000,C12878,4
2000,C12880,6
2000,C12882,31
2000,C12884,6
2000,C12888,76
2000,C12890,3
2000,C12892,17
2000,C12894,12
2000,C12896,13
2000,C12900,27
2000,C12902,12
2000,C12904,12
2000,C12906,23
2000,C12908,10
2000,C12910,26
2000,C12914,52
2000,C12917,6
2000,C12919,85
2000,C12921,137
2000,C12923,9
2000,C12925,5
2000,C12927,19
2000,C12929,30
2000,C12931,1
2000,C12933,13
2000,C12935,13
2000,C12937,26
2000,C12939,15
2000,C12941,26
2000,C12943,75
2000,C12945,20
2000,C12947,48
2000,C12951,18
2000,C12958,13
2000,C12963,15
2000,C12969,13
2000,C12971,4
