マンガ作品ID,マンガ各話ID,掲載日,掲載位置,アニメ化,マンガ雑誌名
C111004,CE180534,2015-01-07,0.2918215613382899,False,週刊少年サンデー
C111004,CE180561,2015-01-14,0.2334710743801653,False,週刊少年サンデー
C111004,CE180562,2015-01-14,0.25,False,週刊少年サンデー
C111004,CE180606,2015-01-21,0.6869747899159664,False,週刊少年サンデー
C111004,CE180607,2015-01-21,0.7037815126050421,False,週刊少年サンデー
C111004,CE180633,2015-01-28,0.63,False,週刊少年サンデー
C111004,CE180664,2015-02-04,0.625968992248062,False,週刊少年サンデー
C111005,CE180557,2015-01-14,0.006198347107438,False,週刊少年サンデー
C111005,CE180593,2015-01-21,0.1995798319327731,False,週刊少年サンデー
C111005,CE180623,2015-01-28,0.23,False,週刊少年サンデー
C111005,CE180650,2015-02-04,0.1453488372093023,False,週刊少年サンデー
C111005,CE180690,2015-02-11,0.3995901639344262,False,週刊少年サンデー
C111005,CE180708,2015-02-18,0.0656779661016949,False,週刊少年サンデー
C111005,CE180741,2015-02-25,0.2035573122529644,False,週刊少年サンデー
C111005,CE180775,2015-03-04,0.4004237288135593,False,週刊少年サンデー
C111006,CE180592,2015-01-21,0.1743697478991596,False,週刊少年サンデー
C111006,CE180628,2015-01-28,0.43,False,週刊少年サンデー
C111006,CE180649,2015-02-04,0.1337209302325581,False,週刊少年サンデー
C111006,CE180689,2015-02-11,0.3872950819672131,False,週刊少年サンデー
C111006,CE180712,2015-02-18,0.2012711864406779,False,週刊少年サンデー
C111006,CE180756,2015-02-25,0.7569169960474308,False,週刊少年サンデー
C111006,CE180789,2015-03-04,0.8665254237288136,False,週刊少年サンデー
C111006,CE180817,2015-03-11,0.7589641434262948,False,週刊少年サンデー
C111010,CE180795,2015-03-11,0.0059760956175298,False,週刊少年サンデー
C111010,CE180827,2015-03-18,0.0637065637065637,False,週刊少年サンデー
C111010,CE180861,2015-03-25,0.1540084388185654,False,週刊少年サンデー
C111010,CE180890,2015-04-01,0.1118143459915611,False,週刊少年サンデー
C111010,CE180919,2015-04-08,0.1036585365853658,False,週刊少年サンデー
C111010,CE180953,2015-04-15,0.2975708502024291,False,週刊少年サンデー
C111010,CE180977,2015-04-22,0.0711538461538461,False,週刊少年サンデー
C111010,CE181007,2015-04-29,0.0208333333333333,False,週刊少年サンデー
C111020,CE178361,2015-02-23,0.0196936542669584,False,週刊少年ジャンプ
C111020,CE178382,2015-03-02,0.2651356993736952,False,週刊少年ジャンプ
C111020,CE178407,2015-03-09,0.4905263157894737,False,週刊少年ジャンプ
C111020,CE178429,2015-03-16,0.5723014256619144,False,週刊少年ジャンプ
C111020,CE178448,2015-03-23,0.4630021141649049,False,週刊少年ジャンプ
C111020,CE178474,2015-03-30,0.6645702306079665,False,週刊少年ジャンプ
C111020,CE178490,2015-04-06,0.3836477987421384,False,週刊少年ジャンプ
C111020,CE178511,2015-04-13,0.3427991886409736,False,週刊少年ジャンプ
C111023,CE178379,2015-03-02,0.0062630480167014,False,週刊少年ジャンプ
C111023,CE178402,2015-03-09,0.2631578947368421,False,週刊少年ジャンプ
C111023,CE178426,2015-03-16,0.4378818737270876,False,週刊少年ジャンプ
C111023,CE178452,2015-03-23,0.6194503171247357,False,週刊少年ジャンプ
C111023,CE178469,2015-03-30,0.3962264150943396,False,週刊少年ジャンプ
C111023,CE178492,2015-04-06,0.4675052410901467,False,週刊少年ジャンプ
C111023,CE178508,2015-04-13,0.2210953346855984,False,週刊少年ジャンプ
C111023,CE178537,2015-04-20,0.4777562862669245,False,週刊少年ジャンプ
C111025,CE178419,2015-03-16,0.0061099796334012,False,週刊少年ジャンプ
C111025,CE178443,2015-03-23,0.2093023255813953,False,週刊少年ジャンプ
C111025,CE178467,2015-03-30,0.3039832285115304,False,週刊少年ジャンプ
C111025,CE178495,2015-04-06,0.6477987421383647,False,週刊少年ジャンプ
C111025,CE178513,2015-04-13,0.4320486815415821,False,週刊少年ジャンプ
C111025,CE178544,2015-04-20,0.8181818181818182,False,週刊少年ジャンプ
C111025,CE178561,2015-04-27,0.6204690831556503,False,週刊少年ジャンプ
C111025,CE178584,2015-05-04,0.7463617463617463,False,週刊少年ジャンプ
C111032,CE179390,2015-02-11,0.5382882882882883,False,週刊少年マガジン
C111032,CE179418,2015-02-18,0.7060185185185185,False,週刊少年マガジン
C111032,CE179443,2015-02-25,0.6555555555555556,False,週刊少年マガジン
C111032,CE179470,2015-03-04,0.6581395348837209,False,週刊少年マガジン
C111032,CE179493,2015-03-11,0.672093023255814,False,週刊少年マガジン
C111032,CE179520,2015-03-18,0.8263888888888888,False,週刊少年マガジン
C111032,CE179549,2015-03-25,0.8595238095238096,False,週刊少年マガジン
