パッケージID,発売年代,メーカー名,プラットフォーム名,発売曜日,発売曜日ID,発売年代ID
M740579,1990,セガ,セガサターン,木,3,0
M740580,1990,セガ,セガサターン,木,3,0
M748560,1990,セガ,セガサターン,木,3,0
M719353,1990,セガ,セガサターン,木,3,0
M719354,1990,セガ,セガサターン,木,3,0
M753347,1990,セガ,セガサターン,木,3,0
M753348,1990,セガ,セガサターン,木,3,0
M758427,1990,セガ,セガサターン,木,3,0
M762609,1990,セガ,セガサターン,木,3,0
M746726,1990,セガ,セガサターン,木,3,0
M719352,1990,セガ,セガサターン,木,3,0
M748696,1990,セガ,セガサターン,木,3,0
M749016,1990,セガ,セガサターン,木,3,0
M750083,1990,セガ,セガサターン,木,3,0
M761890,1990,セガ,セガサターン,木,3,0
M719007,1990,セガ,セガサターン,木,3,0
M719008,1990,セガ,セガサターン,木,3,0
M719350,1990,セガ,セガサターン,木,3,0
M719351,1990,セガ,セガサターン,木,3,0
M746090,1990,セガ,セガサターン,木,3,0
M756145,1990,セガ,セガサターン,木,3,0
M719345,1990,セガ,セガサターン,木,3,0
M745652,1990,セガ,セガサターン,木,3,0
M734314,1990,セガ,セガサターン,木,3,0
M749416,1990,セガ,セガサターン,木,3,0
M759162,1990,セガ,セガサターン,木,3,0
M763376,1990,セガ,セガサターン,木,3,0
M766464,1990,セガ,セガサターン,木,3,0
M766770,1990,セガ,セガサターン,木,3,0
M719343,1990,セガ,ドリームキャスト,木,3,0
M754835,1990,セガ,セガサターン,木,3,0
M754836,1990,セガ,セガサターン,木,3,0
M758119,1990,セガ,セガサターン,木,3,0
M719336,1990,セガ,ドリームキャスト,木,3,0
M719337,1990,セガ,セガサターン,木,3,0
M719338,1990,セガ,セガサターン,木,3,0
M719335,1990,セガ,ドリームキャスト,木,3,0
M719334,1990,セガ,ドリームキャスト,木,3,0
M719333,1990,セガ,セガサターン,木,3,0
M759128,1990,セガ,セガサターン,木,3,0
M719332,1990,セガ,ドリームキャスト,木,3,0
