アニメ作品ID,アニメ作品名,weekday,放送曜日,アニメ作品の合計話数
C9476,あずみマンマ・ミーア,0,月,13
C14770,忍たま 乱太郎[第20期],0,月,19
C11221,こてんこてんこ,0,月,3
C14764,超ロボット生命体 トランスフォーマー プライム,0,月,1
C8524,まんが日本史［NHK版］,0,月,40
C14761,ちとせ げっちゅ!![第2期],0,月,13
C14760,ちとせ げっちゅ!![第1期],0,月,13
C16117,有頂天家族2,0,月,13
C16124,バトルガール ハイスクール,0,月,12
C13883,未来日記,0,月,26
C11241,蟲師,0,月,7
C8504,それいけ！アンパンマン,0,月,2
C14749,DiABOLiK LOVERS,0,月,12
C11253,南の島の小さな飛行機バーディー[第1期],0,月,3
C16125,潔癖男子! 青山くん,0,月,13
C11959,ティアーズ・トゥ・ティアラ,0,月,26
C11957,咲Saki,0,月,25
C11257,モリゾーとキッコロ ［第2期］,0,月,4
C13960,アクエリオン EVOL[AQUARION　EVO*L],0,月,26
C14740,たまごっち! ゆめキラドリーム,0,月,27
C9663,鉄コミュニケイション,0,月,24
C8522,チロリン村物語,0,月,34
C11203,はっぴぃセブン ～ざ・テレビまんが～,0,月,13
C13877,魔乳秘剣帖,0,月,12
C11201,Canvas2 キャンバス2～虹色のスケッチ～,0,月,23
C9699,超速スピナー,0,月,22
C9418,のらねこダウンタウン,0,月,2
C13824,銀魂',0,月,51
C14787,muv-luv alternative TOTAL ECLIPSE,0,月,26
C11150,パタリロ 西遊記!,0,月,2
C12055,プリンセスラバー!,0,月,12
C11154,あまえ ないでよっ!!,0,月,1
C12039,うんこさん,0,月,13
C12035,夏のあらし!,0,月,13
C12033,タユタマkissonmyDeity,0,月,12
C14779,氷菓,0,月,22
C12031,シャングリ・ラ,0,月,24
C13846,真剣で私に 恋しなさい!! まじこい,0,月,12
C14778,100分 de 名著,0,月,32
C11170,ぱにぽにだっしゅ!,0,月,26
C8623,アイドル天使 ようこそようこ,0,月,43
C16106,笑ゥせぇるすまんNEW,0,月,24
C8577,シティーハンター3,0,月,11
C14776,パンダの たぷたぷ,0,月,85
C13857,星空へ 架かる橋,0,月,12
C12017,ジュエルペット,0,月,1
C14775,パブー ＆モジーズ,0,月,1
C14774,はなかっぱ[第3期],0,月,9
C14739,黄昏乙女× アムネジア,0,月,10
C13969,こぴはん,0,月,7
C9489,バトルアスリーテス大運動会,0,月,2
C11273,SHUFFLE!memories,0,月,12
C16148,Re:CREATORS,0,月,1
C9497,忍たま乱太郎[第5期],0,月,21
C11330,キミキスpure rouge,0,月,1
C9648,ふしぎなメルモ リニューアル,0,月,7
C14705,織田信奈の野望,0,月,13
C11339,一騎当千Dragon Destiny,0,月,12
C14704,おじゃる丸[第15期],0,月,18
C14703,エリアの騎士,0,月,1
C11918,みなみけおかえり,0,月,13
C11912,スレイヤーズEVOLUTION-R,0,月,13
C14698,Another,0,月,1
C8328,ヨーヨーの猫つまみ,0,月,1
C16151,がんがん がんこちゃん,0,月,11
C14695,アイカツ! アイドルカツドウ!,0,月,25
C14693,[ムルムル先生の裏未来日記],0,月,16
C16155,天使の3P!,0,月,12
C8323,ご近所物語,0,月,1
C7171,狼少年ケン,0,月,86
C9628,南海奇皇[第1期],0,月,24
C14689,はなかっぱ[第2期],0,月,15
C11377,瀬戸の花嫁,0,月,26
