mcname,ccname,cename,four_colored
週刊少年マガジン,エリアの騎士,[袋とじ]マドリッドの出会い,True
週刊少年マガジン,ハンマーセッション!,session 28. 水城涼子スパイ大作戦!の巻,True
週刊少年マガジン,さよなら絶望先生,第98話 「恩着せの彼方に」,True
週刊少年マガジン,トッキュー!!,第147話 日当たり良好特典付き,True
週刊少年マガジン,しろがねの鴉,第1夜 銀の翼,True
週刊少年マガジン,Over Drive,100rpm X-rated bicycle.,True
週刊少年マガジン,ダイヤのA,第50話/クリス直伝,True
週刊少年マガジン,BLOODY MONDAY,File.8 歓喜と狂気,True
週刊少年マガジン,キス☆クラ,第1話 紫色の少女,True
週刊少年マガジン,涼風,[袋とじ],True
週刊少年マガジン,あひるの空,第149話 Upper Ground,True
週刊少年マガジン,エリアの騎士,#46 緒戦,True
週刊少年マガジン,金田一少年の事件簿,速水玲香と招かざる客(前編),True
週刊少年マガジン,さよなら絶望先生,第92話 「おめでたきこともなき世をおめでたく」,True
週刊少年マガジン,涼風,#147 体温,True
週刊少年マガジン,ハンマーセッション!,session 21. 告白…の巻,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.150 残された者たち,True
週刊少年マガジン,花形  新約「巨人の星」,第30話 天体観測,True
週刊少年マガジン,金田一少年の事件簿,雪霊伝説殺人事件 11 解答編 2,True
週刊少年マガジン,BLOODY MONDAY,File.1 ファルコン,True
週刊少年マガジン,ダイヤのA,第42話/エゴイスト,True
週刊少年マガジン,ジゴロ次五郎,第199速 男と女たちの挽歌,True
週刊少年マガジン,Over Drive,90rpm Never buy a pig in a poke.,True
週刊少年マガジン,ケンコー全裸系水泳部 ウミショー,特別編 みれいらんまん,True
週刊少年マガジン,[シバトラ],File 11. 罪値万死,True
週刊少年マガジン,妖怪のお医者さん,1:あたまが悪い,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.145 綻び始める世界,True
週刊少年マガジン,FAIRY TAIL,第27話 「デリオラ」,True
週刊少年マガジン,Get Backers 奪還屋,Act.12 失われた刻を奪り還せ! 90,True
週刊少年マガジン,Over Drive,85rpm It is the unexpocted that always happen.,True
週刊少年マガジン,ダイヤのA,番外編,True
週刊少年マガジン,あひるの空,第137話 dead head beat,True
週刊少年マガジン,ハンマーセッション!,session 10. ブログのお姫様の巻,True
週刊少年マガジン,エリアの騎士,#34 ホットライン,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.141 儚き逃亡者,True
週刊少年マガジン,FAIRY TAIL,SEXY×KAIKAN番外編,True
週刊少年マガジン,金田一少年の事件簿,雪霊伝説殺人事件 1,True
週刊少年マガジン,ゴッドハンド輝,第261話 静かな夜,True
週刊少年マガジン,エア・ギア,Trick:150,True
週刊少年マガジン,[シバトラ],File 1. ボクの夢は…。,True
週刊少年マガジン,ヤンキー君とメガネちゃん,8限目 たまには俺も迎えに行かねーと。,True
週刊少年マガジン,じょっぱれ瞬!,第1話 一攫千金!?,True
週刊少年マガジン,ハンマーセッション!,session 1. 犯罪者×3の巻,True
週刊少年マガジン,さよなら絶望先生,第73話 「七五三四郎」,True
週刊少年マガジン,スクールランブル,#200 THE SEVEN PER-CENT SOLUTION,True
週刊少年マガジン,あひるの空,第127話 STOP ＆ GO,True
週刊少年マガジン,トッキュー!!,第122話 サナダ、インドネシアに立つ!,True
週刊少年マガジン,ダイヤのA,第24話/あのマウンドへ…,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.133 旅の行方,True
週刊少年マガジン,花形  新約「巨人の星」,第11話 「Run run run」,True
週刊少年マガジン,ヤンキー君とメガネちゃん,1限目 進路票は!?,True
週刊少年マガジン,Over Drive,70rpm That's one small step for a man.,True
週刊少年マガジン,FAIRY TAIL,第9話 「DEAR KABY(親愛なるカービィへ)」,True
週刊少年マガジン,エリアの騎士,#20 江ノ島FC,True
週刊少年マガジン,涼風,#121 帰国,True
週刊少年マガジン,ダイヤのA,第16話/ムービング対パワー,True
週刊少年マガジン,スマッシュ!,#7 桜の咲く頃に,True
週刊少年マガジン,ゴッドハンド輝,第246話 大きな穴,True
週刊少年マガジン,未来町内会,第1話 選ばれた男,True
週刊少年マガジン,花形  新約「巨人の星」,第1話 その男、花形,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.125 生命の音,True
週刊少年マガジン,エリアの騎士,#15 技より心,True
週刊少年マガジン,FAIRY TAIL,第1話 妖精の尻尾,True
週刊少年マガジン,スクールランブル,"#187 O BROTHER,WHERE ART THOU?",True
週刊少年マガジン,スマッシュ!,#1 冬休み、晴れの日。,True
週刊少年マガジン,ダイヤのA,第7話/待ってろよ!,True
週刊少年マガジン,金田一少年の事件簿,獄門塾殺人事件 10,True
週刊少年マガジン,格闘料理人ムサシ,タイマン 1 宮本ムサシ登場!,True
週刊少年マガジン,アイドルのあかほん,成り行き3人娘,True
週刊少年マガジン,エア・ギア,Trick:131,True
週刊少年マガジン,ヤンキー君とメガネちゃん,1限目 お前が○○だったとはな!,True
週刊少年マガジン,ツバサ ～RESERVoir CHRoNiCLE～,Chapitre.117 彷徨する魂,True
週刊少年マガジン,エリアの騎士,#5 エリアの騎士,True
週刊少年マガジン,Over Drive,50rpm Yaroslav POPOVYCH,True
週刊少年マガジン,さよなら絶望先生,第50話 「新しくない人よ、目覚めよ」,True
週刊少年マガジン,ダイヤのA,第1話/運命の一球,True
週刊少年マガジン,スミレ❤16歳!!,第1話 出会い,True
週刊少年マガジン,SAMURAI DEEPER KYO,最終話 歴史を紡ぐ者,True
週刊少年マガジン,エリアの騎士,#1 兄弟,True
週刊少年マガジン,少年無宿シンクロウ,第17歩 人柱,True
週刊少年マガジン,金田一少年の事件簿,獄門塾殺人事件 1,True
週刊少年マガジン,Get Backers 奪還屋,Act.12 失われた刻を奪り還せ! 52,True
週刊少年マガジン,Magnum ROSE HIP,,True
週刊少年マガジン,エア・ギア,Trick:122,True
週刊少年マガジン,スクールランブル,#170 THE NEXT BEST THING,True
週刊少年マガジン,ゴッドハンド輝,第226話 生まれたばかりの希望,True
