acid,アニメ作品名,アニメ各話数,放送日数,声優数
C10834,陸奥圓明流外伝 修羅の刻,26,26,12.0
C10836,MONSTER,75,75,7.0
C10837,鉄人28号［第3作］,26,26,18.0
C10839,魔法少女隊アルス,40,37,15.0
C10841,デュエル・マスターズ チャージ,7,7,11.0
C10843,サムライ チャンプルー,17,17,3.0
C10845,LOVE❤LOVE?,9,9,13.0
C10847,ちぃちゃんとヒゲおじさん,10,10,
C10849,Wind -a breath of heart-,13,13,7.0
C10851,東奔西走スクールライフANIMATION 月は東に日は西に ―Operation Sanctuary―,13,13,10.0
C10853,留守電アワー SODANブラザーズ,25,25,
C10857,こいこい7,13,13,12.0
C10859,IZUMO 猛き剣の閃記,12,12,13.0
C10862,ゾイドフューザーズ,26,26,12.0
C10864,SAMURAI 7,26,14,13.0
C10866,KURAU Phantom Memory,24,24,8.0
C10868,おジャ魔女どれみナ・イ・ショ,13,13,13.0
C10870,ポストペット モモ便,24,24,2.0
C10872,モンキーターンV,25,25,3.0
C10874,GIRLSブラボー first season,11,11,10.0
C10876,ニニンが シノブ伝 THE NONSENSE KUNOICHI FICTION,12,12,5.0
C10880,Re❤キューティーハニー,3,3,15.0
C10882,エルフェン リート,14,14,11.0
C10884,機動戦士 ガンダムSEED [- 遥かなる暁 -],2,2,10.0
C10886,アガサ・クリスティーの名探偵ポワロとマープル,39,39,8.0
C10888,マリア様がみてる 春,13,13,16.0
C10890,蒼穹のファフナー Dead Aggressor,26,24,18.0
C10892,お伽草子,26,26,5.0
C10894,ギャラクシーエンジェル［第4期］,13,13,11.0
C10896,DearS,13,13,15.0
C10900,モンキー・パンチ 漫画活動大写真,13,13,
C10904,宇宙交響詩メーテル 銀河鉄道999 外伝,13,4,11.0
C10908,風人物語,14,7,7.0
C10910,カレーの国のコバ～ル,13,13,8.0
C10912,陰陽大戦記,52,52,12.0
C10914,冒険王 ビィト BEET THE VANDEL BUSTER,52,52,13.0
C10916,舞-HiME,26,26,17.0
C10920,To Heart Remember my memories,13,13,13.0
C10922,うた∽かた,12,12,8.0
