アニメ作品ID,アニメ作品名,放送曜日,合計話数
C9008,ジーンダイバー,月,28
C15094,バットマン THE ANIMATED SERIES,月,6
C13205,味楽る!ミミカ[第3期],月,3
C9006,ゴールFH,月,39
C11377,瀬戸の花嫁,月,26
C11379,ヒロイック・エイジ,月,26
C11381,魔法少女リリカルなのはStrikerS,月,26
C11740,うちの3姉妹,月,1
C13203,ぜんまい ざむらい [10分版],月,15
C11736,我が家のお稲荷さま。,月,24
C11734,Neo AngeliqueAbyss,月,13
C11732,隠の王,月,26
C14594,きょうの料理 ビギナーズ[第3期],月,23
C11730,SOUL・EATER,月,51
C11728,S・Aスペシャル・エー,月,25
C15092,いない いない ばあっ![第5期],月,13
C11406,トレジャーガウスト,月,1
C13095,よみきかせ日本昔ばなし,月,24
C15001,おじゃる丸［第17期］,月,14
C15996,わしも[第4期],月,22
C14571,ヘラクレス,月,12
C13097,クレイアニメ 太鼓の達人[第2期],月,12
C9626,アリスSOS,月,27
C11480,サンリオぽこあぽこ,月,8
C11674,スキップ・ビート!,月,25
C15998,ゴー!ゴー! キッチン戦隊 クックルン[第2期],月,13
C11645,増田こうすけ劇場ギャグマンガ日和3,月,13
C16013,どちゃもん じゅにあ [第2期],月,9
C16211,僧侶と交わる 色欲の夜に…,月,12
C11569,神霊狩/GHOST HOUND,月,1
C15034,ノブナガ･ザ･フール,月,24
C11637,Mnemosyne-ムネモシュネの娘たち─,月,6
C11571,ボノロン～不思議な森のいいつたえ～,月,19
C16012,はがね オーケストラ,月,12
C13122,モンチッチとあいちゃんのベビチッチえいご,月,24
C14583,あのねのとみぞう,月,2
C11579,金田一少年の事件簿 SP[スペシャル],月,2
C11631,ヤッターマン,月,37
C15036,ノラガミ,月,1
C11587,おしゃべりなちゅどんズ,月,1
C15771,もじもじおばけ ばけまつ,月,1
C15038,バディ☆ コンプレックス,月,13
C15049,プリ❤パラ,月,24
C9572,小さな巨人 ミクロマン,月,52
C14585,いない いない ばあっ![第14期],月,23
C11623,GUNSLINGER GIRL.IL TEATRINO,月,1
C13120,南の島の小さな飛行機 バーディー[第2期],月,2
C15044,ひめゴト SECRET PRINCESS HIMEGOTO,月,13
C15043,ヒーローバンク,月,51
C11561,レンタル×マギカ,月,24
C11559,みなみけ,月,13
C11557,獣神演武 HERO TALES,月,26
C11647,チーズスイートホーム,月,26
C11672,今日の5の2,月,13
C11670,喰霊-零-,月,12
C15017,そに○アニ SUPER SONICO THE ANIMATION,月,12
C14573,ミッドナイト ホラースクール,月,1
C13156,モッタイナイナイ ムッピといっしょ,月,3
C9555,スーパーマン,月,8
C13154,太陽の黙示録,月,2
C15025,とある 飛空士への 恋歌,月,13
C8973,時空探偵ゲンシクン,月,1
C15999,ZIP! presents 朝だよ! 貝社員,月,39
C15069,月刊 少女 野崎くん,月,12
C14997,ウィザード･バリスターズ 弁魔士セシル,月,12
C14575,The World ofGOLDENEGGS[第2期],月,1
C11527,はっけん たいけんだいすき!しまじろう,月,108
C13140,ななみちゃん[第3期],月,2
C14587,おじゃる丸[第12期],月,21
C15062,一週間 フレンズ｡,月,12
C15026,となりの関くん,月,13
C15029,ドラゴン コレクション,月,51
C13111,パンツ コインちゃん,月,5
C14580,ブーンドックス シーズン2,月,15
C11649,リトル・チャロ,月,50
C14581,PERSONA-- trinity soul --,月,22
C11553,伯爵と妖精,月,1
C11656,Qファイターズ!チョロQデッキシステム,月,1
C12271,みつ どもえ,月,13
C11754,狂乱家族日記,月,1
C13207,きょうの料理 ビギナーズ [第2期],月,23
C15333,reckless bear,月,4
C14547,体育　倉庫　ジムくんと　ゆかいな　仲間たち[*第2期],月,15
C14916,ムシブギョー 蟲奉行,月,26
C13275,やっこはん姉妹きぬやっこ もめんやっこ,月,1
C14549,太宰 治　短編小説集　[第3期],月,1
C16196,コトリ サンバ,月,10
C11201,Canvas2 キャンバス2～虹色のスケッチ～,月,23
C14918,メガネブ!,月,8
C11203,はっぴぃセブン ～ざ・テレビまんが～,月,13
C13060,日本裏社会の首領＊喝老人 *[ドン],月,74
C14607,どうする? しおん君,月,31
C11209,capeta,月,1
C14923,闇 芝* 居,月,13
C13271,王さまものがたり,月,6
C14927,弱虫ペダル,月,1
C9501,学級王ヤマザキ,月,54
C11221,こてんこてんこ,月,3
C14933,LOVELY❤ムービー いとしのムーコ Lovely Muuuuuuuco! The happy and daily life of Muco and Komatsu san!,月,20
C8927,無責任艦長タイラー,月,26
C15288,きらめけ!! メガネボーイ,月,10
C14552,レスキュー YoYo[よーよー],月,1
C11873,はなまる 幼稚園,月,11
C13064,コロコロアニマル,月,12
C9497,忍たま乱太郎[第5期],月,21
C14941,ワルキューレロマンツェ,月,12
C15339,バットマン ザ・フューチャー,月,6
C11912,スレイヤーズEVOLUTION-R,月,13
C13048,30秒ケッ作げきじょうその時、彼らは思った。,月,11
C13050,オリガのロシア語講座,月,11
C8903,カリメロ（新）,月,4
C11938,クッキンアイドルアイ!マイ!まいん!,月,20
C14908,魔界王子 devils and realist,月,12
C13292,はなけろ くるりん島のなかまたち,月,1
C13052,キラキラ小学生セレブちゃん,月,11
C13056,ビーンワールド,月,1
C11930,RIDEBACK,月,12
C9489,バトルアスリーテス大運動会,月,2
C16057,パズドラ クロス PUZZLE＆DRAGONS,月,26
C14541,森のレシオ,月,8
C14911,マジンガーZIP!,月,32
C11150,パタリロ 西遊記!,月,2
C8909,コボちゃん［シリーズ］,月,123
C11154,あまえ ないでよっ!!,月,1
C13279,ご存知!かくざ父さん,月,1
C15341,スパイダーマン [2004年版・合作],月,8
C11918,みなみけおかえり,月,13
C13058,人形アニメーションリカちゃん,月,3
C13277,ウスペラーズ,月,1
C11170,ぱにぽにだっしゅ!,月,26
C14912,機巧少女は 傷つかない Unbreakable Machine-Doll,月,13
C16228,忍たま乱太郎[第25期],月,13
C15287,きょうの料理 ビギナーズ [第8期],月,17
C9511,BURN-UP EXCESS,月,2
C11241,蟲師,月,7
C9527,爆走兄弟レッツ＆ゴー!! MAX,月,51
C15270,はりきり体育ノ介　[第1期],月,1
C11308,ぼくらの,月,8
C11798,Neo Angelique Abyss Second Age,月,13
C9534,モアモア［アニメ・実写併用］,月,14
C15248,おにく だいすき! ゼウシくん,月,12
C8943,ポコニャン!,月,32
C11312,精霊の守り人,月,2
C13075,スチーム係長 STEAM HEAD,月,13
C15994,美少女戦士 セーラームーン Crystal Season III,月,13
C12805,タイニー トゥーンズ,月,3
C13081,FNS地球特捜隊 ダイバスター［シリーズ］,月,2
C9648,ふしぎなメルモ リニューアル,月,7
C11330,キミキスpure rouge,月,1
C15995,忍たま 乱太郎 [第24期],月,14
C11780,いじいじくん,月,4
C11778,無限の住人BLADEOF THE IMMORTAL,月,13
C13085,ぴよだまり,月,1
C11339,一騎当千Dragon Destiny,月,12
C11772,ゼロの使い魔三美姫の輪舞[プリンセッセ][ロンド],月,12
C14995,アカメが斬る!,月,21
C8949,剣勇伝説YAIBA,月,1
C11760,RoBoDz風雲篇,月,26
C8941,恐竜惑星,月,15
C13240,南の島の小さな飛行機バーディー（第3期）,月,14
C13071,ななみちゃんのわくわくどうぶつえん,月,4
C16201,スカートの中はケダモノでした。,月,12
