pkgid,pkgname,publisher,date,price
M727692,Mappy-Land,ナムコ,1986-11-26,3900.0
M727691,DRAGON BALL 神龍の謎,バンダイ,1986-11-27,4500.0
M727690,キャッスルエクセレント,アスキー,1986-11-28,4900.0
M727689,トランスフォーマー コンボイの謎,タカラ,1986-12-05,4900.0
M727688,DAIVA ナーサティアの玉座,東芝EMI株式会社,1986-12-05,5500.0
M727687,プロ野球 ファミリースタジアム,ナムコ,1986-12-10,3900.0
M727686,たけしの挑戦状,タイトー,1986-12-10,5300.0
M727685,シャーロック・ホームズ 伯爵令嬢誘拐事件,トーワチキ,1986-12-11,5000.0
M727684,謎の壁 ブロックくずし,コナミ,1986-12-13,2980.0
M727683,METRO-CROSS,ナムコ,1986-12-16,3900.0
M727682,キングコング2 怒りのメガトンパンチ,コナミ,1986-12-18,5300.0
M727681,光神話 パルテナの鏡,任天堂株式会社,1986-12-19,2600.0
M727680,ディープダンジョン 魔洞戦記,スクウェア,1986-12-19,3400.0
M727678,闘いの挽歌,カプコン,1986-12-24,5500.0
M727677,プロフェッショナル 麻雀悟空,アスキー,1986-12-25,2980.0
M727676,聖飢魔2 悪魔の逆襲!,CBS/SONY,1986-12-25,4900.0
M727675,時空の旅人,コトブキシステム株式会社,1986-12-26,4900.0
M727661,大戦略 ディスク版,マイクロキャビン,1987-01-01,7800.0
M727660,火の鳥 鳳凰編 我王の冒険,コナミ,1987-01-04,5300.0
M727659,Labyrinth,徳間書店,1987-01-07,4900.0
M727658,DRAGON BUSTER,ナムコ,1987-01-07,4900.0
M727657,リンクの冒険,任天堂株式会社,1987-01-14,2600.0
M727656,ドラゴンクエスト2 悪霊の神々,エニックス,1987-01-26,5500.0
M735477,テープログイン 1987年3月号 ソード オブ レジェンド,株式会社アスキー,1987-02-08,3800.0
M727655,飛龍の拳 奥義の書,日本ゲーム,1987-02-14,5500.0
M727654,ファミリートレーナー エアロビスタジオ,バンダイ,1987-02-26,5800.0
M727653,ポケットザウルス 十王剣の謎,バンダイ,1987-02-27,5500.0
M727652,スーパーロードランナー,アイレム・パーティ,1987-03-05,3100.0
M727651,Law of the West〔西部の掟〕,ポニー,1987-03-06,5300.0
M727650,タッチ ミステリー・オブ・トライアングル,東宝,1987-03-14,4900.0
M727649,グーニーズ2 フラッテリー最後の挑戦,コナミ株式会社,1987-03-18,5300.0
M736159,エルスリード,日本コンピュータシステム株式会社,1987-03-20,7200.0
M735853,グイン・サーガ-豹頭の仮面,ビクター音楽産業株式会社,1987-03-21,7800.0
M727648,オトッキー,アスキー,1987-03-27,3500.0
M727647,さんまの名探偵,ナムコ,1987-04-02,4900.0
M727646,レリクス 暗黒要塞,ボーステック株式会社,1987-04-10,4200.0
M727645,森田将棋,セタ,1987-04-14,5500.0
M727644,囲碁九路盤対局,BPS,1987-04-14,5500.0
M727643,熱血硬派くにおくん,テクノスジャパン,1987-04-17,5300.0
M736398,ホテルウォーズ,ボーステック株式会社,1987-04-18,7500.0
M727642,探偵 神宮寺三郎 新宿中央公園殺人事件,データイースト株式会社,1987-04-24,3300.0
M727641,愛戦士ニコル,コナミ株式会社,1987-04-24,2980.0
M727640,グレート フットボール,セガ・エンタープライゼス,1987-04-29,5000.0
M735848,ガンダーラ 仏陀の聖戦,株式会社エニックス,1987-05-28,7800.0
M736458,レニングラード,株式会社ポニー・キャニオン販売,1987-06-05,6800.0
M727639,ATHENA,エス・エヌ・ケイ,1987-06-05,5500.0
M727638,闘人魔境伝 ヘラクレスの栄光,データイースト株式会社,1987-06-12,5300.0
M736555,地球防衛軍,株式会社アートディンク,1987-06-13,7800.0
M727637,DR.CHAOS 地獄の扉,ポニーキャニオン,1987-06-19,2900.0
M735844,ガイアの紋章,日本コンピュータシステム株式会社,1987-06-20,7800.0
M735834,イース,日本ファルコム㈱,1987-06-21,7800.0
M736146,ウィザードリィ3 リガシィ オブ リルガミン,株式会社アスキー,1987-06-26,9800.0
M727636,銀河の三人,任天堂株式会社,1987-06-26,5000.0
M727635,燃えろ!!プロ野球,ジャレコ,1987-06-26,5500.0
M727634,快傑ヤンチャ丸,アイレム販売株式会社,1987-06-27,5800.0
M727633,北海道連鎖殺人 オホーツクに消ゆ,アスキー,1987-06-27,5800.0
M727632,未来神話ジャーヴァス,タイトー,1987-06-30,5500.0
M733932,アドベンチャーツクールmk2 ソフトベンダー武尊,ブラザー工業株式会社,1987-07-07,3500.0
M736550,大戦略マップコレクション,株式会社システムソフト,1987-07-10,3500.0
M727630,夢工場ドキドキパニック,フジテレビ,1987-07-10,2980.0
M728031,Dragon Slayer 4 DREASLEFAMILY,ナムコ,1987-07-17,4900.0
M733474,Ultima4,株式会社ポニー・キャニオン販売,1987-07-18,9800.0
M727629,ファンタジーゾーン,サン電子株式会社,1987-07-20,5300.0
M736386,プロデュース,デービーソフト株式会社,1987-07-21,6800.0
M735880,ドラゴンバスター,株式会社小西六エニックス,1987-07-24,7800.0
M736091,お嬢様くらぶ,徳間書店インターメディア株式会社,1987-07-25,6800.0
M727628,カラオケスタジオ,バンダイ,1987-07-30,7500.0
M727627,迷路大作戦,バンダイ,1987-07-31,4900.0
M736041,RED STAR ソフトベンダー武尊,ブラザー工業株式会社,1987-08-07,2000.0
M735995,FIXED-STAR ソフトベンダー武尊,ブラザー工業株式会社,1987-08-07,2000.0
M727626,聖闘士星矢 黄金伝説,バンダイ,1987-08-10,5500.0
M727625,アルマナの奇跡,コナミ,1987-08-11,2500.0
M727624,ファミリーマージャン,ナムコ,1987-08-11,3900.0
M736286,ダイナマイトボウル,東芝EMI,1987-08-26,5800.0
M727623,ドラキュラ2 呪いの封印,コナミ株式会社,1987-08-28,2980.0
M727622,ふぁみこんむかし話 新・鬼ヶ島 前編,任天堂株式会社,1987-09-04,2600.0
M736376,ブライト・オブ・クリスタル ソフトベンダー武尊,ブラザー工業株式会社,1987-09-07,2000.0
M727621,デジタル・デビル物語 女神転生,ナムコ,1987-09-11,4900.0
M736043,ROGUE,株式会社アスキー,1987-09-18,9800.0
M735871,テスタメント,ホリデープランニング株式会社,1987-10-08,7800.0
M727620,Ultima 恐怖のエクソダス,ポニー,1987-10-09,5900.0
M735813,LOVE CHASER,チャンピオンソフト販売株式会社,1987-10-15,6800.0
M727619,インドラの光,コトブキシステム株式会社,1987-10-20,5300.0
M727618,FALSION,コナミ株式会社,1987-10-21,2980.0
M727617,桃太郎伝説,ハドソン,1987-10-26,5800.0
M727616,サイドポケット,ナムコ,1987-10-30,3900.0
M727614,上海,ハドソン,1987-10-30,4500.0
M727615,ビックリマンワールド,HUDSON SOFT,1987-10-30,4500.0
M727612,宇宙船コスモキャリア,ジャレコ,1987-11-06,4900.0
M727613,ルパン三世 パンドラの遺産,ナムコ,1987-11-06,3900.0
M736409,マイト アンド マジック,㈱スタークラフト,1987-11-14,9800.0
M727611,FAXANADO,ハドソン,1987-11-16,5900.0
M735965,抜忍伝説,株式会社ブレイングレイ,1987-11-20,9800.0
M727610,THE 功夫,ハドソン,1987-11-21,4500.0
M727609,時空勇伝 DEBIAS,ナムコ,1987-11-27,4900.0
M727608,エキサイティングベースボール,コナミ株式会社,1987-11-29,2980.0
M727607,カトちゃんケンちゃん,ハドソン,1987-11-30,4900.0
M727604,スター・ウォーズ,ナムコ,1987-12-04,4900.0
M727606,上海,サン電子株式会社,1987-12-04,5300.0
M727605,ドラゴンスクロール 甦りし魔竜,コナミ,1987-12-04,5300.0
M736452,リトル・コンピュータ・ピープル,株式会社ポニー・キャニオン販売,1987-12-05,6800.0
M727603,ゴルフ倶楽部 バーディ・ラッシュ,データイースト株式会社,1987-12-09,5500.0
M735960,セイレーン,㈱マイクロキャビン,1987-12-10,7800.0
M735958,天女伝説,チャンピオンソフト販売株式会社,1987-12-10,8000.0
M727602,ファミリーテニス,ナムコ,1987-12-11,3900.0
M727601,山村美紗サスペンス 京都龍の寺殺人事件,タイトー,1987-12-11,5500.0
M727600,トップガン,コナミ株式会社,1987-12-11,5300.0
M727598,ファミコンボードゲーム 鉄道王,デービーソフト株式会社,1987-12-12,4900.0
M727599,AFTER BURNER,セガ・エンタープライゼス,1987-12-12,5800.0
M736480,王子ビンビン物語 それから白書,東峰通商株式会社,1987-12-14,7800.0
M735940,アドレナリン・コネクション,ビクター音楽産業株式会社; 日本エイ・ブイ・シー株式会社,1987-12-16,7800.0
M727597,EXCITING BOXING,コナミ,1987-12-16,7980.0
M727595,ファイナルファンタジー,スクウェア,1987-12-18,5900.0
M727596,目指せパチプロ パチ夫くん,ココナッツ・ジャパン,1987-12-18,5500.0
M735846,ガイフレーム,日本コンピュータシステム株式会社,1987-12-19,7800.0
M735964,ソーサリアン,日本ファルコム㈱,1987-12-20,9800.0
M727594,PHANTASY STAR,セガ・エンタープライゼス,1987-12-20,6000.0
M727592,ゲゲゲの鬼太郎2 妖怪軍団の挑戦,バンダイ,1987-12-22,5500.0
M727591,メタルギア,コナミ,1987-12-22,5300.0
M727593,プロ野球ファミリースタジアム 87年度版!,ナムコ,1987-12-22,3900.0
M727590,マグナム危機一髪 エンパイアシティ1931,東芝EMI株式会社,1987-12-25,5500.0
M727589,アタックアニマル学園,ポニーキャニオン,1987-12-26,5500.0
M727588,"ビクトリーラン -栄光の13,000キロ-",ハドソン,1987-12-28,4500.0
M727563,ファミリーサーキット,ナムコ,1988-01-06,3900.0
M727562,殺意の階層 ソフトハウス連続殺人事件,HAL研究所,1988-01-07,5900.0
M727561,邪聖剣ネクロマンサー,ハドソン,1988-01-22,4500.0
M727560,妖怪道中記,ナムコ,1988-02-05,4900.0
M727559,DRAGON QUEST 3 そして伝説へ…,エニックス,1988-02-10,5900.0
M727558,エキサイティングサッカー コナミカップ,コナミ株式会社,1988-02-16,3300.0
M727557,松本亨の株式必勝学,[イマジニア],1988-02-18,9800.0
M727556,探偵 神宮寺三郎 横浜港連続殺人事件,データイースト株式会社,1988-02-26,5500.0
