アニメ作品ID,アニメ作品名,アニメ作品の合計話数
C13229,Dofusドフス★12の世界★ドフス アンド フレンズ,13
C13231,メガネコ,16
C13233,レオナルド博士 と キリン村のなかま でしょ,26
C13235,本マグロトロ太郎TV,25
C13237,こちら葛*飾区亀有公園前派出所[4月SP],2
C13240,南の島の小さな飛行機バーディー（第3期）,44
C13242,白い本,6
C13244,味楽る!ミミカ[第2期],19
C13246,きょうの料理ビギナーズ,96
C13248,巨人の星【特別編】父 一徹,13
C13250,おでんくん The Adventure of Oden-kun [第3期],27
C13252,彩雲国物語[第2期],42
C13254,モリゾー・キッコロ 森へいこうよ!,165
C13256,ウエルベールの物語Sisters of Wellber,13
C13258,優しさと感動のこだま,50
C13260,チビナックス2.0,25
C13262,水野キングダム❤パワーパフガールズ,1
C13264,タチコマな日々,12
C13266,AFROSAMURAI,5
C13269,復活! じゃないよ!? ウゴ・ウゴ ルーガ スペシャル,15
C13271,王さまものがたり,8
C13273,ななみちゃん[第4期],17
C13275,やっこはん姉妹きぬやっこ もめんやっこ,5
C13277,ウスペラーズ,5
C13279,ご存知!かくざ父さん,26
C13281,はなけろ～ペンペン村のまごころ屋～,13
C13283,進め!! 土管くん,13
C13288,こちら葛飾区亀有公園前派出所 両さんの寿司食いねぇ!～頂上マグロ対決!!～,2
C13290,スイスイ! フィジー!,104
C13292,はなけろ くるりん島のなかまたち,13
C13294,ネコべん,7
C13296,音楽の墓場,8
C13298,先生のチョンマゲアッパレひでよしくん,13
C13300,Baikin-kun,26
C13302,ピテカント,12
C13304,筋肉学園,26
C13306,土管くん[何かの]絵描き歌,13
C13308,私が出会った“知られざる”島根県,3
C13310,天下統一 CG将軍,11
C13312,星新一ショートsHORT劇場,5
C13314,さぁイコー!たまごっち,12
C13316,みんなのうた♪絵本シアター,3
C13320,夢をかなえるゾウ,12
C13322,ダンボール 戦機,46
C13323,ともだち8にん,109
C13325,ドラゴンクライシス!,12
C13330,ウエルベールの物語 Sisters of Wellber 第二幕,13
C13332,PooPooKids,13
C13334,はなけろ 虹の国のシエル姫,13
C13336,ピン子の秘伝カリー,19
C13338,レオナルド博士とキリン村のなかまたち,13
C13340,格言! かくざ 父さん,13
C13346,ねぇみんな…ふーちゃんの民話館PARIS SPECIAL!!,1
C13348,しりとり王国,3
C13350,ぴっくみー,100
C13354,おじゃる丸[第11期],90
C13356,忍たま乱太郎[第16期],100
C13358,いない いない ばあっ! [第13期],110
C13360,星新一ショートショート,26
C13363,イタズラなKiss,25
C13366,パコと魔法の絵本いつもワガママガマ王子,19
C13368,キスダム[R] ENGAGE planet,26
C13370,Domo,13
C13372,やさいのようせいN.Y. SALAD[第2期],26
C13374,モリゾー・キッコロと フルービー 守れ!みんなの水の惑星,6
C13376,ソフィア物語 ～ブルガリア バラの谷から～,3
C13378,チビナックス3,25
C13380,ななみちゃん[第5期],16
C13382,びわ湖放送presents 藤井組TV,15
C13384,ニコニコ♪コニーちゃん,5
C13386,なぜ? どうして? がおがおぶーっ!,26
C13390,ちょこっと☆ちょボット,38
C13392,ときどきアニメ開運 大便小僧,8
C13396,スッキリ!!・クロラ,20
C13400,男[デブ]はつらいYO!,7
C13402,パコと魔法の絵本 いつも ワガママ ガマ王子 メイキング,1
C13404,Little Village People,15
C13408,メジャー[第6期],26
C13410,メジャー[第5期],25
C13412,UN-GO,11
C13414,NO.6,11
C13416,CARDFIGHT!! ヴァンガード,65
C13418,DiSNEY ファイアボール チャーミング,12
C13420,DOG DAYS,13
C13422,セイクリッドセブン,12
C13423,Mach Girl,26
C13429,てんてこししまい君相談しましょー,25
C13431,キリン村ファイ★ともクラブ,17
C13433,VIVA!ブンベツ隊長,14
C13435,蔵出し土管くん,23
C13441,未来ヒコーキ,11
C13445,アニメ漫才猫ラーメン,12
C13447,人形芸人 ドント＆ノット,17
C13449,Peeping Life,10
C13453,新忍者玉丸,8
C13457,それゆけ! 外道乙女隊[あかほり外道アワー らぶげ],11
C13459,Starry☆Sky,26
C13461,這いよる!　ニャルアニ　リメンバー・マイ・ラブ　（クラフト先生）,11
C13463,onちゃん[第2期],26
C13465,カッコかわいい宣言,2
C13467,リタと ナントカ,26
C13469,一期一会 ～キミノコトバ～,13
C13471,ひだまり　スケッチ　×　☆☆☆[ほしみっつ]　[特別編],2
C13473,海月姫,17
C13475,Robin with his 100 friends,13
C13477,FORTUNE・ARTERIAL 赤い約束,13
C13481,咎狗の血,12
C13483,探偵オペラ ミルキィホームズ,12
C13485,農業ムスメ!,1
C13487,それでも町は 廻っている,12
C13490,神のみぞ知るセカイ,12
C13492,もっと ToLOVEる,12
C13494,侵略! イカ娘 The invader comes from the bottom of the sea!,12
C13496,食パン ミミー,12
C13498,たちゅ まる,26
C13500,宮西達也劇場 おまえ うまそうだな,20
C13502,おとめ 妖怪 ざくろ,13
C13504,"ヨスガノソラ In solitude, where we are least alone.",12
C13506,心霊探偵 八雲,13
C13508,荒川アンダー ザ ブリッジ*2,13
C13510,俺の妹がこんなに 可愛いわけがない,12
C13512,STAR DRIVER 輝きのタクト,26
C13514,夢色　パティシエール　SP[スペシャル]　プロフェッショナル,13
C13518,バクマン。[第1期],27
C13520,えむ えむっ!,12
C13522,テガミバチ REVERSE,25
C13524,薄桜鬼 新選組 奇譚 碧血録,11
C13526,スーパーロボット大戦 OG --ジ・インスペクター--,26
C13528,そらのおとしもの f,12
C13530,Panty ＆ Stocking with Garterbelt,13
C13534,バトルスピリッツ プレイヴ,45
C13536,模型戦士 GUNPLA BUILDERS BEGINNING G,3
C13538,モンハン 日記 ぎりぎり アイルー村 ★アイルー危機一髪★,10
C13540,アニメ くるねこ[第2期],21
C13545,青の祓魔師[エクソシスト],25
C13547,フラクタル,11
C13549,うたのプリンスさまっ♪ マジ LOVE 1000!,13
C13553,MARVEL X-MEN,13
C13557,動物かんきょう会議,20
C13560,イナズマイレブン GO,49
C13566,異国迷路の クロワーゼ The Animation,12
C13568,AKB0048,13
C13570,"戦姫絶唱 シンフォギア Meteoroid-falling, burning, and disappear, then...",13
C13573,パッコロリン,130
C13575,夏目友人帳 参,13
C13577,遊★戯★王 ZEXAL,77
C13579,スイートプリキュア♪,48
C13581,うっかりペネロペ[第2期],25
C13583,ちーすい丸,42
C13585,おじゃる丸[第13期],90
C13587,TRANSFORMERS ANIMATED,39
C13590,うちの3姉妹 おかわりぱれたい,4
C13592,百花 繚乱 サムライガールズ,12
C13595,R-15,12
C13601,Aチャンネル A-CHANNEL THE ANIMATION,12
C13603,BLOOD-C,12
C13607,C THE MEMORY OF SOUL AND POSSIBILITY CONTROL,11
C13609,C3 -シーキューブ- CubexCurseExCurious,12
C13611,Droronえん魔くん メ～ラめら,12
C13613,Fate/Zero,13
C13615,gdgd 妖精s,12
C13617,GOSICK,25
C13620,IS インフィニット・ストラトス,12
C13622,KEN ＆ The Monster ケンとかいじゅう,5
C13624,LASTEXILE 銀翼のファム,24
C13626,MARVEL BLADE,13
C13628,P4 Persona4 the ANIMATION,25
C13630,Steins;Gate,24
C13632,Suzy's Zoo だいすき! ウィッツィー,25
C13634,Teach,4
C13635,テレビまんが 昭和物語,13
C13637,とびだせ! 土管 くん,6
C13639,俺たちに翼はない --under the innocent sky.,12
C13641,花咲く いろは,26
C13643,快盗天使 ツイン エンジェル キュンキュン★ ときめき パラダイス!!,12
C13645,額縁をくぐって物語の中へ　[シリーズ],100
C13647,きんいろモザイク,12
C13650,THE iDOLM@STER,25
C13653,TIGER ＆ BUNNY,26
C13655,WORKING'!!,13
C13658,アスタロッテの おもちゃ!,12
C13662,あの日見た 花の名前を 僕達はまだ 知らない。,11
C13665,いつか天魔の黒ウサギ,12
C13667,うさぎ ドロップ,11
C13669,ウサビッチ[シーズン4],13
C13673,おじゃる丸[第14期],88
C13675,おはよう忍者隊 ガッチャマン,480
C13677,おしらせ忍者隊　ガッチャマン,26
C13679,お兄ちゃんのことなんか ぜんぜん好きじゃ ないんだからねっ!!,12
C13682,ギルティクラウン,22
C13684,クッキンアイドル アイ!マイ! まいん![第3期],82
C13686,クロスファイト ビーダマン,52
C13688,けんぷファー für die Liebe[フュア ディリーヴェ],1
C13690,これは×ゾンビ ですか?,12
C13692,ジュエルペット サンシャイン,52
C13694,ソッキ～ズ フロンティアクエスト,10
C13696,そふ てにっ SOFTENNI! the ANIMATION,12
C13698,だぶる じぇい,11
C13700,たまゆら ～hitotose～,12
C13702,ダンタリアンの 書架 Bibliotheca Mystica de Dantalian,13
C13705,ちはやふる,25
C13707,日常,26
C13709,忍たま 乱太郎[第19期],90
C13711,猫神 やおよろず,12
C13713,緋弾のアリア,12
C13716,ちび★デビ!,75
C13718,つながる アニマル しりとり リターンズ,1
C13720,デッドマン・ ワンダーランド,12
C13722,エウレカセブンAO ASTRAL OCEAN,24
C13725,坂道のアポロン KIDS ON THE SLOPE,12
C13727,Shining Hearts -幸せのパン-,12
C13729,スイッチ OH! くん,25
C13730,アルカナ・ファミリア La storia della Arcana Famiglia,12
C13732,TARI TARI,13
C13734,人類は衰退しました,12
C13736,ゆるゆり♪♪,12
C13738,デュエル・マスターズ ビクトリー,52
C13740,トリコ,147
C13742,にゃん†ぱいあ The Animation,12
C13746,バカとテスト と召喚獣 にっ!,13
C13748,バクマン。[第2期],25
C13750,ハトのおよめさん ハトよめ,4
C13752,バトルスピリッツ 覇王[ヒーローズ],50
C13754,ひだまり スケッチ SP[すぺしゃる],2
C13756,ひめ チェン! おとぎちっくアイドル リルぷりっ[のりスタ版],41
C13759,プ～ ねこ,11
C13761,プ～　ねこ　小劇場　SHOW TIME,11
C13763,ファイ・ブレイン 神のパズル[第1期],25
C13765,フジログ[第1期],13
C13767,フジログ[第2期],13
C13769,フリージング,12
C13771,プリティー リズム オーロラドリーム,51
C13774,へうげもの,39
C13776,べるぜバブ,60
C13778,ベン・トー,12
C13780,ポケットモンスター　ダイヤモンド＆パール　[特別編],2
C13782,ほんとに あった! 霊媒先生,22
C13784,マイクロストーリー,16
C13786,マケン姫っ!,12
C13788,ましろ色シンフォニー -The color of lovers-,12
C13790,まみむめ もんち,4
C13792,まよ チキ!,13
C13794,まりあ†ほりっく あらいぶ,12
C13797,みつ どもえ 増量中!,8
C13799,みつ どもえ 特別編,1
C13801,メタルファイト ベイブレード 4D,52
C13803,もしドラ　もし高校野球の女子マネージャーが　ドラッカーの『マネジメント』を読んだら,11
C13807,ゆるゆり,12
C13809,よんでますよ、 アザゼル さん。,13
C13811,リングにかけろ 1 世界大会編,6
C13813,レベルE,13
C13815,ロウきゅーぶ!,12
C13817,機動戦士 ガンダムAGE,49
C13819,逆境無頼 カイジ 破戒録篇,26
C13822,境界線上のホライゾン Horizon on the Middle of Nowhere,12
C13824,銀魂',51
C13826,君と僕。,13
C13828,君に届け 2ND SEASON,13
C13830,元気!! 江古田ちゃん,22
C13832,汐留 ケ～ブル テレビ,22
C13834,灼眼のシャナⅢ[Final],24
C13840,侵略!?　イカ娘　The Invader　comes from the　bottom of the sea!,12
C13842,森田さんは無口。,13
C13844,森田さんは無口。2,13
C13846,真剣で私に 恋しなさい!! まじこい,12
C13849,神様ドォルズ,14
C13851,神様のメモ帳 It's the only NEET thing to do.,12
C13853,世界一初恋,12
C13855,世界一初恋2,12
C13857,星空へ 架かる橋,12
C13859,聖痕の クェイサーⅡ,12
C13861,戦国☆ パラダイス 極,28
C13863,戦国 乙女 “桃色パラドックス”,13
C13865,探偵オペラ ミルキィホームズ[SS（サマースペシャル）],1
C13869,電波女と 青春男,12
C13871,変態生理ゼミナール 変 ゼミ,13
C13873,放浪息子,11
C13875,僕は友達が少ない,12
C13877,魔乳秘剣帖,12
C13879,魔法少女まどか★マギカ,12
C13883,未来日記,26
C13885,夢喰いメリー,13
C13887,輪るピングドラム,24
C13901,神鳥*侠*侶 コンドル ヒーロー,26
C13903,ダンボール　戦機　W,58
C13905,イナズマイレブン GO クロノ・ストーン,51
C13907,ポケットモンスター ベストウイッシュ シーズン2,63
C13909,うさるさん。,4
C13913,ネギま!? MAGISTER NEGI MAGI,26
C13915,ペンギン の問題 MaX,51
C13917,爆TECH! 爆丸,51
C13919,ペンギン の問題 PoW[パワフル],51
C13925,夏目友人帳 肆,13
C13927,アマガミ SS +[plus],14
C13930,新 テニスの 王子様,13
C13932,探偵オペラ ミルキィホームズ 第2幕,12
C13934,キルミーベイベー,13
C13936,ハイスクール DXD,12
C13939,リコーダーと ランドセル ド♪,13
C13941,ゼロの使い魔F,12
C13944,偽 物 語[ニセモノ ガタリ],11
C13946,BRAVE10,12
C13948,モーレツ❤宇宙海賊[パイレーツ],26
C13950,リトルバスターズ!,26
C13952,アニメ　おしりかじり虫[第1期],20
C13954,クロスファイト ビーダマン eS,52
C13958,てーきゅう[第2期],13
C13960,アクエリオン EVOL[AQUARION　EVO*L],27
C13961,這いよれ! ニャル子さん,12
C13964,さくら荘の ペットな彼女,24
C13966,PSYCHO-PASS,22
C13969,こぴはん,7
C13971,ふしぎのヤッポ島　プキプキとポイ,25
C13973,あの夏で待ってる,12
C13976,男子高校生 の日常,12
C13978,輪廻の ラグランジェ Flower declaration of your heart,12
C13980,パパのいうことを 聞きなさい!,12
C13982,妖狐×僕SS[いぬ×ぼく シークレットサービス],12
C13984,プラック★ロックシューター,8
C13992,ガッ活!,11
C13999,銀河へ キックオフ!!,43
C14001,しばいぬ子　さん,26
C14003,聖闘士星矢 Ω,97
C14007,緋色の欠片 玉依 姫 奇譚,13
C14009,こんなこと できません,14
C14011,クィーンズブレイド リベリオン,12
C14013,ゆるめいつ 3でぃ,13
C14015,これは×ゾンビ ですか? OF THE DEAD,10
C14017,しろ くま カフェ,50
C14019,フリッジ,20
C14021,めだか ボックス,13
C14023,LUPIN the Third 峰不二子という女,13
C14025,あっちこっち,13
C14027,さんかれあ,12
C14029,戦国コレクション,26
C14031,アクセル・ワールド,24
C14033,デュエル・マスターズ ビクトリーV,51
C14036,謎の彼女X,13
C14039,輪廻の ラグランジェ Flower declaration of your heart season2,14
C14041,俺の妹がこんなに 可愛いわけがない。,13
C14043,アラタカンガタリ 革神語,12
C14045,閃乱 カグラ,12
C14047,げんしけん 二代目 THE SOCIETY FOR THE STUDY OF MODERN VISUAL CULTURE,13
C14048,みな みけ ただ いま,13
C14079,貧乏神が!,13
C14081,じょしらく,13
C14083,だから僕は、 Hができない。,13
C14085,夏雪 ランデブー,11
C14087,はぐれ勇者の 鬼畜美学[エステティカ],12
C14092,ムジカ　ピッコリーノ,3
C14096,ゴクジョッ。 ～極楽院女子高寮物語～,12
C14098,となりの 怪物 くん,13
C14100,うーさーの その日暮らし,12
C14102,えびてん 公立海老栖川高校天悶部,10
C14104,中二病でも 恋がしたい!,12
C14106,ハヤテのごとく! Hayate the combat buttler CAN'T TAKE MY EYES OFF YOU,12
C14108,BTOOOM!,12
C14110,お兄ちゃんだけど 愛さえあれば 関係ないよねっ,12
C14112,K,13
C14114,絶園のテンペスト ～THE CIVILIZATION BLASTER～,24
C14117,ひだまり スケッチ × ハニカム,12
C14119,ぴっちぴち♪ しずくちゃん,9
C14121,武装神姫,12
C14123,ToLOVEる ダークネス,12
C14125,はいたい 七葉,13
C14127,バクマン。[第3期],27
C14130,CØDE: BREAKER,13
C14132,好きっていいなよ。,8
C14134,てーきゅう,13
C14136,マギ The labyrinth of magic,26
C14138,IXION SAGA Dimension Transfer イクシオン サーガ DT,26
C14140,ガールズ ＆ パンツァー,14
C14142,Robotics;Notes,22
C14144,ロンゴマックス　論語MAX,13
C14146,総合メディア開発　コンテンツ警備隊,28
C14150,頭文字[[イニシャル]]D Fifth Stage,14
C14156,Fate/ kaleid liner プリズマ★イリヤ,10
C14158,うたの☆プリンスさまっ♪ マジ LOVE 2000!,13
C14160,ハイスクール DXD NEW,12
C14162,たまこまーけっと,12
C14164,百花繚乱 サムライブライド,12
C14166,たまゆら ～もあぐれっしぶ～,12
C14168,ロウきゅーぶ! SS,13
C14170,Free!,12
C14172,進撃の巨人 attack on titan,26
C14174,有頂天家族,13
C14176,キューティクル探偵 因幡,12
C14178,ささみさん＠がんばらない,12
C14250,ゆゆ式,12
C14252,這いよれ! ニャル子さんW,12
C14254,Courtesy of ZETTAI KAREN CHILDREN THE UNLIMITED 兵部京介,12
C14256,波打際の むろみさん,13
C14258,僕は友達が少ない NEXT,12
C14260,私がモテないのは どう考えても お前らが悪い!,12
C14280,琴浦 さん,12
C14282,はたらく魔王さま!,13
C14525,とある魔術の 禁書目録[インデックスⅡ,24
C14528,豆腐姉妹,5
C14529,殿といっしょ 1分間劇場,12
C14530,忍者玉丸 - 東海道五十三次 -,26
C14531,オーバン STAR-RACERS,26
C14532,ガーゴイルズ,64
C14533,忍たま 乱太郎[第18期],90
C14534,HARD★TALK★CAFE,5
C14535,漂流家族　昭和パンダ物語[第1期],5
C14536,漂流家族　昭和パンダ物語[第2期],5
C14537,星新一 ショートショート 新春スペシャル,6
C14538,WHITE ALBUM[第2期],13
C14539,見えるぞ! ニッポン,6
C14540,モリゾー・キッコロ　森へいこうよ!　特別編　上海へいこうよ!,3
C14541,森のレシオ,9
C14542,世界の絵本から ～SWEDEN編～ Olle Eksell in Motion,13
C14543,Sebatan,9
C14544,Sebatan　[第2期],12
C14545,Sebatan　[第3期],5
C14547,体育　倉庫　ジムくんと　ゆかいな　仲間たち[*第2期],15
C14548,太宰 治 短編小説集[第2期] 畜犬談,3
C14549,太宰 治　短編小説集　[第3期],3
C14550,ど～する?　地球のあした,6
C14551,U.H.O.　フューチャーレスキュー2061　[第6期],5
C14552,レスキュー YoYo[よーよー],1
C14553,Rose O Neill Kewpie,26
C14554,WONDER GABBY,6
C14555,[アドリブアニメ],37
C14556,とっとこ ハム太郎 [スペシャルアニメ],4
C14557,夏色キセキ,12
C14558,帰宅部 活動記録,12
C14559,義風堂々! 兼続と慶次,25
C14560,スーパーロボット モンキー チーム ハイパー フォース GO!,52
C14561,ディノブレイカー,40
C14562,MONSTER[特別編],2
C14564,うら最,24
C14565,X-MEN エボリューション,43
C14566,エルティングビル・ クラブ,1
C14567,快傑ゾロ[未放送分],6
C14569,House of Mouse,45
C14570,ペコラ[新],26
C14571,ヘラクレス,65
C14572,ポピーザぱフォーマーカウントダウンスペシャル,7
C14573,ミッドナイト ホラースクール,26
C14574,わがまま☆フェアリー ミルモでポン![第2期],26
C14575,The World ofGOLDENEGGS[第2期],13
C14576,The World of GOLDEN EGGS,13
C14577,スペース・レンジャー バズ・ライトイヤー,62
C14579,こちら葛*飾区亀有公園前派出所[10月SP],2
C14580,ブーンドックス シーズン2,15
C14581,PERSONA-- trinity soul --,27
C14582,朝バナ子ちゃんダイエット川柳,12
C14583,あのねのとみぞう,6
C14584,いすのまちのコッシー,57
C14585,いない いない ばあっ![第14期],115
C14586,ウチュレイ!,12
C14587,おじゃる丸[第12期],90
C14588,大人のためのアニマイム物語,6
C14589,鬼警部 アンパン,2
C14590,オリガのドキドキイングリッシュ,6
C14591,KAWASAKI Frontale × 天体 戦士 サンレッド,4
C14593,キャベツ畑のサンマ,12
C14594,きょうの料理 ビギナーズ[第3期],96
C14595,京浜家族THE STORY OF A COMMON FAMILY,30
C14596,恋時雨,6
C14597,さくらんBOY DT,11
C14599,世界の絵本から ～オランダ編～ Lena LeNA,13
C14600,世界の絵本から ～韓国編～ 車に乗った太陽,13
C14601,体育 倉庫 ジムくんと ゆかいな 仲間たち,8
C14602,太宰 治生誕百年短編小説集,2
C14603,闘え!!ミミッチ ミッチー,6
C14604,ダンカイカレー中辛,17
C14605,探偵Xからの挑戦状![第8話]靴の中の死体-クリスマスの密室-,1
C14606,天体 戦士 サンレッド[第2期],26
C14607,どうする? しおん君,32
C14609,土管くん アナザーストーリー,1
C14612,ななみちゃん[第6期],16
C14614,忍たま乱太郎[第17期],90
C14615,NAKED WOLVES,52
C14616,ひよこねこ,3
C14617,Boostudio,10
C14618,ブクブクアワー,3
C14619,WHITE ALBUM2,13
C14620,MEAT OR DIE [YANS! GANS!],12
C14621,無敵!素敵!ハイチュウキング,4
C14622,よいこのアニメことなかれヒーローじんじゃーまん,12
C14623,La VilaineLuluおてんばルル,13
C14624,わいもくん きいろいかおしてババンバン,30
C14625,笑いのSHOW学校,20
C14626,IRONMAN,12
C14627,いない いない ばあっ![第15期],110
C14628,ウチュレイ![2010夏],18
C14629,EDDIE THE FAST BREAK,5
C14630,おかわり3姉妹,28
C14631,おべとも学園[第2期],12
C14632,おべとも学園[第3期],40
C14633,株式会社ZOO,12
C14634,カルルと ふしぎな塔[シリーズ],26
C14635,起業忍者 イガ社長と 秘書ガーコ,20
C14636,きょうの料理 ビギナーズ[第4期],74
C14637,クッキンアイドル アイ!マイ! まいん![第2期],81
C14638,クノーチェ,20
C14640,ケツ犬,13
C14641,月間ショート劇場★★　侵略派遣美少女　ミリ,3
C14643,コケッコーさん,26
C14645,こたつたこ,7
C14646,最強武将伝 三国演義,48
C14647,J.ブンガク　世界が愛した ニホンの感性　[第2期],4
C14648,10秒チョットのアニメ,27
C14649,[ストロー びゅるる],5
C14651,デュエル・マスターズ ビクトリー V3,51
C14652,とある科学の 超電磁砲[レールガン] S,23
C14653,東京レイヴンズ,24
C14654,AKB0048[next stage],13
C14655,エんエんニコリ,1
C14656,おじゃる丸[第16期],70
C14657,おとぎのくにの　イチジョウマン　7,2
C14658,大人 女子 の アニメ タイム[第2期],3
C14659,踊り子【クリノッペ】,26
C14660,ダンボール 戦機 WARS[ウォーズ],37
C14661,ちはやふる 2,25
C14662,ぢべたぐらし あひるの生活,27
C14663,超次元ゲイム ネプテューヌ THE ANIMATION,12
C14664,直球表題 ロボットアニメ,12
C14665,ちょぼらうにょぽみ劇場 あいまい みー,13
C14666,凪のあすから,26
C14667,にゅるにゅる!! KAKUSENくん,21
C14668,忍者 ハットリくん[インド版],37
C14669,忍たま 乱太郎 [第21期],76
C14670,のんのんびより,12
C14671,[リコーダー　と　ランドセル ミ★],13
C14673,いない いない ばあっ![第16期],110
C14675,おべとも学園[第4期],40
C14676,おんがく♪ 世界りょこう,3
C14677,額縁をくぐって物語の中へ　[スペシャル],5
C14678,学校の コワイ うわさ 新 花子さんがきた!!,33
C14679,神のみぞ知るセカイⅡ,12
C14681,ZoobLes!,8
C14683,だじゃれ パラパラ,18
C14684,デジモン　クロスウォーズ　悪のデスジェネラルと七つの王国,26
C14685,デジモン クロスウォーズ 時を駆ける少年ハンターたち,25
C14687,爆丸 バトルブローラーズ ガンダリアンインベーダーズ,45
C14688,はっぴ～カッピ,26
C14689,はなかっぱ[第2期],68
C14691,ペンギン　の問題　DX,26
C14692,ペンギン の問題 DX?,26
C14693,[ムルムル先生の裏未来日記],16
C14695,アイカツ! アイドルカツドウ!,179
C14696,秋葉工房　日本おもしろ昔話,8
C14697,新しい生物,5
C14698,Another,12
C14699,あらしのよるに ひみつのともだち,26
C14701,宇宙兄弟,101
C14702,うぽって!!,10
C14703,エリアの騎士,38
C14704,おじゃる丸[第15期],91
C14705,織田信奈の野望,13
C14706,おべとも学園[第5期],40
C14707,CARDFIGHT!! ヴァンガード アジアサーキット編,40
C14708,紙兎 ロペ 笑う朝には福来たるって マジっすか!?,561
C14709,神様 はじめました,13
C14710,かよえ! チュー学,370
C14711,カンピオーネ! ～まつろわぬ神々と神殺しの魔王～,13
C14712,きかんしゃトーマス,25
C14713,君と僕。2,13
C14714,境界線上のホライゾン　Ⅱ　Horizon on the Middle of Nowhere,13
C14716,キングダム,39
C14717,銀魂'[延長戦],13
C14718,クッキンアイドル　アイ!マイ!　まいん![第4期],85
C14719,黒子の バスケ,25
C14720,黒魔女さんが通る!!,60
C14721,恋と選挙とチョコレート,12
C14722,ゴーゴー!　マジムン,12
C14723,ココロ・コネクト,13
C14724,この中に1人、 妹がいる! Who is “IMOUTO“?,12
C14725,GON,50
C14726,咲 Saki 阿知賀編 episode of side-A,12
C14727,しまじろうのわお!,243
C14728,獣旋バトル モンスーノ,52
C14729,ジュエルペット きら★デコッ,52
C14730,ジョジョの 奇妙な冒険,26
C14731,新世界より,28
C14732,Zoobles　[シリーズ],34
C14733,スッキリ!!　×　映画　ひみつの　アッコちゃん　[～テクマクマヤコン　テクマクマヤコン　ステキなOLにな～れ!～],10
C14734,スマイルプリキュア!,48
C14735,ズモモ と ヌペペ,32
C14736,ZETMAN,13
C14737,ソードアート・オンライン,25
C14738,鷹の爪 NEO,36
C14739,黄昏乙女× アムネジア,10
C14740,たまごっち! ゆめキラドリーム,49
C14741,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第1期],12
C14742,革命機　ヴァルヴレイヴ　Valvrave　the Liberator　[第2期],12
C14743,ガッ活!　[第2期],25
C14744,GATCHAMAN CROWDS,12
C14745,神さまの いない 日曜日,12
C14746,神のみぞ知るセカイ - 女神篇 -,12
C14747,ガラスの仮面 ですが,3
C14748,ガラスの仮面 ですが Z,14
C14749,DiABOLiK LOVERS,13
C14750,DD 北斗の拳,13
C14751,てーきゅう［第3期］,13
C14752,デート・ア・ライブ,12
C14753,てさぐれ! 部活もの,11
C14755,鉄人 28号 ガオ!,151
C14756,ドキ ドキ! プリキュア!,49
C14757,リトル・チャロ4 New York Again,35
C14758,リトルバスターズ!　～Refrain～,12
C14759,探検 ドリランド,37
C14760,ちとせ げっちゅ!![第1期],13
C14761,ちとせ げっちゅ!![第2期],13
C14762,超速変形 ジャイロゼッター,51
C14763,超訳百人一首 うた恋い。,13
C14764,超ロボット生命体 トランスフォーマー プライム,53
C14765,つり球,12
C14767,テルマエ・ロマエ,6
C14768,DOG DAYS',13
C14769,NARUTO SD[すごいどりょく] ロック・リーの 青春フルパワー忍伝,51
C14770,忍たま 乱太郎[第20期],90
C14772,薄桜鬼 新選組 奇譚 黎明録,13
C14773,バトルスピリッツ ソードアイズ,29
C14774,はなかっぱ[第3期],45
C14775,パブー ＆モジーズ,52
C14776,パンダの たぷたぷ,431
C14777,緋色の欠片 玉依 姫 奇譚 第二章,13
C14778,100分 de 名著,130
C14779,氷菓,22
C14780,ファイ・ブレイン 神のパズル[第2期],26
C14781,Fate/Zero,14
C14782,プリティー リズム ディア・マイ・フューチャー,51
C14783,ふるさと 再生 日本の昔ばなし,564
C14784,ポヨポヨ　観察日記,47
C14785,マジでオタクなイングリッシュ! りぼんちゃん 英語で戦う魔法少女 the TV,12
C14786,松本零士 オズマ,6
C14787,muv-luv alternative TOTAL ECLIPSE,26
C14788,めだか ボックス アブノーマル,12
C14789,メタルファイト ベイブレード ZEROG[ゼロジー],38
C14790,もやしもん リターンズ TALES OF AGRICULTURE,11
C14791,遊★戯★王ゼアルⅡ[セカンド] ZEXAL,76
C14792,ゆるめいつ　3でぃ　PLUS,13
C14793,ヨルムンガンド,12
C14794,ヨルムンガンド PERFECT ORDER,13
C14795,ライチ　☆[DE]　光クラブ,8
C14796,リコーダーと　ランドセル　レ♪,13
C14797,リトル・チャロ　～東北編～,13
C14799,あいうら,12
C14800,アウトブレイク・ カンパニー,12
C14801,蒼き鋼の アルペジオ -ARS NOVA-,12
C14802,惡の華,13
C14803,アニメ　おしりかじり虫[第2期],32
C14804,AMNESIA,12
C14806,石田 と あさくら,13
C14808,イナズマイレブン GO ギャラクシー,43
C14809,犬とハサミは 使いよう,12
C14810,IS インフィニット・ストラトス 2,12
C14811,ウサビッチ[第5期],14
C14812,宇宙戦艦 ヤマト 2199,26
C14813,うっかりペネロペ,13
C14814,俺の妹がこんなに　可愛いわけがない　[TRUE ROUTE スペシャル版],4
C14815,俺の彼女と 幼なじみが 修羅場すぎる,14
C14816,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,10
C14817,CARDFIGHT!! ヴァンガード リンクジョーカー編,59
C14818,カーニヴァル,13
C14819,ガイスト クラッシャー,36
