雑誌巻号名,作品数,作者数,合計ページ数,発売日,価格,雑誌名,発売年
週刊少年サンデー 1975年 表示号数32,12,18,249.0,1975-08-10,130.0,週刊少年サンデー,1975-08-10
週刊少年サンデー 1975年 表示号数33,12,18,248.0,1975-08-17,130.0,週刊少年サンデー,1975-08-17
週刊少年サンデー 1975年 表示号数34,11,17,257.0,1975-08-24,150.0,週刊少年サンデー,1975-08-24
週刊少年サンデー 1975年 表示号数35,10,12,220.0,1975-08-31,130.0,週刊少年サンデー,1975-08-31
週刊少年サンデー 1975年 表示号数36,11,14,291.0,1975-09-07,150.0,週刊少年サンデー,1975-09-07
週刊少年サンデー 1975年 表示号数37,11,13,247.0,1975-09-14,130.0,週刊少年サンデー,1975-09-14
週刊少年サンデー 1975年 表示号数38,11,14,250.0,1975-09-21,130.0,週刊少年サンデー,1975-09-21
週刊少年サンデー 1975年 表示号数39,11,14,252.0,1975-09-28,130.0,週刊少年サンデー,1975-09-28
週刊少年サンデー 1975年 表示号数40,11,14,247.0,1975-10-05,130.0,週刊少年サンデー,1975-10-05
週刊少年サンデー 1975年 表示号数41,11,14,249.0,1975-10-12,130.0,週刊少年サンデー,1975-10-12
週刊少年サンデー 1975年 表示号数42,12,15,283.0,1975-10-19,150.0,週刊少年サンデー,1975-10-19
週刊少年サンデー 1975年 表示号数43,11,14,248.0,1975-10-26,130.0,週刊少年サンデー,1975-10-26
週刊少年サンデー 1975年 表示号数44,11,14,247.0,1975-11-02,130.0,週刊少年サンデー,1975-11-02
週刊少年サンデー 1975年 表示号数45,12,15,246.0,1975-11-09,130.0,週刊少年サンデー,1975-11-09
週刊少年サンデー 1975年 表示号数46,11,14,250.0,1975-11-16,130.0,週刊少年サンデー,1975-11-16
週刊少年サンデー 1975年 表示号数47,12,14,280.0,1975-11-23,150.0,週刊少年サンデー,1975-11-23
週刊少年サンデー 1975年 表示号数48,12,15,249.0,1975-11-30,130.0,週刊少年サンデー,1975-11-30
週刊少年サンデー 1975年 表示号数49,12,15,247.0,1975-12-07,130.0,週刊少年サンデー,1975-12-07
週刊少年サンデー 1975年 表示号数5,11,16,248.0,1975-02-02,130.0,週刊少年サンデー,1975-02-02
週刊少年サンデー 1975年 表示号数50,12,15,249.0,1975-12-14,130.0,週刊少年サンデー,1975-12-14
週刊少年サンデー 1975年 表示号数51,14,17,289.0,1975-12-21,150.0,週刊少年サンデー,1975-12-21
週刊少年サンデー 1975年 表示号数52,13,17,282.0,1975-12-28,140.0,週刊少年サンデー,1975-12-28
週刊少年サンデー 1975年 表示号数6,12,19,248.0,1975-02-09,130.0,週刊少年サンデー,1975-02-09
週刊少年サンデー 1975年 表示号数7,12,19,247.0,1975-02-16,130.0,週刊少年サンデー,1975-02-16
週刊少年サンデー 1975年 表示号数8,12,19,249.0,1975-02-23,130.0,週刊少年サンデー,1975-02-23
週刊少年サンデー 1975年 表示号数9,12,19,247.0,1975-03-02,130.0,週刊少年サンデー,1975-03-02
週刊少年サンデー 1976年 表示号数1,13,17,280.0,1976-01-04,140.0,週刊少年サンデー,1976-01-04
週刊少年サンデー 1976年 表示号数10,13,17,262.0,1976-03-07,140.0,週刊少年サンデー,1976-03-07
週刊少年サンデー 1976年 表示号数11,13,18,270.0,1976-03-14,140.0,週刊少年サンデー,1976-03-14
週刊少年サンデー 1976年 表示号数12,13,18,298.0,1976-03-21,150.0,週刊少年サンデー,1976-03-21
週刊少年サンデー 1976年 表示号数13,13,18,265.0,1976-03-28,140.0,週刊少年サンデー,1976-03-28
週刊少年サンデー 1976年 表示号数14,13,18,267.0,1976-04-04,140.0,週刊少年サンデー,1976-04-04
週刊少年サンデー 1976年 表示号数15,13,18,280.0,1976-04-11,140.0,週刊少年サンデー,1976-04-11
週刊少年サンデー 1976年 表示号数16,14,19,290.0,1976-04-18,150.0,週刊少年サンデー,1976-04-18
週刊少年サンデー 1976年 表示号数17,14,19,297.0,1976-04-25,150.0,週刊少年サンデー,1976-04-25
週刊少年サンデー 1976年 表示号数18,15,21,296.0,1976-05-02,150.0,週刊少年サンデー,1976-05-02
週刊少年サンデー 1976年 表示号数19,13,16,286.0,1976-05-09,150.0,週刊少年サンデー,1976-05-09
週刊少年サンデー 1976年 表示号数2,13,17,284.0,1976-01-11,140.0,週刊少年サンデー,1976-01-11
週刊少年サンデー 1976年 表示号数20,14,17,298.0,1976-05-16,150.0,週刊少年サンデー,1976-05-16
週刊少年サンデー 1976年 表示号数21,14,18,296.0,1976-05-23,150.0,週刊少年サンデー,1976-05-23
週刊少年サンデー 1976年 表示号数22,14,18,297.0,1976-05-30,150.0,週刊少年サンデー,1976-05-30
週刊少年サンデー 1976年 表示号数23,14,18,297.0,1976-06-06,150.0,週刊少年サンデー,1976-06-06
週刊少年サンデー 1976年 表示号数24,14,18,279.0,1976-06-13,150.0,週刊少年サンデー,1976-06-13
週刊少年サンデー 1976年 表示号数25,13,17,281.0,1976-06-20,150.0,週刊少年サンデー,1976-06-20
週刊少年サンデー 1976年 表示号数26,13,17,299.0,1976-06-27,150.0,週刊少年サンデー,1976-06-27
週刊少年サンデー 1976年 表示号数27,14,17,280.0,1976-07-04,150.0,週刊少年サンデー,1976-07-04
週刊少年サンデー 1976年 表示号数28,13,16,264.0,1976-07-11,150.0,週刊少年サンデー,1976-07-11
週刊少年サンデー 1976年 表示号数29,13,15,272.0,1976-07-18,150.0,週刊少年サンデー,1976-07-18
週刊少年サンデー 1976年 表示号数3,13,17,298.0,1976-01-18,150.0,週刊少年サンデー,1976-01-18
週刊少年サンデー 1976年 表示号数30,13,17,284.0,1976-07-25,150.0,週刊少年サンデー,1976-07-25
週刊少年サンデー 1976年 表示号数31,13,16,286.0,1976-08-01,150.0,週刊少年サンデー,1976-08-01
週刊少年サンデー 1976年 表示号数32,13,16,295.0,1976-08-08,150.0,週刊少年サンデー,1976-08-08
週刊少年サンデー 1976年 表示号数33,14,17,286.0,1976-08-15,150.0,週刊少年サンデー,1976-08-15
週刊少年サンデー 1976年 表示号数34,14,16,286.0,1976-08-22,150.0,週刊少年サンデー,1976-08-22
週刊少年サンデー 1976年 表示号数35,14,17,284.0,1976-08-29,150.0,週刊少年サンデー,1976-08-29
週刊少年サンデー 1976年 表示号数36,13,15,276.0,1976-09-05,150.0,週刊少年サンデー,1976-09-05
週刊少年サンデー 1976年 表示号数37,13,16,269.0,1976-09-12,150.0,週刊少年サンデー,1976-09-12
週刊少年サンデー 1976年 表示号数38,14,17,293.0,1976-09-19,150.0,週刊少年サンデー,1976-09-19
週刊少年サンデー 1976年 表示号数39,15,19,282.0,1976-09-26,150.0,週刊少年サンデー,1976-09-26
週刊少年サンデー 1976年 表示号数40,13,16,282.0,1976-10-03,150.0,週刊少年サンデー,1976-10-03
週刊少年サンデー 1976年 表示号数41,15,18,292.0,1976-10-10,150.0,週刊少年サンデー,1976-10-10
週刊少年サンデー 1976年 表示号数42,14,18,284.0,1976-10-17,150.0,週刊少年サンデー,1976-10-17
週刊少年サンデー 1976年 表示号数43,14,17,278.0,1976-10-24,150.0,週刊少年サンデー,1976-10-24
週刊少年サンデー 1976年 表示号数44,14,17,283.0,1976-10-31,150.0,週刊少年サンデー,1976-10-31
週刊少年サンデー 1976年 表示号数45,15,19,282.0,1976-11-07,150.0,週刊少年サンデー,1976-11-07
週刊少年サンデー 1976年 表示号数46,14,17,284.0,1976-11-14,150.0,週刊少年サンデー,1976-11-14
週刊少年サンデー 1976年 表示号数47,14,17,279.0,1976-11-21,150.0,週刊少年サンデー,1976-11-21
週刊少年サンデー 1976年 表示号数48,14,16,290.0,1976-11-28,150.0,週刊少年サンデー,1976-11-28
週刊少年サンデー 1976年 表示号数49,14,16,281.0,1976-12-05,150.0,週刊少年サンデー,1976-12-05
週刊少年サンデー 1976年 表示号数5,13,17,300.0,1976-02-01,150.0,週刊少年サンデー,1976-02-01
週刊少年サンデー 1976年 表示号数50,14,16,282.0,1976-12-12,150.0,週刊少年サンデー,1976-12-12
週刊少年サンデー 1976年 表示号数51,14,17,284.0,1976-12-19,150.0,週刊少年サンデー,1976-12-19
週刊少年サンデー 1976年 表示号数52,14,16,284.0,1976-12-26,150.0,週刊少年サンデー,1976-12-26
週刊少年サンデー 1976年 表示号数7,12,16,281.0,1976-02-15,140.0,週刊少年サンデー,1976-02-15
週刊少年サンデー 1976年 表示号数8,13,17,281.0,1976-02-22,140.0,週刊少年サンデー,1976-02-22
週刊少年サンデー 1976年 表示号数9,13,17,267.0,1976-02-29,140.0,週刊少年サンデー,1976-02-29
週刊少年サンデー 1977年 表示号数1,13,15,268.0,1977-01-02,150.0,週刊少年サンデー,1977-01-02
週刊少年サンデー 1977年 表示号数10,14,18,298.0,1977-03-06,150.0,週刊少年サンデー,1977-03-06
週刊少年サンデー 1977年 表示号数11,14,18,300.0,1977-03-13,150.0,週刊少年サンデー,1977-03-13
週刊少年サンデー 1977年 表示号数12,14,18,298.0,1977-03-20,150.0,週刊少年サンデー,1977-03-20
週刊少年サンデー 1977年 表示号数13,13,17,298.0,1977-03-27,150.0,週刊少年サンデー,1977-03-27
週刊少年サンデー 1977年 表示号数14,13,17,300.0,1977-04-03,150.0,週刊少年サンデー,1977-04-03
週刊少年サンデー 1977年 表示号数15,13,16,298.0,1977-04-10,150.0,週刊少年サンデー,1977-04-10
週刊少年サンデー 1977年 表示号数16,14,16,347.0,1977-04-17,170.0,週刊少年サンデー,1977-04-17
週刊少年サンデー 1977年 表示号数17,13,16,298.0,1977-04-24,150.0,週刊少年サンデー,1977-04-24
週刊少年サンデー 1977年 表示号数18,13,16,300.0,1977-05-01,150.0,週刊少年サンデー,1977-05-01
週刊少年サンデー 1977年 表示号数19,13,17,298.0,1977-05-08,150.0,週刊少年サンデー,1977-05-08
週刊少年サンデー 1977年 表示号数2,13,15,282.0,1977-01-09,150.0,週刊少年サンデー,1977-01-09
週刊少年サンデー 1977年 表示号数20,12,15,298.0,1977-05-15,150.0,週刊少年サンデー,1977-05-15
週刊少年サンデー 1977年 表示号数21,14,17,348.0,1977-05-22,170.0,週刊少年サンデー,1977-05-22
週刊少年サンデー 1977年 表示号数22,13,16,298.0,1977-05-29,150.0,週刊少年サンデー,1977-05-29
週刊少年サンデー 1977年 表示号数23,13,16,298.0,1977-06-05,150.0,週刊少年サンデー,1977-06-05
週刊少年サンデー 1977年 表示号数24,12,15,298.0,1977-06-12,150.0,週刊少年サンデー,1977-06-12
週刊少年サンデー 1977年 表示号数25,13,16,300.0,1977-06-19,150.0,週刊少年サンデー,1977-06-19
週刊少年サンデー 1977年 表示号数26,13,16,298.0,1977-06-26,150.0,週刊少年サンデー,1977-06-26
週刊少年サンデー 1977年 表示号数27,13,16,298.0,1977-07-03,150.0,週刊少年サンデー,1977-07-03
週刊少年サンデー 1977年 表示号数28,13,16,298.0,1977-07-10,150.0,週刊少年サンデー,1977-07-10
週刊少年サンデー 1977年 表示号数29,13,16,298.0,1977-07-17,150.0,週刊少年サンデー,1977-07-17
週刊少年サンデー 1977年 表示号数3,13,16,342.0,1977-01-16,170.0,週刊少年サンデー,1977-01-16
週刊少年サンデー 1977年 表示号数30,13,15,298.0,1977-07-24,150.0,週刊少年サンデー,1977-07-24
週刊少年サンデー 1977年 表示号数31,13,16,300.0,1977-07-31,150.0,週刊少年サンデー,1977-07-31
週刊少年サンデー 1977年 表示号数32,13,15,300.0,1977-08-07,150.0,週刊少年サンデー,1977-08-07
週刊少年サンデー 1977年 表示号数33,12,13,298.0,1977-08-14,150.0,週刊少年サンデー,1977-08-14
週刊少年サンデー 1977年 表示号数34,12,13,300.0,1977-08-21,150.0,週刊少年サンデー,1977-08-21
週刊少年サンデー 1977年 表示号数35,13,14,300.0,1977-08-28,150.0,週刊少年サンデー,1977-08-28
週刊少年サンデー 1977年 表示号数36,13,14,300.0,1977-09-04,150.0,週刊少年サンデー,1977-09-04
週刊少年サンデー 1977年 表示号数37,13,14,298.0,1977-09-11,150.0,週刊少年サンデー,1977-09-11
週刊少年サンデー 1977年 表示号数38,13,16,330.0,1977-09-18,170.0,週刊少年サンデー,1977-09-18
週刊少年サンデー 1977年 表示号数39,16,17,330.0,1977-09-25,170.0,週刊少年サンデー,1977-09-25
週刊少年サンデー 1977年 表示号数40,13,15,298.0,1977-10-02,150.0,週刊少年サンデー,1977-10-02
週刊少年サンデー 1977年 表示号数41,13,15,298.0,1977-10-09,150.0,週刊少年サンデー,1977-10-09
週刊少年サンデー 1977年 表示号数42,12,14,300.0,1977-10-16,150.0,週刊少年サンデー,1977-10-16
週刊少年サンデー 1977年 表示号数43,12,14,298.0,1977-10-23,150.0,週刊少年サンデー,1977-10-23
週刊少年サンデー 1977年 表示号数44,12,14,300.0,1977-10-30,150.0,週刊少年サンデー,1977-10-30
週刊少年サンデー 1977年 表示号数45,13,15,298.0,1977-11-06,150.0,週刊少年サンデー,1977-11-06
週刊少年サンデー 1977年 表示号数46,13,16,298.0,1977-11-13,150.0,週刊少年サンデー,1977-11-13
週刊少年サンデー 1977年 表示号数47,13,16,300.0,1977-11-20,150.0,週刊少年サンデー,1977-11-20
週刊少年サンデー 1977年 表示号数48,13,15,298.0,1977-11-27,150.0,週刊少年サンデー,1977-11-27
週刊少年サンデー 1977年 表示号数49,13,15,298.0,1977-12-04,150.0,週刊少年サンデー,1977-12-04
週刊少年サンデー 1977年 表示号数5,13,17,344.0,1977-01-30,170.0,週刊少年サンデー,1977-01-30
週刊少年サンデー 1977年 表示号数50,14,15,298.0,1977-12-11,150.0,週刊少年サンデー,1977-12-11
週刊少年サンデー 1977年 表示号数51,13,16,298.0,1977-12-18,150.0,週刊少年サンデー,1977-12-18
週刊少年サンデー 1977年 表示号数52,13,15,298.0,1977-12-25,150.0,週刊少年サンデー,1977-12-25
週刊少年サンデー 1977年 表示号数7,13,17,284.0,1977-02-13,150.0,週刊少年サンデー,1977-02-13
週刊少年サンデー 1977年 表示号数8,13,16,299.0,1977-02-20,150.0,週刊少年サンデー,1977-02-20
週刊少年サンデー 1977年 表示号数9,13,16,300.0,1977-02-27,150.0,週刊少年サンデー,1977-02-27
週刊少年サンデー 1978年 表示号数1,13,15,302.0,1978-01-01,150.0,週刊少年サンデー,1978-01-01
週刊少年サンデー 1978年 表示号数10,13,16,300.0,1978-03-05,150.0,週刊少年サンデー,1978-03-05
週刊少年サンデー 1978年 表示号数11,13,16,298.0,1978-03-12,150.0,週刊少年サンデー,1978-03-12
週刊少年サンデー 1978年 表示号数12,13,16,300.0,1978-03-19,150.0,週刊少年サンデー,1978-03-19
週刊少年サンデー 1978年 表示号数13,12,15,298.0,1978-03-26,150.0,週刊少年サンデー,1978-03-26
週刊少年サンデー 1978年 表示号数14,13,16,298.0,1978-04-02,150.0,週刊少年サンデー,1978-04-02
週刊少年サンデー 1978年 表示号数15,13,16,298.0,1978-04-09,150.0,週刊少年サンデー,1978-04-09
週刊少年サンデー 1978年 表示号数16,14,17,348.0,1978-04-16,170.0,週刊少年サンデー,1978-04-16
週刊少年サンデー 1978年 表示号数17,13,16,298.0,1978-04-23,150.0,週刊少年サンデー,1978-04-23
週刊少年サンデー 1978年 表示号数18,13,16,300.0,1978-04-30,150.0,週刊少年サンデー,1978-04-30
週刊少年サンデー 1978年 表示号数19,13,16,298.0,1978-05-07,150.0,週刊少年サンデー,1978-05-07
週刊少年サンデー 1978年 表示号数2,12,14,300.0,1978-01-08,150.0,週刊少年サンデー,1978-01-08
週刊少年サンデー 1978年 表示号数20,13,16,298.0,1978-05-14,150.0,週刊少年サンデー,1978-05-14
週刊少年サンデー 1978年 表示号数21,13,16,298.0,1978-05-21,150.0,週刊少年サンデー,1978-05-21
週刊少年サンデー 1978年 表示号数22,14,17,338.0,1978-05-28,170.0,週刊少年サンデー,1978-05-28
週刊少年サンデー 1978年 表示号数23,13,16,298.0,1978-06-04,150.0,週刊少年サンデー,1978-06-04
週刊少年サンデー 1978年 表示号数24,12,15,297.0,1978-06-11,150.0,週刊少年サンデー,1978-06-11
週刊少年サンデー 1978年 表示号数25,13,16,298.0,1978-06-18,150.0,週刊少年サンデー,1978-06-18
週刊少年サンデー 1978年 表示号数26,13,16,298.0,1978-06-25,150.0,週刊少年サンデー,1978-06-25
週刊少年サンデー 1978年 表示号数27,13,16,298.0,1978-07-02,150.0,週刊少年サンデー,1978-07-02
週刊少年サンデー 1978年 表示号数28,13,16,298.0,1978-07-09,150.0,週刊少年サンデー,1978-07-09
週刊少年サンデー 1978年 表示号数29,13,17,298.0,1978-07-16,150.0,週刊少年サンデー,1978-07-16
週刊少年サンデー 1978年 表示号数3,14,16,350.0,1978-01-15,170.0,週刊少年サンデー,1978-01-15
週刊少年サンデー 1978年 表示号数30,13,16,298.0,1978-07-23,150.0,週刊少年サンデー,1978-07-23
