,ceid,cename,pages,page_start_position,ccname,mcname,date
111,CE00111,第90話,20.0,0.4294871794871794,我間乱 ～GAMARAN～,週刊少年マガジン,2011-04-20
112,CE00112,第234話/何にも出来ないワケじゃない,20.0,0.4722222222222222,ダイヤのA,週刊少年マガジン,2011-04-20
113,CE00113,第9話 御都合主義なあのコ,20.0,0.5149572649572649,この彼女はフィクションです。,週刊少年マガジン,2011-04-20
114,CE00114,第18話 得点と失点。,20.0,0.5576923076923077,振り向くな君は,週刊少年マガジン,2011-04-20
115,CE00115,#160 超越,18.0,0.6004273504273504,Baby Steps ベイビーステップ,週刊少年マガジン,2011-04-20
116,CE00116,-BOUT 68- 三角の悲劇,20.0,0.6388888888888888,A-BOUT!,週刊少年マガジン,2011-04-20
117,CE00117,Round 931 笑顔で報告を,13.0,0.6816239316239316,はじめの一歩,週刊少年マガジン,2011-04-20
118,CE00118,ジャッジの鬼　／　オッパイウォーズ 巨乳vs.微乳　／　パンチラウォーズ 前チラvs.後ろチラ,4.0,0.7094017094017094,チョイとだけ劇場,週刊少年マガジン,2011-04-20
119,CE00119,第257話 「よだかは実に柄にも無いことを言いました」,12.0,0.7200854700854701,さよなら絶望先生,週刊少年マガジン,2011-04-20
120,CE00120,第106話 Jelly beans:乙女心,20.0,0.7457264957264957,エデンの檻,週刊少年マガジン,2011-04-20
121,CE00121,Trick:312,18.0,0.7884615384615384,エア・ギア,週刊少年マガジン,2011-04-20
122,CE00122,323時間目 帰ってきた!パル様号,16.0,0.8311965811965812,魔法先生 ネギま! MAGISTER NEGI MAGI,週刊少年マガジン,2011-04-20
123,CE00123,#87 ゴシップとむろみさん,6.0,0.8696581196581197,波打際のむろみさん,週刊少年マガジン,2011-04-20
124,CE00124,第77話 アゲイン,18.0,0.8824786324786325,GE ～グッドエンディング～,週刊少年マガジン,2011-04-20
125,CE00125,タイでタイを釣る　／　一目瞭然!ミコト先生!　／　10回クイズ　／　そこに書く意味は　／　カサがないなら　／　ジャマなだけなんだからね!,4.0,0.9209401709401708,ぷあぷあ?,週刊少年マガジン,2011-04-20
126,CE00126,Season 2 -絶望ノ匣(パンドラノハコ)- File 66 復活と離脱,20.0,0.9294871794871796,BLOODY MONDAY,週刊少年マガジン,2011-04-20
127,CE00127,第80話 武勇伝 武勇伝 ぶゆうでんでんででん伝統,8.0,0.9722222222222222,だぶるじぇい,週刊少年マガジン,2011-04-20
128,CE00128,File.305 森川先生からの刺客!!,6.0,0.9893162393162394,もう、しませんから。,週刊少年マガジン,2011-04-20
129,CE00129,第228話 13の女は雨に濡れて,42.0,0.0062630480167014,FAIRY TAIL,週刊少年マガジン,2011-04-13
130,CE00130,#159 高木朔夜,18.0,0.0939457202505219,Baby Steps ベイビーステップ,週刊少年マガジン,2011-04-13
131,CE00131,番外編 Play on the Ground,18.0,0.1315240083507307,あひるの空,週刊少年マガジン,2011-04-13
132,CE00132,第76話 ハニー・スイート,18.0,0.1691022964509394,GE ～グッドエンディング～,週刊少年マガジン,2011-04-13
133,CE00133,-BOUT 67- 目出しの勝負,20.0,0.2066805845511482,A-BOUT!,週刊少年マガジン,2011-04-13
134,CE00134,神話 7: グッドファーザー,8.0,0.2484342379958246,ゼウスの種,週刊少年マガジン,2011-04-13
135,CE00135,第233話/Just do it,20.0,0.2693110647181628,ダイヤのA,週刊少年マガジン,2011-04-13
136,CE00136,第89話,20.0,0.3110647181628392,我間乱 ～GAMARAN～,週刊少年マガジン,2011-04-13
137,CE00137,第31話 はじまり,20.0,0.3528183716075156,AKB49 ～恋愛禁止条例～,週刊少年マガジン,2011-04-13
138,CE00138,第17話 約束。,20.0,0.3945720250521921,振り向くな君は,週刊少年マガジン,2011-04-13
139,CE00139,205限目 受けて立ってやるよ…!!!,20.0,0.4363256784968685,ヤンキー君とメガネちゃん,週刊少年マガジン,2011-04-13
140,CE00140,#129 夏休みの予定,18.0,0.4780793319415449,君のいる町,週刊少年マガジン,2011-04-13
141,CE00141,322時間目 魔法世界vs.麻帆良学園!!,16.0,0.5156576200417536,魔法先生 ネギま! MAGISTER NEGI MAGI,週刊少年マガジン,2011-04-13
142,CE00142,第105話 A map:地図,20.0,0.5532359081419624,エデンの檻,週刊少年マガジン,2011-04-13
143,CE00143,第449話 ハハの想い,22.0,0.5949895615866388,ゴッドハンド輝,週刊少年マガジン,2011-04-13
144,CE00144,Season 2 -絶望ノ匣(パンドラノハコ)- File 65 迫る最後の恐怖,20.0,0.6409185803757829,BLOODY MONDAY,週刊少年マガジン,2011-04-13
145,CE00145,Round 930 もうすぐゴング,18.0,0.6826722338204593,はじめの一歩,週刊少年マガジン,2011-04-13
146,CE00146,Trick:311,18.0,0.7620041753653445,エア・ギア,週刊少年マガジン,2011-04-13
147,CE00147,第8話 あのころのぼくら,20.0,0.8037578288100209,この彼女はフィクションです。,週刊少年マガジン,2011-04-13
