acid,acname,asid,n_ae,first_date,last_date,crtid,crtname
C15366,GARO 炎の刻印,C5874,25,2014-10-04,2015-03-28,ACRT01364,雨宮慶太
C15367,GF ガールフレンド（仮）,C5875,13,2014-10-06,2014-12-29,ACRT00337,ガールフレンド（仮）
C15368,Hi☆sCoool! セハガ～ル,C5876,13,2014-10-08,2014-12-24,ACRT00059,KEI
C15368,Hi☆sCoool! セハガ～ル,C5876,13,2014-10-08,2014-12-24,ACRT00101,SEGA
C15368,Hi☆sCoool! セハガ～ル,C5876,13,2014-10-08,2014-12-24,ACRT00401,セガ・ハード・ガールズプロジェクト
C15370,selector spread　WIXOSS,C5716,12,2014-10-04,2014-12-20,ACRT00066,LRIG
C15371,SHIRO BAKO,C5879,24,2014-10-09,2015-03-26,ACRT01043,武蔵野アニメーション
C15373,アニメ おしりかじり虫　[第3期],C4724,10,2014-10-06,2014-12-08,ACRT00165,うるまでるび
C15374,オオカミ少女 と 黒王子,C5880,13,2014-10-05,2014-12-28,ACRT00636,八田鮎子
C15376,オレん家のフロ事情,C5881,13,2014-10-06,2014-12-29,ACRT00157,いときち
C15377,ガンダム ビルドファイターズトライ,C5607,25,2014-10-08,2015-04-01,ACRT00783,富野由悠季
C15377,ガンダム ビルドファイターズトライ,C5607,25,2014-10-08,2015-04-01,ACRT01173,矢立肇
C15379,グリザイアの果実,C5883,13,2014-10-05,2014-12-28,ACRT00469,フロントウイング
C15380,クロスアンジュ 天使と竜の輪舞[ロンド],C5884,25,2014-10-05,2015-03-29,ACRT00368,サンライズ
C15381,こんな私たちがなりゆきでヒロインになった結果www なりヒロ,C5885,12,2014-10-07,2014-12-23,ACRT01269,菅原そうた
C15382,デンキ街の本屋さん,C5886,31,2014-10-02,2014-12-18,ACRT01046,水あさと
C15383,トリニティセブン,C5887,12,2014-10-08,2014-12-23,ACRT00361,サイトウケンジ
C15383,トリニティセブン,C5887,12,2014-10-08,2014-12-23,ACRT00756,奈央晃徳
C15385,俺、ツインテールに なります。,C5893,12,2014-10-10,2014-12-26,ACRT01052,水沢夢
C15386,怪盗ジョーカー MYSTERIOUS JOKER,C5894,12,2014-10-06,2014-12-29,ACRT00201,たかはしひでやす
C15387,棺姫のチャイカ -- AVENGING BATTLE --,C5780,10,2014-10-09,2014-12-11,ACRT00227,なまにくTK
C15387,棺姫のチャイカ -- AVENGING BATTLE --,C5780,10,2014-10-09,2014-12-11,ACRT01021,榊一郎
C15388,甘城ブリリアント パーク,C5895,13,2014-10-03,2014-12-26,ACRT00220,なかじまゆか
C15388,甘城ブリリアント パーク,C5895,13,2014-10-03,2014-12-26,ACRT01318,賀東招二
C15389,寄生獣 セイの格率,C5896,24,2014-10-09,2015-03-26,ACRT00841,岩明均
C15390,暁のヨナ -The girl standing　 in the blush of dawn-,C5897,24,2014-10-08,2015-03-24,ACRT01261,草凪みずほ
C15391,繰繰れ!コックリさん,C5898,12,2014-10-06,2014-12-22,ACRT01330,遠藤ミドリ
C15392,結城友奈は勇者である,C5899,12,2014-10-17,2014-12-26,ACRT00090,Project2H
C15392,結城友奈は勇者である,C5899,12,2014-10-17,2014-12-26,ACRT00406,タカヒロ
C15394,山賊の娘ローニャ,C5902,27,2014-10-04,2015-03-28,ACRT00274,アストリッド・リンドグレーン
C15395,四月は君の嘘　I met the girl　 under full-bloomed cherry　 blossoms. and my fate has　 begun to change.,C5903,22,2014-10-10,2015-03-20,ACRT00899,新川直司
C15396,七つの大罪 The Seven Deadly Sins,C5904,25,2014-10-05,2015-03-29,ACRT01346,鈴木央
C15397,失われた未来を求めて A* la recherche du futur perdu,C5905,12,2014-10-04,2014-12-20,ACRT00277,アトリエハイキー
C15398,弱虫ペダル GRANDE ROAD,C5694,24,2014-10-07,2015-03-31,ACRT01108,渡辺航
C15400,接続無用,C5907,4,2014-12-03,2014-12-24,ACRT00071,MMDGP
C15400,接続無用,C5907,4,2014-12-03,2014-12-24,ACRT00372,シャインアーツ
C15401,大図書館の羊飼い a good librarian　like a good shepherd,C5908,13,2014-10-02,2014-12-25,ACRT00245,べっかんこう
C15401,大図書館の羊飼い a good librarian　like a good shepherd,C5908,13,2014-10-02,2014-12-25,ACRT00322,オーガスト
C15402,旦那が何を言っているかわからない件,C5909,13,2014-10-03,2014-12-26,ACRT00346,クール教信者
C15403,天体のメソッド,C5910,13,2014-10-05,2014-12-28,ACRT00333,カレイドシフト
C15403,天体のメソッド,C5910,13,2014-10-05,2014-12-28,ACRT00583,久弥直樹
C15404,島耕作のアジア立志伝　[第4期],C4582,2,2014-11-07,2014-11-14,ACRT00875,弘兼憲史
C15405,曇天に笑う,C5912,12,2014-10-04,2014-12-20,ACRT00703,唐々煙
C15406,魔弾の王と戦姫[ヴァナディーズ],C5913,13,2014-10-04,2014-12-27,ACRT00852,川口士
C15408,蟲師 [続章][後半],C3073,11,2014-10-02,2014-12-21,ACRT01110,漆原友紀
C15410,雨色ココア RAINY COCOA,C5940,13,2015-04-05,2015-06-28,ACRT00051,IAM電子出版
C15411,ΛLDNOΛH.ZERO[第2期],C5722,13,2015-01-04,2015-03-29,ACRT00082,OlympusKnights
C15411,ΛLDNOΛH.ZERO[第2期],C5722,13,2015-01-04,2015-03-29,ACRT01299,虚淵玄
C15412,VAMPIRE HOLMES,C5942,12,2015-04-04,2015-06-20,ACRT01113,瀬名快伸
C15413,うたの☆プリンスさまっ♪ マジ LOVE レボリューションズ,C4466,13,2015-04-05,2015-06-28,ACRT00474,ブロッコリー
C15413,うたの☆プリンスさまっ♪ マジ LOVE レボリューションズ,C4466,13,2015-04-05,2015-06-28,ACRT00559,上松範康
C15415,えとたま 干支魂,C5944,12,2015-04-09,2015-06-25,ACRT00415,タブリエ・コミュニケーションズ
C15415,えとたま 干支魂,C5944,12,2015-04-09,2015-06-25,ACRT01155,白組
C15416,終わりのセラフ,C5946,12,2015-04-04,2015-06-20,ACRT01353,鏡貴也
C15417,怪 盗 ジョーカー MYSTERIOUS JOKER[第2期],C5894,13,2015-04-06,2015-06-29,ACRT00201,たかはしひでやす
C15418,Gunslinger Stratos ―― THE ANIMATION ―,C5947,12,2015-04-04,2015-06-20,ACRT00384,スクウェア・エニックス
C15418,Gunslinger Stratos ―― THE ANIMATION ―,C5947,12,2015-04-04,2015-06-20,ACRT01299,虚淵玄
C15420,グリザイアの楽園,C5883,10,2015-04-19,2015-06-21,ACRT00469,フロントウイング
C15421,黒子の バスケ[第3期],C5552,25,2015-01-11,2015-06-28,ACRT01289,藤巻忠俊
C15423,血界戦線,C5949,13,2015-04-05,2015-07-05,ACRT00644,内藤泰弘
C15424,攻殻機動隊 ARISE ALTERNATIVE ARCHITECTURE,C1799,12,2015-04-05,2015-06-21,ACRT00722,士郎正宗
C15425,シドニアの騎士 第九惑星戦役,C5739,12,2015-04-11,2015-06-27,ACRT00873,弐瓶勉
C15426,少年ハリウッド - HOLLY STAGE FOR 50 -,C5790,13,2015-01-10,2015-04-04,ACRT01031,橋口いくよ
C15427,SHOW BY ROCK!!,C5954,12,2015-04-05,2015-06-21,ACRT00369,サンリオ
C15428,蒼穹のファフナー Dead Aggressor EXODUS,C2884,13,2015-01-09,2015-04-03,ACRT00121,XEBEC
C15429,高宮なすのです! てーきゅうスピンオフ,C4727,12,2015-04-07,2015-06-23,ACRT00085,Piyo
C15429,高宮なすのです! てーきゅうスピンオフ,C4727,12,2015-04-07,2015-06-23,ACRT00531,ルーツ
C15430,てさぐれ! 部活もの すぴんおふ プルプルんシャルム と遊ぼう,C5652,12,2015-04-05,2015-06-28,ACRT00216,てさぐれ!製作委員会
C15430,てさぐれ! 部活もの すぴんおふ プルプルんシャルム と遊ぼう,C5652,12,2015-04-05,2015-06-28,ACRT00338,キダニエル
C15430,てさぐれ! 部活もの すぴんおふ プルプルんシャルム と遊ぼう,C5652,12,2015-04-05,2015-06-28,ACRT00377,ジコウリュウ
C15430,てさぐれ! 部活もの すぴんおふ プルプルんシャルム と遊ぼう,C5652,12,2015-04-05,2015-06-28,ACRT01174,石ダテコー太郎
C15431,DOG DAYS'',C4518,12,2015-01-11,2015-03-29,ACRT01333,都築真紀
C15432,トリアージX[イクス],C5971,10,2015-04-09,2015-06-11,ACRT00621,佐藤ショウジ
C15433,長門有希ちゃんの消失,C3820,16,2015-04-04,2015-07-18,ACRT00244,ぷよ
C15433,長門有希ちゃんの消失,C3820,16,2015-04-04,2015-07-18,ACRT01312,谷川流
C15434,ニセコイ:,C5749,13,2015-04-08,2015-07-01,ACRT00679,古味直志
C15435,にゅるにゅる!! KAKUSENくん 2期,C5659,13,2015-04-06,2015-06-29,ACRT00026,DLE
C15435,にゅるにゅる!! KAKUSENくん 2期,C5659,13,2015-04-06,2015-06-29,ACRT00229,にゅるキャラ製作委員会
C15436,忍たま 乱太郎[第23期],C1462,70,2015-03-30,2016-01-03,ACRT00813,尼子騒兵衛
C15437,ハイスクール DXD BorN,C4488,12,2015-04-04,2015-06-20,ACRT00256,みやま零
C15437,ハイスクール DXD BorN,C4488,12,2015-04-04,2015-06-20,ACRT01184,石踏一榮
C15438,ハロー!! きんいろモザイク,C4782,12,2015-04-06,2015-06-22,ACRT00672,原悠衣
C15440,パンチ ライン,C5960,12,2015-04-10,2015-06-26,ACRT00069,MAGES.
C15440,パンチ ライン,C5960,12,2015-04-10,2015-06-26,ACRT00464,フジテレビ
C15441,響け♪ ユーフォニアム Sound! Euhonium,C5961,13,2015-04-08,2015-07-01,ACRT00273,アサダニッキ
C15441,響け♪ ユーフォニアム Sound! Euhonium,C5961,13,2015-04-08,2015-07-01,ACRT01041,武田綾乃
C15442,Fate ／ stay night [Unlinited Blade Works][第2期],C3797,13,2015-04-05,2015-06-28,ACRT00114,TYPE-MOON
C15442,Fate ／ stay night [Unlinited Blade Works][第2期],C3797,13,2015-04-05,2015-06-28,ACRT00757,奈須きのこ
C15443,プラスティック メモリーズ,C5962,13,2015-04-09,2015-07-02,ACRT00969,林直孝
C15445,魔法少女 リリカル なのは☆ ViVid,C2914,13,2015-04-03,2015-06-26,ACRT01297,藤真拓哉
C15445,魔法少女 リリカル なのは☆ ViVid,C2914,13,2015-04-03,2015-06-26,ACRT01333,都築真紀
C15446,ミカグラ学園組曲,C5964,12,2015-04-07,2015-06-23,ACRT00067,LastNote.
C15447,みんな集まれ! ファルコム 学園 SC,C5965,13,2015-01-04,2015-03-29,ACRT00897,新久保だいすけ
C15447,みんな集まれ! ファルコム 学園 SC,C5965,13,2015-01-04,2015-03-29,ACRT00907,日本ファルコム
C15448,やはり俺の 青春ラブコメは まちがっている。 ― 続 ―,C5966,13,2015-04-03,2015-06-26,ACRT01105,渡航
C15449,ISUCA,C5941,10,2015-01-24,2015-03-28,ACRT01395,高橋脩
C15450,神様 はじめました ◎,C5548,12,2015-01-06,2015-03-31,ACRT01344,鈴木ジュリエッタ
C15451,艦隊これくしょん 艦 これ Fleet Girls Collection KanColle Animation Sequence,C5948,12,2015-01-08,2015-03-26,ACRT00027,DMM.com
C15451,艦隊これくしょん 艦 これ Fleet Girls Collection KanColle Animation Sequence,C5948,12,2015-01-08,2015-03-26,ACRT00058,KADOKAWAGAMES
C15451,艦隊これくしょん 艦 これ Fleet Girls Collection KanColle Animation Sequence,C5948,12,2015-01-08,2015-03-26,ACRT01141,田中謙介
C15452,幸×腹 グラフィティ,C5950,12,2015-01-09,2015-03-27,ACRT00849,川井マコト
C15453,THE iDOLM＠STER シンデレラガールズ［第１期］,C3174,15,2015-01-03,2015-04-11,ACRT00448,バンダイナムコゲームス
C15453,THE iDOLM＠STER シンデレラガールズ［第１期］,C3174,15,2015-01-03,2015-04-11,ACRT00940,杏仁豆腐
C15454,銃皇無尽の ファフニール,C5952,12,2015-01-09,2015-03-27,ACRT00419,ツカサ
C15454,銃皇無尽の ファフニール,C5952,12,2015-01-09,2015-03-27,ACRT00994,梱枝りこ
C15455,"純潔のマリア Soriérede Gré, Pucelle de Force",C5953,12,2015-01-11,2015-03-29,ACRT01181,石川雅之
C15456,ジョジョの 奇妙な冒険 スターダスト クルセイダース ［エジプト編］,C1553,24,2015-01-10,2015-06-20,ACRT01267,荒木飛呂彦
C15457,新妹魔王の契約者[テスタメント],C5955,12,2015-01-08,2015-03-26,ACRT00561,上栖綴人
C15457,新妹魔王の契約者[テスタメント],C5955,12,2015-01-08,2015-03-26,ACRT00744,大熊猫介
C15458,アブソリュート・ デュオ,C5939,12,2015-01-04,2015-03-22,ACRT00973,柊★たくみ
C15458,アブソリュート・ デュオ,C5939,12,2015-01-04,2015-03-22,ACRT01087,浅葉ゆう
C15459,暗殺教室,C5485,22,2015-01-10,2015-06-20,ACRT00955,松井優征
C15460,おじゃる丸［第18期］,C2158,63,2015-04-01,2015-12-11,ACRT01123,犬丸りん
C15461,冴えない彼女*の 育てかた[ヒロイン],C5951,13,2015-01-09,2015-03-27,ACRT00580,丸戸史明
C15462,聖剣使いの 禁呪詠唱[ワールドブレイク],C5957,12,2015-01-14,2015-04-01,ACRT00129,refeia
C15462,聖剣使いの 禁呪詠唱[ワールドブレイク],C5957,12,2015-01-14,2015-04-01,ACRT00152,あわむら赤光
C15463,青春[アオハル]×機関銃,C5972,13,2015-07-03,2015-09-24,ACRT00074,NAOE
C15464,赤髪の白雪姫[第1期],C5973,12,2015-07-13,2015-09-28,ACRT00138,あきづき空太
C15465,アクエリオン ロゴス,C3012,26,2015-07-04,2015-12-25,ACRT00364,サテライト
C15465,アクエリオン ロゴス,C3012,26,2015-07-04,2015-12-25,ACRT01083,河森正治
C15466,アニメ 怪獣酒場 カンパーイ!,C4490,13,2015-07-07,2015-09-29,ACRT00645,円谷プロダクション
C15467,アルスラーン 戦記 THE HEROIC LEGEND OF ARSLAN,C1189,26,2015-04-05,2015-09-27,ACRT01139,田中芳樹
C15467,アルスラーン 戦記 THE HEROIC LEGEND OF ARSLAN,C1189,26,2015-04-05,2015-09-27,ACRT01265,荒川弘
C15468,VENUS PROJECT ―CLIMAX―,C5974,12,2015-07-05,2015-09-27,ACRT00038,GALAT
C15469,うーさーの その日暮らし 夢幻編,C4717,13,2015-07-03,2015-09-25,ACRT00760,宇佐義大
C15470,うしおととら,C1428,26,2015-07-03,2015-12-25,ACRT01295,藤田和日郎
C15471,英国一家、 日本を食べる Sushi and Beyond,C5975,25,2015-04-05,2015-11-05,ACRT00483,マイケル・ブース
C15472,おくさまが 生徒会長！,C5976,12,2015-07-02,2015-09-17,ACRT00577,中田ゆみ
C15473,OVERLORD,C5977,13,2015-07-07,2015-09-29,ACRT00130,so-bin
C15473,OVERLORD,C5977,13,2015-07-07,2015-09-29,ACRT00579,丸山くがね
C15474,おまかせ! みらくるキャット団,C5979,32,2015-03-31,2016-02-23,ACRT00529,ルノアール兄弟
C15474,おまかせ! みらくるキャット団,C5979,32,2015-03-31,2016-02-23,ACRT00571,中川翔子
C15474,おまかせ! みらくるキャット団,C5979,32,2015-03-31,2016-02-23,ACRT00697,吉盛
C15475,GANGSTA.,C5982,13,2015-07-05,2015-09-27,ACRT00359,コースケ
C15477,境界の RINNE,C5983,26,2015-03-22,2015-09-19,ACRT01394,高橋留美子
C15478,銀魂゜,C3079,54,2015-04-08,2016-03-30,ACRT01206,空知英秋
C15479,空戦魔導士 候補生の教官,C5984,12,2015-07-10,2015-09-25,ACRT01134,甘味みきひろ
C15479,空戦魔導士 候補生の教官,C5984,12,2015-07-10,2015-09-25,ACRT01311,諸星悠
C15480,くつだる。[第2期],C5736,16,2015-04-01,2015-09-16,ACRT00360,ゴトウマサフミ
C15481,CLASSROOM CRISIS,C5985,13,2015-07-04,2015-09-26,ACRT00072,MONTWO
C15482,ケイオスドラゴン 赤竜戦役,C5986,12,2015-07-02,2015-09-17,ACRT01103,混沌計画
C15483,GATE 自衛隊 彼の地にて、斯く戦えり,C5987,12,2015-07-04,2015-09-19,ACRT00975,柳内たくみ
C15484,GOD EATER,C5988,14,2015-06-28,2015-09-27,ACRT00447,バンダイナムコエンターテインメント
C15485,GON[第2期],C5559,26,2015-04-04,2015-09-26,ACRT01137,田中政志
C15486,ジュエルペット Magical Change,C3521,70,2015-04-04,2015-12-26,ACRT00369,サンリオ
C15486,ジュエルペット Magical Change,C3521,70,2015-04-04,2015-12-26,ACRT00400,セガトイズ
C15487,純情ロマンチカ3,C3372,12,2015-07-10,2015-09-25,ACRT00574,中村春菊
C15488,城下町の ダンデライオン,C5993,23,2015-07-03,2015-09-18,ACRT00916,春日歩
C15489,食戟 の ソーマ,C5994,25,2015-04-04,2015-09-26,ACRT00618,佐伯俊
C15489,食戟 の ソーマ,C5994,25,2015-04-04,2015-09-26,ACRT01005,森崎友紀
C15489,食戟 の ソーマ,C5994,25,2015-04-04,2015-09-26,ACRT01362,附田祐斗
C15490,洲崎西 THE ANIMATION,C5995,13,2015-07-08,2015-09-30,ACRT00135,「洲崎西」
C15490,洲崎西 THE ANIMATION,C5995,13,2015-07-08,2015-09-30,ACRT00895,文化放送
C15490,洲崎西 THE ANIMATION,C5995,13,2015-07-08,2015-09-30,ACRT01325,超!A&G＋
C15491,戦姫絶唱 シンフォギアGX,C4483,13,2015-07-04,2015-09-26,ACRT00560,上松範康・金子彰史
C15492,創勢の アクエリオン EVOL,C3012,1,2015-07-04,2015-07-04,ACRT00364,サテライト
C15492,創勢の アクエリオン EVOL,C3012,1,2015-07-04,2015-07-04,ACRT01083,河森正治
C15493,それが声優！,C5996,13,2015-07-10,2015-10-02,ACRT00141,あさのますみ
C15493,それが声優！,C5996,13,2015-07-10,2015-10-02,ACRT01150,畑健二郎
C15494,ダイヤのA[エース] -SECOND SEASON-,C5641,63,2015-04-06,2016-03-28,ACRT00785,寺嶋裕二
C15495,"DiABOLiK LOVERS MORE, BLOOD",C5650,14,2014-09-24,2015-12-27,ACRT00099,Rejet）
C15495,"DiABOLiK LOVERS MORE, BLOOD",C5650,14,2014-09-24,2015-12-27,ACRT00319,オトメイト（アイディアファクトリー
C15496,てーきゅう[第5期],C4727,12,2015-07-07,2015-09-22,ACRT00085,Piyo
C15496,てーきゅう[第5期],C4727,12,2015-07-07,2015-09-22,ACRT00531,ルーツ
C15497,デュエル・マスターズVSR,C2650,51,2015-04-05,2016-03-27,ACRT00958,松本しげのぶ
C15498,デュラララ!!×2転,C3635,12,2015-07-05,2015-09-27,ACRT00513,ヤスダスズヒト
C15498,デュラララ!!×2転,C3635,12,2015-07-05,2015-09-27,ACRT00891,成田良悟
C15499,電波教師 HE IS AN ULTIMATE TEACHER,C5997,24,2015-04-04,2015-09-26,ACRT00954,東毅
C15500,DRAGON BALL 超[スーパー],C6852,72,2015-07-05,2016-12-25,ACRT01406,鳥山明
C15501,To LOVEる ダークネス2nd,C3342,15,2015-07-07,2015-10-29,ACRT01170,矢吹健太朗
C15501,To LOVEる ダークネス2nd,C3342,15,2015-07-07,2015-10-29,ACRT01359,長谷見沙貴
C15504,バトルスピリッツ 烈火魂[バーニングソウル],C3397,51,2015-04-01,2016-03-30,ACRT01173,矢立肇
C15505,BIKINI WARRIORS,C5998,12,2015-07-08,2015-09-23,ACRT00480,ホビージャパン
C15506,フューチャーカード バディファイト 100[HUNDRED],C5766,50,2015-04-11,2016-03-26,ACRT00470,ブシロード
C15507,ベイビーステップ[第2期],C5770,26,2015-03-22,2015-09-20,ACRT00662,勝木光
C15508,枕男子[まくらのだんし],C5999,12,2015-07-14,2015-09-29,ACRT00094,P★P
C15509,ミス・モノクローム -The Animation- 2,C5683,13,2015-07-03,2015-09-25,ACRT00717,堀江由衣
C15510,ミリオンドール,C6001,13,2015-06-30,2015-09-22,ACRT01280,藍
C15511,六花の勇者,C6002,12,2015-07-05,2015-09-20,ACRT00821,山形石雄
C15512,WORKING!!!,C3655,13,2015-07-07,2015-09-29,ACRT01399,高津カリノ
C15513,ワカコ酒,C6003,13,2015-07-05,2015-09-27,ACRT00898,新久千映
C15516,ぐでたま,C6025,432,2014-03-31,2016-12-30,ACRT00369,サンリオ
C15524,Go! プリンセスプリキュア,C2833,46,2015-02-01,2015-12-27,ACRT00558,上北ふたご
C15524,Go! プリンセスプリキュア,C2833,46,2015-02-01,2015-12-27,ACRT00950,東堂いづみ
C15527,戦国無双,C5235,12,2015-01-12,2015-03-30,ACRT00358,コーエーテクモゲームス
C15529,だんちがい,C6108,13,2015-07-03,2015-09-25,ACRT01231,米田和佐
C15530,蒼穹のファフナーDead Aggressor EXODUS[第2期],C2884,26,2015-10-03,2015-12-25,ACRT00121,XEBEC
C15531,対魔導学園35試験小隊,C6173,24,2015-10-08,2015-12-24,ACRT00651,切符
C15531,対魔導学園35試験小隊,C6173,24,2015-10-08,2015-12-24,ACRT00976,柳実冬貴
C15532,Dance with Devils,C6174,24,2015-10-07,2015-12-23,ACRT00348,グリモワール編纂室
C15532,Dance with Devils,C6174,24,2015-10-07,2015-12-23,ACRT00840,岩崎大介（Rejet）
C15533,ちょぼらうにょぽみ劇場～新章～不思議なソメラ ちゃん,C6179,26,2015-09-30,2015-12-23,ACRT00210,ちょぼらうにょぽみ
C15534,DD北斗の拳 2イチゴ味+[プラス],C6792,72,2015-10-07,2015-12-22,ACRT00670,原哲夫
C15534,DD北斗の拳 2イチゴ味+[プラス],C6792,72,2015-10-07,2015-12-22,ACRT01044,武論尊
C15537,鷹の爪 EX[エクストリーム],C4246,32,2014-04-11,2014-12-19,ACRT00026,DLE
C15539,猫のダヤン,C6032,34,2014-04-26,2014-12-27,ACRT01072,池田あきこ
C15540,猫 ピッチャー,C6034,28,2014-05-03,2016-03-29,ACRT00197,そにしけんじ
C15543,パックワールド,C6036,36,2014-04-05,2014-12-20,ACRT00289,アヴィ・アラッド
C15543,パックワールド,C6036,36,2014-04-05,2014-12-20,ACRT00448,バンダイナムコゲームス
C15544,はなかっぱ[第5期],C3640,57,2014-03-31,2015-01-12,ACRT00139,あきやまただし
C15545,fran❤cesca [フ ラ ン チェ ス カ],C6039,24,2014-07-07,2014-12-15,ACRT01119,熊谷仁志
C15545,fran❤cesca [フ ラ ン チェ ス カ],C6039,24,2014-07-07,2014-12-15,ACRT01151,畑木麻友華
C15550,LOVELY❤MOVIE いとしの ムーコ Lovely Muuuuuuuco! Season 2,C5697,22,2014-04-27,2014-10-05,ACRT00252,みずしな孝之
C15552,みんな集まれ! ファルコム 学園,C5965,13,2014-01-05,2014-03-30,ACRT00897,新久保だいすけ
C15552,みんな集まれ! ファルコム 学園,C5965,13,2014-01-05,2014-03-30,ACRT00907,日本ファルコム
C15553,蟲 師 [続章][特別篇],C3073,1,2014-08-20,2014-08-20,ACRT01110,漆原友紀
C15555,もっふり モフ☆モフ,C6068,25,2014-04-08,2014-09-23,ACRT00207,ちぃ
C15557,落第騎士の 英雄譚[キャバルリィ]A TALE OF WORST ONE,C6180,24,2015-10-03,2015-12-19,ACRT00269,をん
C15557,落第騎士の 英雄譚[キャバルリィ]A TALE OF WORST ONE,C6180,24,2015-10-03,2015-12-19,ACRT01097,海空りく
C15558,ランス アンドマスクスKnights of the World.,C6181,24,2015-10-02,2015-12-18,ACRT00759,子安秀明
C15559,ONE PUNCH MAN ワンパンマン,C6182,24,2015-10-05,2015-12-21,ACRT00081,ONE
C15559,ONE PUNCH MAN ワンパンマン,C6182,24,2015-10-05,2015-12-21,ACRT00946,村田雄介
C15560,ONE PIECEアドベンチャー オブ ネブランディア,C2309,1,2015-12-19,2015-12-19,ACRT00815,尾田栄一郎
C15561,新妹魔王の契約者[テスタメント] BURST,C5955,20,2015-10-11,2015-12-13,ACRT00561,上栖綴人
C15561,新妹魔王の契約者[テスタメント] BURST,C5955,20,2015-10-11,2015-12-13,ACRT00744,大熊猫介
C15562,てーきゅう[第6期],C4727,26,2015-10-06,2015-12-29,ACRT00085,Piyo
C15562,てーきゅう[第6期],C4727,26,2015-10-06,2015-12-29,ACRT00531,ルーツ
C15564,猫のダヤン日本へ行く,C6032,23,2015-10-17,2016-01-09,ACRT01072,池田あきこ
C15569,監督不行届,C6049,13,2014-04-04,2014-07-04,ACRT00769,安野モヨコ
C15573,島耕作の アジア立志伝 [第3期],C4582,2,2014-08-17,2014-08-24,ACRT00875,弘兼憲史
C15575,スミ子,C6053,8,2014-07-04,2014-08-22,ACRT00165,うるまでるび
C15577,ダダダダ ダディーマン,C6054,3,2014-04-06,2014-07-06,ACRT00255,みやにしたつや
C15579,超ゼンマイロボ パトラッシュ,C3212,13,2013-12-07,2014-03-15,ACRT00828,山本雄三
C15593,わし*も[第1期],C6065,10,2014-03-10,2014-03-21,ACRT00770,安齋肇
C15593,わし*も[第1期],C6065,10,2014-03-10,2014-03-21,ACRT00779,宮藤官九郎
C15598,ウサビッチ[ZERO],C4313,14,2015-04-10,2015-08-28,ACRT00774,宮崎あぐり
C15603,金 夜 安部 礼司 ～平均的サラリーマンの異常な日常～,C6121,5,2015-07-04,2015-08-01,ACRT00112,TOKYOFM
C15604,Good Morning!!! DORONJO,C3767,58,2016-01-05,2016-03-25,ACRT00411,タツノコプロ
C15605,暗闇三太,C6123,13,2015-07-05,2015-09-27,ACRT00690,吉川兆二
C15608,探偵歌劇 ミルキィホームズ TD,C4420,12,2015-01-03,2015-03-28,ACRT00471,ブシロードクロノギアクリエイティヴ
C15608,探偵歌劇 ミルキィホームズ TD,C4420,12,2015-01-03,2015-03-28,ACRT00933,木谷高明
C15610,デス・パレード,C5653,12,2015-01-10,2015-03-28,ACRT00485,マッドハウス
C15610,デス・パレード,C5653,12,2015-01-10,2015-03-28,ACRT01210,立川譲
C15612,デュラララ!!×2承,C3635,12,2015-01-11,2015-03-29,ACRT00513,ヤスダスズヒト
C15612,デュラララ!!×2承,C3635,12,2015-01-11,2015-03-29,ACRT00891,成田良悟
C15614,東京乙女 レストラン 乙レス SD[サイドディシュ][第1期],C6129,12,2015-04-01,2015-06-17,ACRT00117,V
C15615,東京喰種 トーキョーグール √A,C5799,12,2015-01-09,2015-03-27,ACRT01183,石田スイ
C15619,のんのんびより りぴーと,C5660,15,2015-06-16,2015-09-22,ACRT00146,あっと
C15620,ハッピー ジョージ,C6134,15,2016-01-08,2016-12-25,ACRT00061,KateArrow/MMDGP
C15621,はなかっぱ[第6期],C3640,58,2015-03-30,2016-01-06,ACRT00139,あきやまただし
C15625,美男 高校 地球防衛部 LOVE!,C6110,12,2015-01-07,2015-03-25,ACRT01382,馬谷くらり
C15626,干物妹[ひもうと]! うまるちゃん,C6112,12,2015-07-13,2015-09-28,ACRT00367,サンカクヘッド
C15627,ふうせんいぬ ティニー[第2期],C6038,12,2016-01-08,2016-03-25,ACRT00626,佐野研二郎
C15627,ふうせんいぬ ティニー[第2期],C6038,12,2016-01-08,2016-03-25,ACRT00855,川村元気
C15628,Fate/kaleid liner プリズマ ★イリヤ 2wei Herz!,C3797,10,2015-07-25,2015-09-26,ACRT00114,TYPE-MOON
C15628,Fate/kaleid liner プリズマ ★イリヤ 2wei Herz!,C3797,10,2015-07-25,2015-09-26,ACRT00240,ひろやまひろし
C15630,ブーブーボーイ,C6136,16,2015-07-04,2015-09-19,ACRT00246,べんぴねこ
C15631,監獄 学園[プリズンスクール],C6113,12,2015-07-11,2015-09-26,ACRT00862,平本アキラ
C15633,本当にあった 動物影絵館,C6138,5,2015-09-29,2016-08-16,ACRT00552,三浦健太
C15634,みりたり！,C6114,13,2015-01-02,2015-03-27,ACRT00251,まもウィリアムズ
C15635,モンスター 娘のいる日常,C6115,12,2015-07-08,2015-09-23,ACRT00317,オカヤド
C15636,ユリ熊嵐 LOVE BULLET・YURIKUMA ARASHI,C6116,13,2015-01-07,2015-04-01,ACRT00294,イクニゴマモナカ
C15636,ユリ熊嵐 LOVE BULLET・YURIKUMA ARASHI,C6116,13,2015-01-07,2015-04-01,ACRT01004,森島明子
