掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.707936507936508,CE73026,C88650,週刊少年ジャンプ,1978-01-09,第1群（合計話数：8-16話）,5
0.707936507936508,CE73039,C88650,週刊少年ジャンプ,1978-01-02,第1群（合計話数：8-16話）,4
0.707936507936508,CE73053,C88650,週刊少年ジャンプ,1977-12-26,第1群（合計話数：8-16話）,3
0.707936507936508,CE73067,C88650,週刊少年ジャンプ,1977-12-19,第1群（合計話数：8-16話）,2
0.4031746031746032,CE73076,C88650,週刊少年ジャンプ,1977-12-12,第1群（合計話数：8-16話）,1
0.8684807256235828,CE59899,C88632,週刊少年ジャンプ,1993-05-10,第1群（合計話数：8-16話）,8
0.7383863080684596,CE59915,C88632,週刊少年ジャンプ,1993-05-03,第1群（合計話数：8-16話）,7
0.9063231850117096,CE59939,C88632,週刊少年ジャンプ,1993-04-26,第1群（合計話数：8-16話）,6
0.4454828660436137,CE71750,C88591,週刊少年ジャンプ,1979-10-01,第1群（合計話数：8-16話）,8
0.2710280373831775,CE71763,C88591,週刊少年ジャンプ,1979-09-24,第1群（合計話数：8-16話）,7
0.0155763239875389,CE71775,C88591,週刊少年ジャンプ,1979-09-17,第1群（合計話数：8-16話）,6
0.2953929539295393,CE71797,C88591,週刊少年ジャンプ,1979-09-10,第1群（合計話数：8-16話）,5
0.0155763239875389,CE71810,C88591,週刊少年ジャンプ,1979-09-03,第1群（合計話数：8-16話）,4
0.6043360433604336,CE71835,C88591,週刊少年ジャンプ,1979-08-27,第1群（合計話数：8-16話）,3
0.2050473186119873,CE71846,C88591,週刊少年ジャンプ,1979-08-20,第1群（合計話数：8-16話）,2
0.0155763239875389,CE71859,C88591,週刊少年ジャンプ,1979-08-13,第1群（合計話数：8-16話）,1
0.8367346938775511,CE67056,C88565,週刊少年ジャンプ,1985-07-08,第1群（合計話数：8-16話）,8
0.5860058309037901,CE67068,C88565,週刊少年ジャンプ,1985-07-01,第1群（合計話数：8-16話）,7
0.3400503778337531,CE63848,C88627,週刊少年ジャンプ,1989-03-27,第1群（合計話数：8-16話）,1
0.5297157622739018,CE63832,C88627,週刊少年ジャンプ,1989-04-03,第1群（合計話数：8-16話）,2
0.7299771167048055,CE63419,C88627,週刊少年ジャンプ,1989-08-28,第1群（合計話数：8-16話）,3
0.6019184652278178,CE59952,C88632,週刊少年ジャンプ,1993-04-19,第1群（合計話数：8-16話）,5
0.0781609195402298,CE59962,C88632,週刊少年ジャンプ,1993-04-12,第1群（合計話数：8-16話）,4
0.6420047732696897,CE59994,C88632,週刊少年ジャンプ,1993-04-05,第1群（合計話数：8-16話）,3
0.5191011235955056,CE60011,C88632,週刊少年ジャンプ,1993-03-29,第1群（合計話数：8-16話）,2
0.0071942446043165,CE60022,C88632,週刊少年ジャンプ,1993-03-22,第1群（合計話数：8-16話）,1
0.6042105263157894,CE57942,C88629,週刊少年ジャンプ,1995-05-08,第1群（合計話数：8-16話）,8
0.7410071942446043,CE57965,C88629,週刊少年ジャンプ,1995-05-01,第1群（合計話数：8-16話）,7
0.6082004555808656,CE57982,C88629,週刊少年ジャンプ,1995-04-24,第1群（合計話数：8-16話）,6
0.9418604651162792,CE69550,C88668,週刊少年ジャンプ,1982-06-21,第1群（合計話数：8-16話）,8
0.8084632516703786,CE58007,C88629,週刊少年ジャンプ,1995-04-17,第1群（合計話数：8-16話）,5
0.6397228637413395,CE58048,C88629,週刊少年ジャンプ,1995-04-03,第1群（合計話数：8-16話）,3
0.5921375921375921,CE58067,C88629,週刊少年ジャンプ,1995-03-27,第1群（合計話数：8-16話）,2
0.3287981859410431,CE58082,C88629,週刊少年ジャンプ,1995-03-20,第1群（合計話数：8-16話）,1
0.0221130221130221,CE63303,C88627,週刊少年ジャンプ,1989-10-02,第1群（合計話数：8-16話）,8
