掲載位置,ceid,ccid,mcname,date,グループ名,話数
0.3836477987421384,CE178490,C111020,週刊少年ジャンプ,2015-04-06,第3群（合計話数：32-81話）,7
0.3427991886409736,CE178511,C111020,週刊少年ジャンプ,2015-04-13,第3群（合計話数：32-81話）,8
0.0062630480167014,CE178379,C111023,週刊少年ジャンプ,2015-03-02,第4群（合計話数：82-1956話）,1
0.2631578947368421,CE178402,C111023,週刊少年ジャンプ,2015-03-09,第4群（合計話数：82-1956話）,2
0.4378818737270876,CE178426,C111023,週刊少年ジャンプ,2015-03-16,第4群（合計話数：82-1956話）,3
0.6194503171247357,CE178452,C111023,週刊少年ジャンプ,2015-03-23,第4群（合計話数：82-1956話）,4
0.3962264150943396,CE178469,C111023,週刊少年ジャンプ,2015-03-30,第4群（合計話数：82-1956話）,5
0.4675052410901467,CE178492,C111023,週刊少年ジャンプ,2015-04-06,第4群（合計話数：82-1956話）,6
0.2210953346855984,CE178508,C111023,週刊少年ジャンプ,2015-04-13,第4群（合計話数：82-1956話）,7
0.4777562862669245,CE178537,C111023,週刊少年ジャンプ,2015-04-20,第4群（合計話数：82-1956話）,8
0.0061099796334012,CE178419,C111025,週刊少年ジャンプ,2015-03-16,第2群（合計話数：17-31話）,1
0.2093023255813953,CE178443,C111025,週刊少年ジャンプ,2015-03-23,第2群（合計話数：17-31話）,2
0.3039832285115304,CE178467,C111025,週刊少年ジャンプ,2015-03-30,第2群（合計話数：17-31話）,3
0.6477987421383647,CE178495,C111025,週刊少年ジャンプ,2015-04-06,第2群（合計話数：17-31話）,4
0.4320486815415821,CE178513,C111025,週刊少年ジャンプ,2015-04-13,第2群（合計話数：17-31話）,5
0.8181818181818182,CE178544,C111025,週刊少年ジャンプ,2015-04-20,第2群（合計話数：17-31話）,6
0.6204690831556503,CE178561,C111025,週刊少年ジャンプ,2015-04-27,第2群（合計話数：17-31話）,7
0.7463617463617463,CE178584,C111025,週刊少年ジャンプ,2015-05-04,第2群（合計話数：17-31話）,8
0.5382882882882883,CE179390,C111032,週刊少年マガジン,2015-02-11,第1群（合計話数：8-16話）,1
0.7060185185185185,CE179418,C111032,週刊少年マガジン,2015-02-18,第1群（合計話数：8-16話）,2
0.6555555555555556,CE179443,C111032,週刊少年マガジン,2015-02-25,第1群（合計話数：8-16話）,3
0.6581395348837209,CE179470,C111032,週刊少年マガジン,2015-03-04,第1群（合計話数：8-16話）,4
0.672093023255814,CE179493,C111032,週刊少年マガジン,2015-03-11,第1群（合計話数：8-16話）,5
0.8263888888888888,CE179520,C111032,週刊少年マガジン,2015-03-18,第1群（合計話数：8-16話）,6
