マンガ作品名,掲載位置,ceid,date
ドカベン,0.1666666666666666,CE115745,1972-09-18
ドカベン,0.1884057971014492,CE116029,1972-05-01
ドカベン,0.1396103896103896,CE115759,1972-09-11
ドカベン,0.0333333333333333,CE115771,1972-09-04
ドカベン,0.03,CE115784,1972-08-28
ドカベン,0.1195652173913043,CE116013,1972-05-08
ドカベン,0.218954248366013,CE115798,1972-08-21
ドカベン,0.1633333333333333,CE115810,1972-08-14
ドカベン,0.1133333333333333,CE115997,1972-05-15
ドカベン,0.03,CE115822,1972-08-07
ドカベン,0.0941558441558441,CE115981,1972-05-22
ドカベン,0.036231884057971,CE115835,1972-07-31
ドカベン,0.036231884057971,CE115965,1972-05-29
ドカベン,0.036231884057971,CE115848,1972-07-24
ドカベン,0.0941558441558441,CE115862,1972-07-17
ドカベン,0.1195652173913043,CE115951,1972-06-05
ドカベン,0.036231884057971,CE115936,1972-06-12
ドカベン,0.0108695652173913,CE115876,1972-07-10
ドカベン,0.036231884057971,CE115890,1972-07-03
ドカベン,0.01,CE115730,1972-09-25
ドカベン,0.0084507042253521,CE116042,1972-04-24
ドカベン,0.0333333333333333,CE115717,1972-10-02
ドカベン,0.1433333333333333,CE115704,1972-10-09
ドカベン,0.1433333333333333,CE115418,1973-03-19
ドカベン,0.1833333333333333,CE115432,1973-03-12
ドカベン,0.01,CE115445,1973-03-05
ドカベン,0.13,CE115459,1973-02-26
ドカベン,0.0333333333333333,CE115471,1973-02-19
ドカベン,0.1966666666666666,CE115486,1973-02-12
ドカベン,0.3415300546448087,CE115500,1973-02-05
ドカベン,0.0833333333333333,CE115512,1973-01-22
ドカベン,0.03,CE115525,1973-01-15
ドカベン,0.01,CE115389,1973-04-02
ドカベン,0.0966666666666666,CE115539,1973-01-08
ドカベン,0.03,CE115564,1972-12-18
ドカベン,0.01,CE115591,1972-12-04
ドカベン,0.1966666666666666,CE115607,1972-11-27
ドカベン,0.2233333333333333,CE115621,1972-11-20
ドカベン,0.0333333333333333,CE115633,1972-11-13
ドカベン,0.03,CE115647,1972-11-06
ドカベン,0.1433333333333333,CE115662,1972-10-30
ドカベン,0.01,CE115675,1972-10-23
ドカベン,0.0966666666666666,CE115690,1972-10-16
ドカベン,0.01,CE115551,1973-01-01
ドカベン,0.3378378378378378,CE114709,1974-04-01
ドカベン,0.3348214285714285,CE114697,1974-04-08
ドカベン,0.0179372197309417,CE114682,1974-04-15
ドカベン,0.0218340611353711,CE113842,1975-08-04
ドカベン,0.1877729257641921,CE113856,1975-07-28
ドカベン,0.1861471861471861,CE113868,1975-07-21
ドカベン,0.1861471861471861,CE113880,1975-07-14
ドカベン,0.1885964912280701,CE113892,1975-07-07
ドカベン,0.0173160173160173,CE113902,1975-06-30
ドカベン,0.1776859504132231,CE113916,1975-06-23
ドカベン,0.1776859504132231,CE113929,1975-06-16
ドカベン,0.1861471861471861,CE113942,1975-06-09
ドカベン,0.0174672489082969,CE113953,1975-06-02
ドカベン,0.2314410480349345,CE113967,1975-05-26
ドカベン,0.1869565217391304,CE113979,1975-05-19
ドカベン,0.1869565217391304,CE113991,1975-05-12
ドカベン,0.017391304347826,CE114001,1975-05-05
ドカベン,0.0173160173160173,CE114014,1975-04-28
ドカベン,0.1869565217391304,CE114029,1975-04-21
ドカベン,0.0130434782608695,CE114040,1975-04-14
ドカベン,0.2304347826086956,CE114055,1975-04-07
ドカベン,0.2034632034632034,CE114067,1975-03-31
ドカベン,0.1861471861471861,CE113831,1975-08-11
ドカベン,0.1861471861471861,CE113818,1975-08-18
ドカベン,0.2145454545454545,CE113804,1975-08-25
ドカベン,0.0174672489082969,CE113788,1975-09-01
ドカベン,0.0109090909090909,CE113528,1976-01-26
ドカベン,0.1541218637992831,CE113543,1976-01-19
ドカベン,0.1894273127753304,CE113556,1976-01-12
ドカベン,0.1894273127753304,CE113568,1976-01-05
ドカベン,0.010752688172043,CE113578,1976-01-01
ドカベン,0.1894273127753304,CE113592,1975-12-22
ドカベン,0.1894273127753304,CE113603,1975-12-15
ドカベン,0.1894273127753304,CE113615,1975-12-08
ドカベン,0.0144404332129963,CE113625,1975-12-01
ドカベン,0.0173160173160173,CE114077,1975-03-24
ドカベン,0.1845493562231759,CE113653,1975-11-17
ドカベン,0.0145454545454545,CE113675,1975-11-03
ドカベン,0.1902654867256637,CE113691,1975-10-27
ドカベン,0.1894273127753304,CE113703,1975-10-20
ドカベン,0.1877729257641921,CE113715,1975-10-13
ドカベン,0.0174672489082969,CE113725,1975-10-06
ドカベン,0.1877729257641921,CE113739,1975-09-29
ドカベン,0.1861471861471861,CE113751,1975-09-22
ドカベン,0.2139737991266375,CE113764,1975-09-15
ドカベン,0.2129963898916967,CE113776,1975-09-08
ドカベン,0.1845493562231759,CE113665,1975-11-10
ドカベン,0.1861471861471861,CE114091,1975-03-17
ドカベン,0.1861471861471861,CE114103,1975-03-10
ドカベン,0.0174672489082969,CE114113,1975-03-03
ドカベン,0.0168776371308016,CE114422,1974-09-02
ドカベン,0.1814345991561181,CE114436,1974-08-26
ドカベン,0.1814345991561181,CE114448,1974-08-19
ドカベン,0.1983122362869198,CE114473,1974-08-05
ドカベン,0.0164609053497942,CE114484,1974-07-29
ドカベン,0.1814345991561181,CE114501,1974-07-22
ドカベン,0.1837606837606837,CE114514,1974-07-15
ドカベン,0.2151898734177215,CE114526,1974-07-08
ドカベン,0.0168776371308016,CE114536,1974-07-01
ドカベン,0.3,CE114412,1974-09-09
ドカベン,0.1814345991561181,CE114550,1974-06-24
ドカベン,0.3164556962025316,CE114576,1974-06-10
ドカベン,0.0168776371308016,CE114584,1974-06-03
ドカベン,0.2278481012658227,CE114599,1974-05-27
ドカベン,0.1928251121076233,CE114610,1974-05-20
ドカベン,0.0178571428571428,CE114620,1974-05-13
ドカベン,0.1928251121076233,CE114634,1974-05-06
ドカベン,0.1233333333333333,CE114645,1973-09-03
ドカベン,0.336322869955157,CE114662,1974-04-29
ドカベン,0.1928251121076233,CE114672,1974-04-22
ドカベン,0.2236286919831223,CE114562,1974-06-17
ドカベン,0.1808873720136518,CE110737,1979-12-10
