代表的なアニメ作品名,アニメシリーズID,放送年,初放送日,合計話数
名探偵コナン,C1849,1999,1999-12-06,3
名探偵コナン,C1849,2000,1999-12-06,45
名探偵コナン,C1849,2001,1999-12-06,45
名探偵コナン,C1849,2002,1999-12-06,41
名探偵コナン,C1849,2003,1999-12-06,41
名探偵コナン,C1849,2004,1999-12-06,40
名探偵コナン,C1849,2005,1999-12-06,40
名探偵コナン,C1849,2006,1999-12-06,36
名探偵コナン,C1849,2007,1999-12-06,32
名探偵コナン,C1849,2008,1999-12-06,32
名探偵コナン,C1849,2009,1999-12-06,49
名探偵コナン,C1849,2010,1999-12-06,42
名探偵コナン,C1849,2011,1999-12-06,48
名探偵コナン,C1849,2012,1999-12-06,43
名探偵コナン,C1849,2013,1999-12-06,44
名探偵コナン,C1849,2014,1999-12-06,62
名探偵コナン,C1849,2015,1999-12-06,61
名探偵コナン,C1849,2016,1999-12-06,50
名探偵コナン,C1849,2017,1999-12-06,0
いない いない ばあっ![第4期],C4102,1992,1999-12-13,0
いない いない ばあっ![第4期],C4102,1993,1999-12-13,0
いない いない ばあっ![第4期],C4102,1994,1999-12-13,0
いない いない ばあっ![第4期],C4102,1995,1999-12-13,0
いない いない ばあっ![第4期],C4102,1996,1999-12-13,0
いない いない ばあっ![第4期],C4102,1997,1999-12-13,0
いない いない ばあっ![第4期],C4102,1998,1999-12-13,0
いない いない ばあっ![第4期],C4102,1999,1999-12-13,9
いない いない ばあっ![第4期],C4102,2000,1999-12-13,104
いない いない ばあっ![第4期],C4102,2001,1999-12-13,96
いない いない ばあっ![第4期],C4102,2002,1999-12-13,101
いない いない ばあっ![第4期],C4102,2003,1999-12-13,90
いない いない ばあっ![第4期],C4102,2004,1999-12-13,89
いない いない ばあっ![第4期],C4102,2005,1999-12-13,90
いない いない ばあっ![第4期],C4102,2006,1999-12-13,91
いない いない ばあっ![第4期],C4102,2007,1999-12-13,100
いない いない ばあっ![第4期],C4102,2008,1999-12-13,110
いない いない ばあっ![第4期],C4102,2009,1999-12-13,120
いない いない ばあっ![第4期],C4102,2010,1999-12-13,110
いない いない ばあっ![第4期],C4102,2011,1999-12-13,110
いない いない ばあっ![第4期],C4102,2012,1999-12-13,25
いない いない ばあっ![第4期],C4102,2013,1999-12-13,0
いない いない ばあっ![第4期],C4102,2014,1999-12-13,0
いない いない ばあっ![第4期],C4102,2015,1999-12-13,0
いない いない ばあっ![第4期],C4102,2016,1999-12-13,0
いない いない ばあっ![第4期],C4102,2017,1999-12-13,0
あたしンち,C2606,1992,2002-04-19,0
あたしンち,C2606,1993,2002-04-19,0
あたしンち,C2606,1994,2002-04-19,0
