マンガ作者名,掲載年,初掲載年,合計話数
ちばてつや,2008,1970,0
手塚治虫,2008,1970,26
梶原一騎,2008,1970,43
水島新司,2008,1970,50
ちばてつや,2009,1970,0
手塚治虫,2009,1970,5
梶原一騎,2009,1970,43
水島新司,2009,1970,50
ちばてつや,2010,1970,0
手塚治虫,2010,1970,2
梶原一騎,2010,1970,44
水島新司,2010,1970,51
ちばてつや,2011,1970,0
手塚治虫,2011,1970,6
梶原一騎,2011,1970,3
水島新司,2011,1970,48
ちばてつや,2012,1970,0
手塚治虫,2012,1970,4
梶原一騎,2012,1970,0
水島新司,2012,1970,51
ちばてつや,2013,1970,0
手塚治虫,2013,1970,6
梶原一騎,2013,1970,0
水島新司,2013,1970,49
ちばてつや,2014,1970,0
手塚治虫,2014,1970,0
梶原一騎,2014,1970,0
水島新司,2014,1970,50
ちばてつや,2015,1970,0
手塚治虫,2015,1970,0
梶原一騎,2015,1970,0
水島新司,2015,1970,49
ちばてつや,2016,1970,0
手塚治虫,2016,1970,0
梶原一騎,2016,1970,0
水島新司,2016,1970,49
ちばてつや,2017,1970,0
手塚治虫,2017,1970,0
梶原一騎,2017,1970,0
水島新司,2017,1970,26
あだち充,1970,1972,0
あだち充,1971,1972,0
あだち充,1972,1972,5
あだち充,1973,1972,10
あだち充,1974,1972,4
あだち充,1975,1972,32
あだち充,1976,1972,13
あだち充,1977,1972,0
あだち充,1978,1972,0
あだち充,1979,1972,0
あだち充,1980,1972,0
あだち充,1981,1972,18
あだち充,1982,1972,48
あだち充,1983,1972,48
あだち充,1984,1972,48
あだち充,1985,1972,48
あだち充,1986,1972,47
あだち充,1987,1972,34
あだち充,1988,1972,50
あだち充,1989,1972,36
あだち充,1990,1972,46
あだち充,1991,1972,48
あだち充,1992,1972,35
あだち充,1993,1972,47
あだち充,1994,1972,46
あだち充,1995,1972,45
あだち充,1996,1972,47
あだち充,1997,1972,46
あだち充,1998,1972,45
あだち充,1999,1972,44
あだち充,2000,1972,31
あだち充,2001,1972,36
あだち充,2002,1972,44
あだち充,2003,1972,46
あだち充,2004,1972,43
あだち充,2005,1972,32
あだち充,2006,1972,40
あだち充,2007,1972,41
あだち充,2008,1972,35
あだち充,2009,1972,25
あだち充,2010,1972,5
あだち充,2011,1972,1
あだち充,2012,1972,0
あだち充,2013,1972,0
あだち充,2014,1972,0
あだち充,2015,1972,0
あだち充,2016,1972,0
あだち充,2017,1972,0
秋本治,1970,1976,0
秋本治,1971,1976,0
秋本治,1972,1976,0
秋本治,1973,1976,0
秋本治,1974,1976,0
秋本治,1975,1976,0
秋本治,1976,1976,11
秋本治,1977,1976,51
秋本治,1978,1976,49
秋本治,1979,1976,50
秋本治,1980,1976,51
秋本治,1981,1976,52
秋本治,1982,1976,51
秋本治,1983,1976,51
秋本治,1984,1976,50
秋本治,1985,1976,50
秋本治,1986,1976,50
秋本治,1987,1976,51
秋本治,1988,1976,52
秋本治,1989,1976,49
秋本治,1990,1976,50
秋本治,1991,1976,47
秋本治,1992,1976,48
秋本治,1993,1976,48
秋本治,1994,1976,48
秋本治,1995,1976,48
秋本治,1996,1976,49
秋本治,1997,1976,49
秋本治,1998,1976,48
秋本治,1999,1976,48
秋本治,2000,1976,48
秋本治,2001,1976,48
秋本治,2002,1976,48
秋本治,2003,1976,49
秋本治,2004,1976,50
秋本治,2005,1976,48
秋本治,2006,1976,50
秋本治,2007,1976,48
秋本治,2008,1976,50
秋本治,2009,1976,55
秋本治,2010,1976,50
秋本治,2011,1976,45
秋本治,2012,1976,49
秋本治,2013,1976,48
秋本治,2014,1976,50
秋本治,2015,1976,50
秋本治,2016,1976,42
秋本治,2017,1976,0
高橋留美子,1970,1978,0
高橋留美子,1971,1978,0
高橋留美子,1972,1978,0
高橋留美子,1973,1978,0
高橋留美子,1974,1978,0
高橋留美子,1975,1978,0
高橋留美子,1976,1978,0
高橋留美子,1977,1978,0
高橋留美子,1978,1978,7
高橋留美子,1979,1978,13
高橋留美子,1980,1978,39
高橋留美子,1981,1978,51
高橋留美子,1982,1978,50
高橋留美子,1983,1978,50
高橋留美子,1984,1978,50
高橋留美子,1985,1978,50
高橋留美子,1986,1978,50
高橋留美子,1987,1978,25
