ccid,crtid,ccname,n_ce,n_2c,n_4c,first_date,last_date,mcid,mcname,crtname
C87449,CCRT03272,土佐王,1,1,0,1979-05-07,1979-05-07,C119459,週刊少年ジャンプ,高橋よしひろ
C87450,CCRT02119,年寄への道,1,0,0,1977-12-19,1977-12-19,C119459,週刊少年ジャンプ,柴山実
C87451,CCRT01105,どすこい鬼が島,1,1,0,1975-03-31,1975-03-31,C119459,週刊少年ジャンプ,吉沢やすみ
C87452,CCRT03364,ドッグ＆ボーイの巻,1,0,0,2014-01-22,2014-01-22,C119459,週刊少年ジャンプ,黒田いずま
C87453,CCRT01846,ドッグマン旋風,3,0,0,1973-03-26,1973-10-15,C119459,週刊少年ジャンプ,斉藤博
C87454,CCRT01298,突撃!アッ4,1,0,0,1979-07-23,1979-07-23,C119459,週刊少年ジャンプ,大竹ひろあき
C87456,CCRT01843,突進!ファミリー,1,0,0,1976-08-02,1976-08-02,C119459,週刊少年ジャンプ,斉藤ヒロシ
C87457,CCRT00069,とっても少年探検隊,8,0,0,1984-04-30,1984-06-18,C119459,週刊少年ジャンプ,あろひろし
C87458,CCRT00442,とってもラッキーマン,191,9,8,1993-04-12,1997-07-07,C119459,週刊少年ジャンプ,ガモウひろし
C87459,CCRT01604,となりの金ちゃん,1,1,0,1978-03-20,1978-03-20,C119459,週刊少年ジャンプ,山止たつひこ
C87460,CCRT01392,隣の席の珍子ちゃん,2,0,0,2013-11-11,2013-11-11,C119459,週刊少年ジャンプ,宮崎周平
C87461,CCRT03363,となりのマサミちゃん,1,0,0,2011-02-07,2011-02-07,C119459,週刊少年ジャンプ,黒瀬尚人
C87462,CCRT00088,となりはだあれ!?,1,0,0,1975-06-02,1975-06-02,C119459,週刊少年ジャンプ,いのうえ仁
C87463,CCRT00489,どはずれ天下一,25,7,2,1974-02-04,1974-08-26,C119459,週刊少年ジャンプ,ジョージ秋山
C87464,CCRT02255,とびっきり!,32,4,1,1989-09-25,1990-05-21,C119459,週刊少年ジャンプ,樹崎聖
C87465,CCRT00300,飛ぶ教室,15,1,1,1985-05-27,1985-09-02,C119459,週刊少年ジャンプ,ひらまつつとむ
C87466,CCRT02743,どぶナイン,1,0,0,1979-08-06,1979-08-06,C119459,週刊少年ジャンプ,竜崎遼児
C87467,CCRT01459,ド真面目!サラリーマン教師,1,0,0,1991-04-22,1991-04-22,C119459,週刊少年ジャンプ,小島茂之
C87468,CCRT02346,ともだち,1,0,0,1980-03-03,1980-03-03,C119459,週刊少年ジャンプ,池田俊一
C87469,CCRT00248,ともだち,1,1,0,1977-03-14,1977-03-14,C119459,週刊少年ジャンプ,とりいかずよし
C87470,CCRT02653,友だち学園,5,0,0,1974-10-28,1974-11-25,C119459,週刊少年ジャンプ,石川サブロウ
C87472,CCRT01276,トラがやってくる,1,0,0,1974-09-02,1974-09-02,C119459,週刊少年ジャンプ,大林薫
C87473,CCRT01396,ドラキュラ君と天使さん,1,0,1,2007-10-01,2007-10-01,C119459,週刊少年ジャンプ,宮本和也
C87475,CCRT00593,ドラクエ外伝!,5,0,0,1989-06-05,1989-08-28,C119459,週刊少年ジャンプ,三上陸
C87475,CCRT02730,ドラクエ外伝!,5,0,0,1989-06-05,1989-08-28,C119459,週刊少年ジャンプ,稲田浩司
C87476,CCRT03330,ドラゴン危機一髪,1,0,0,1975-12-08,1975-12-08,C119459,週刊少年ジャンプ,鴨川つばめ
C87479,CCRT02007,虎のレーサー,14,3,2,1975-05-26,1975-08-25,C119459,週刊少年ジャンプ,村上もとこ
C87480,CCRT00442,トラブル昆虫記,1,0,0,1990-04-16,1990-04-16,C119459,週刊少年ジャンプ,ガモウひろし
C87481,CCRT01026,とらぶる・ラブ,1,0,0,1979-08-20,1979-08-20,C119459,週刊少年ジャンプ,北風とんぼ
C87482,CCRT00083,トランジスター,1,0,0,1999-11-15,1999-11-15,C119459,週刊少年ジャンプ,いとうみきお
C87483,CCRT00694,ドリーム仮面,34,0,0,1972-01-24,1973-08-20,C119459,週刊少年ジャンプ,中本繁
C87484,CCRT02904,トリガーキーパー,2,0,1,2009-02-02,2009-02-09,C119459,週刊少年ジャンプ,葦原大介
C87485,CCRT01694,トリコ,408,0,54,2002-01-23,2016-12-05,C119459,週刊少年ジャンプ,島袋光年
C87487,CCRT01200,ドルヒラ,14,2,1,1996-07-22,1996-10-28,C119459,週刊少年ジャンプ,堀井秀人
C87490,CCRT01326,トレビアンナイト,1,0,0,1976-06-28,1976-06-28,C119459,週刊少年ジャンプ,天野いわと
C87491,CCRT00477,トロ太郎列伝,1,0,0,1992-01-20,1992-01-20,C119459,週刊少年ジャンプ,サンプラザ中野
C87492,CCRT01105,どろぼう源さん,1,0,1,1973-04-02,1973-04-02,C119459,週刊少年ジャンプ,吉沢やすみ
C87494,CCRT02714,トンキー物語,1,0,0,1971-12-13,1971-12-13,C119459,週刊少年ジャンプ,福田三郎
C87494,CCRT03224,トンキー物語,1,0,0,1971-12-13,1971-12-13,C119459,週刊少年ジャンプ,飯森広一
C87495,CCRT01353,とんち発明大福くん,2,0,0,1999-06-14,1999-08-09,C119459,週刊少年ジャンプ,宇都宮克彦
C87497,CCRT00137,とんとんとん丸,1,0,0,1981-06-01,1981-06-01,C119459,週刊少年ジャンプ,かぶと虫太郎
C87498,CCRT03324,トンプー大冒険,1,0,0,1983-12-12,1983-12-12,C119459,週刊少年ジャンプ,鳥山明
